809783579,,,,,.1776006,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-220O Букет орхідеї Wave Vittora 220 мм,,95,1,https://comfy.ua/tarelka-obedennaja-vittora-v-220o-buket-orhidei-wave-vittora-220-mm.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
809783580,,,,,.1776007,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V-220G Виноградна лоза Wave Vittora 220 мм,,95,1,https://comfy.ua/tarelka-obedennaja-vittora-v-220g-vinogradnaja-loza-wave-vittora-220-mm.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
809783581,,,,,.1775994,Посуда >> Для сервировки,vittora,Тарілка обідня V-230B Blanco Buongiorno Vittora 230 мм,,112,1,https://comfy.ua/tarelka-obedennaja-vittora-v-230b-blanco-buongiorno-vittora-230-mm.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
809783583,,,,,1774865,Посуда >> Для сервировки,vittora,Салатник Vittora VT-2187AH Aura Купаж 187 мм,,98,1,https://comfy.ua/salatnik-vittora-vt-2187ah-aura-kupazh-187-mm.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
809783584,,,,,1776008,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora V240D Blanco diva 240 мм,,112,1,https://comfy.ua/catalog/product/view/id/2143003,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
809783593,6424116,KARCHER,Чистящее средство KARCHER Universal 1л K2-K7 (6.295-753.0),299,1774765,Бытовая химия >> Средства для чистки техники >> Средства для чистки пылесосов >> Средства для чистки пылесосов Karcher,karcher,Шампунь до мінімийки Karcher 3-в-1 Plug-n-Clean 1 л (6.295-753.0),,299,1,https://comfy.ua/shampun-dlja-minimojki-karcher-3-v-1-plug-n-clean-1-l-6-295-753-0.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
809783595,,,,,1772635,Бытовая химия >> Средства для чистки техники,karcher,Шампунь до мінімийки Karcher RM 812 ASF 20 л авто (6.295-430.0),,2849,1,https://comfy.ua/shampun-dlja-minimojki-karcher-rm-812-asf-20-l-avto-6-295-430-0.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
809783599,,,,,1775992,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora VT-1230AP Пионы Aura Vittora 230 мм,,132,1,https://comfy.ua/tarelka-obedennaja-vittora-vt-1230ap-piony-aura-vittora-230-mm.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
809784858,,,,,.1774957,Посуда >> Для сервировки,vittora,Тарілка супова Vittora Angelica 215 мм (VS-215B),,244,1,https://comfy.ua/tarelka-supovaja-versailles-angelica-215-mm-vs-215b.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
809784935,,,,,.1774956,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora Angelica 230 мм (VS-230B),,270,1,https://comfy.ua/tarelka-obedennaja-versailles-angelica-230-mm-vs-230b.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
809785017,6389973,FORTE,Стабилизатор напряжения FORTE DR600,1174,1755588,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte DR600,,1720,1,https://comfy.ua/stabilizator-naprjazhenija-forte-dr600.html,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
809785019,6244106,FORTE,Стабилизатор напряжения FORTE MAX-1000VA (42062),1468,1755587,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte MAX-1000VA New,,2150,1,https://comfy.ua/stabilizator-naprjazhenija-forte-max-1000va-new.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
809785022,,,,,1755585,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Стабилизаторы напряжения >> Стабилизаторы напряжения",,Стабілізатор напруги Forte TDR-5000VA,,6827,1,https://comfy.ua/stabilizator-naprjazhenija-forte-tdr-5000v.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
809785138,6722638,OSRAM,Светодиодная лампа Osram LED STAR + P40 DIM 4.5W (470Lm) 2700К+RGB E14 пульт ДУ (4058075430877),224,1776735,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Osram",osram,Лампочка світлодіодна Osram LED Star Е14 5.5-40W 2700K + RGB 220V Р45 пульт ДУ (4058075430877),,225,1,https://comfy.ua/lampochka-svetodiodnaja-osram-led-star-e14-5-5-40w-2700k-rgb-220v-r45-pul-t-du-4058075430877.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
809785214,6660083,VITTORA,Сервиз VITTORA Лаванда Wave 18 пр (VT-419L),1299,1775989,Посуда >> Для сервировки >> Столовые сервизы >> Столовые сервизы Vittora,vittora,Сервіз столовий Vittora VT-419L Лаванда Wave Vittora 18 пр.,,1299,1,https://comfy.ua/nabor-tarelok-vittora-vt-419l-lavanda-wave-vittora-18-pr.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
809785722,,,,,1759311,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Atis",atis,Коммутатор локальної мережі (Switch) Atis PoE-1006-4P/250m,,1185,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-atis-poe-1006-4p-250m.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
809785841,6676716,VINZER,Овощечистка VINZER 19.5 см (50200),276,1775872,Посуда >> Нарезка и измельчение >> Овощечистки >> Овощечистки Vinzer,vinzer,Овочечистка Vinzer Peeler (50200),,276,1,https://comfy.ua/ovoschechistka-vinzer-peeler-50200.html,,05.11.2025 19:32,,"вул. Соборна, 42",Фастів,0
809785842,6676717,VINZER,Овощечистка VINZER 19.8 см (50201),275,1776493,Посуда >> Нарезка и измельчение >> Овощечистки >> Овощечистки Vinzer,vinzer,Овочечистка Vinzer 50201,,276,1,https://comfy.ua/ovoschechistka-vinzer-50201.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
809785882,6038348,КЕМПИНГ,Аккумулятор холода Кемпинг IcePack 400,62,1773455,"Дом, отдых и зоотовары >> Отдых и путешествия >> Аккумуляторы холода >> Аккумуляторы холода Кемпінг",kemping,Акумулятор холоду Кемпінг 400 г (4820152610775),,63,1,https://comfy.ua/akkumuljator-holoda-kemping-400-g-4820152610775.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
809786599,6676724,VINZER,Щипцы сервировочные VINZER 23 см 50208,187,1775874,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Vinzer,vinzer,Щипці кухонні Vinzer Food Tongs (50208),,191,1,https://comfy.ua/schipcy-kuhonnye-vinzer-food-tongs-50208.html,239,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
809786611,6676720,VINZER,Молоток для мяса VINZER 50204,756,1776496,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Vinzer,vinzer,Молоток для м'яса Vinzer 50204,,757,1,https://comfy.ua/molotok-dlja-mjasa-vinzer-50204.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
809786614,,,,,1770048,Бытовая химия >> Средства для чистки техники,dr-beckmann,Засіб для чищення холодильника Dr.BECKMANN Гігієнічний очисник д/холодильників 250 мл,,262,1,https://comfy.ua/catalog/product/view/id/2143413,331,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
809788639,,,,,.1774873,Посуда >> Для сервировки,vittora,Салатник Vittora V-140D Blanco Diva 140 мм,,85,1,https://comfy.ua/salatnik-vittora-v-140d-blanco-diva-140-mm.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
809790111,6660058,PEPPER,Кастрюля PEPPER PR-3219 1.4 л,464,1776653,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Pepper,pepper,Каструля Pepper 19 см 1.4 л (PR-3219),,599,1,https://comfy.ua/kastrjulja-pepper-19-sm-1-4-l-pr-3219.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
809803392,6666446,VITTORA,Сервиз VITTORA Blanco VT-419W 19 пр,1592,1775990,Посуда >> Для сервировки >> Столовые сервизы >> Столовые сервизы Vittora,vittora,Набір тарілок Vittora VT-419W Blanco Vittora 19 пр.,,1133,1,https://comfy.ua/nabor-tarelok-vittora-vt-419w-blanco-vittora-19-pr.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
809807929,6676725,VINZER,Лопатка с прорезями VINZER 33 см 50209,220,1776499,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Vinzer,vinzer,Лопатка кухонна Vinzer 50209,,221,1,https://comfy.ua/lopatka-kuhonnaja-vinzer-50209.html,276,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
