987486663,column,column,column,column,1844969,Детские товары >> Детская комната и безопасность,handyhome,____handy_home__48x30x30__ch16,column,485,1,httpscomfyuakorobkadljahranenijadetskajahandyhomekrokodil48x30x30smch16html,column,05112025_2035,column,__42,Фастів,0
987964739,6735653,SHARK,Пылесос SHARK HZ500EUT,9999,1844493,Техника для дома >> Мелкая техника,shark,Пилосос ручний для дому Shark HZ500EUT,,9999,1,https://comfy.ua/catalog/product/view/id/2833263,19999,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
988054717,,,,,1845782,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Li'l Woodzeez,lil-woodzeez,Колекційні фігурки набір Li'l Woodzeez Сім'я Пінгвінів (WZ6664Z),,599,1,https://comfy.ua/kollekcionnye-figurki-li-l-woodzeez-sem-ja-pingvinov-wz6664z.html,899,06.11.2025 1:35,,"вул. Соборна, 42",Фастів,0
988054847,7051625,OUR GENERATION,Игровой набор OUR GENERATION Кресло для салона (BD35107Z),1486,1845599,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол Our Generation",our-generation,Меблі і будиночки для ляльки Our Generation Крісло для салону (BD35107Z),,1999,1,https://comfy.ua/sjuzhetno-rolevaja-igra-salon-krasoty-our-generation-kreslo-dlja-salona-bd35107z.html,,05.11.2025 23:49,,"вул. Соборна, 42",Фастів,0
988054906,,,,,1845774,Детские товары >> Детская комната и безопасность,red-castle,Наволочка - чохол для Cocoonababy Red Castle White (0443166),,1559,1,https://comfy.ua/navolochka-chehol-dlja-cocoonababy-red-castle-white-0443166.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
988054911,,,,,1842417,Детские товары >> Кормление >> Блендеры-пароварки для детей >> Блендеры-пароварки для детей Beaba,beaba,Блендер-пароварка для дітей Beaba Beaba Neo Grey/white (912773),,10449,1,https://comfy.ua/blender-parovarka-dlja-detej-beaba-neo-grey-white-912773.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
988054947,,,,,1845601,Детские товары >> Игрушки,our-generation,Сюжетно-рольова гра. Магазин Our Generation Шоколадний лоток (BD37964Z),,4199,1,https://comfy.ua/sjuzhetno-rolevaja-igra-magazin-our-generation-shokoladnyj-lotok-bd37964z.html,,05.11.2025 23:40,,"вул. Соборна, 42",Фастів,0
988054958,,,,,1845790,Детские товары >> Детская комната и безопасность,red-castle,Пояс на матрац для Cocoonababy Red Castle White (0456166),,1149,1,https://comfy.ua/pojas-na-matras-dlja-cocoonababy-red-castle-white-0456166.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
988054972,,,,,1842416,Детские товары >> Кормление >> Блендеры-пароварки для детей >> Блендеры-пароварки для детей Beaba,beaba,Блендер-пароварка для дітей Beaba Neo Night Blue Beaba (912772),,10449,1,https://comfy.ua/blender-parovarka-dlja-detej-beaba-neo-night-blue-912772.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
988054982,,,,,1845461,Детские товары >> Детская комната и безопасность >> Мебель и хранение для детской комнаты >> Мебель и хранение для детской комнаты Handy Home,handy-home,Органайзер для зберігання дитячий Handy Home Ведмежатко на 6 секцій 30х30х120 см (UC-104),,255,1,https://comfy.ua/organajzer-dlja-hranenija-detskij-handy-home-mishka-na-6-sekcij-30h30h120-sm-uc-104.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
988055022,,,,,1842414,Детские товары >> Кормление >> Блендеры-пароварки для детей >> Блендеры-пароварки для детей Beaba,beaba,Блендер-пароварка для дітей Beaba Neo Beaba - Eucalyptus (912732),,10999,1,https://comfy.ua/blender-parovarka-dlja-detej-beaba-neo-eucalyptus-912732.html,,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
