1019856851,column,column,column,column,1855472,Посуда >> Нарезка и измельчение,gusto,__gusto_20__gt6120,column,112,1,httpscomfyuacatalogproductviewid2967243,column,05112025_1858,column,__42,Фастів,0
1019978747,6739684,ARTEL,Плита комбинированная ARTEL MILAGRO 10-E Brown,13399,1859066,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL MILAGRO 10-E Brown,,12499,1,https://comfy.ua/plita-gazovaja-artel-milagro-10-e-brown.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
1019980493,6368542,ARTEL,Пылесос ARTEL VCB 0316 Black,3569,1430842,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы ARTEL,artel,Пилосос для сухого прибирання з мішком ARTEL VCB 0316 Black,,3569,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-artel-vcb-0316-black.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1019980859,,,,,1430826,Техника для кухни >> Крупная техника >> Плиты >> Плиты ARTEL,artel,Плита газова ARTEL Milagro 10-E Grey,,12499,1,https://comfy.ua/plita-gazovaja-artel-milagro-10-e-grey.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1019985457,6360841,ARTEL,Стиральная машина ARTEL TE 60 BLUE,7499,1859112,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины ARTEL,artel,Пральна машина ARTEL ART TE 60 Blue,,7989,1,https://comfy.ua/stiral-naja-mashina-artel-art-te-60-blue.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1019991330,7041448,TOLSEN,Киянка TOLSEN 225 г (25033),116,1858909,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Tolsen",tolsen,Киянка Tolsen 225 г (25033),,145,1,https://comfy.ua/kijanka-tolsen-900-g-25033.html,,05.11.2025 21:44,,"вул. Соборна, 42",Фастів,0
1020131825,6820650,QNAP,NAS-сервер QNAP 4BAY 8GB TS-473A-8G,40812,1853687,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Сетевые хранилища (NAS) >> Сетевые хранилища (NAS) QNAP",qnap,Мережеве сховище без HDD QNAP TS-473A-8G,,40599,1,https://comfy.ua/setevoe-hranilische-bez-hdd-qnap-ts-473a-8g.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1020202441,,,,,1855472,Посуда >> Нарезка и измельчение,gusto,Ножиці кухонні Gusto 20 см (GT-6120),,112,1,https://comfy.ua/nozhnicy-kuhonnye-gusto-20-sm-gt-6120.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1020397674,6768812,PHILIPS,Фен PHILIPS BHD504/00 серии 5000,1999,1859389,Красота и здоровье >> Уход за волосами >> Фены >> Фены Philips,philips,Фен Philips BHD504/00,,1999,1,https://comfy.ua/fen-philips-bhd504-00.html,2299,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1020449394,,,,,1658076,Телевизоры и мультимедиа >> Аксессуары для ТВ,unibracket,Кріплення для телевізора UniBracket BZ 21-43,,2699,1,https://comfy.ua/kreplenie-dlja-televizora-unibracket-bz-21-43.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1020485574,,,,,.1851452,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba 24G 4SFP+/6100 (JL678A),,140795,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-24g-4sfp-6100-jl678a.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
