807253258,column,column,column,column,1760192,"Детские товары >> Уход, купание и гигиена",tegababy,_____tega_baby______ff026108,column,375,1,httpscomfyuagamakdljakupanijavvannochkutegababysrisunkomlesnajaskazkagolubojff026108html,column,05112025_2056,column,__42,Фастів,0
807253253,7086394,TEGA BABY,Горка для купания TEGA BABY Forest Fairytale Light Pink (FF-026-107),263,1760194,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,"Гамак для купання в ванночку Tega Baby з малюнком Лісова казка, Рожевий (FF-026-107)",,375,1,https://comfy.ua/gamak-dlja-kupanija-v-vannochku-tega-baby-s-risunkom-lesnaja-skazka-rozovyj-ff-026-107.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
807253255,7086395,TEGA BABY,Горка для купания TEGA BABY Forest Fairytale Light Beige (FF-026-111),263,1760193,"Детские товары >> Уход, купание и гигиена >> Ванночки и подставки для купания >> Ванночки и подставки для купания Tega Baby",tega-baby,"Гамак для купання в ванночку Tega Baby з малюнком Лісова казка, Кремовий (FF-026-111)",,375,1,https://comfy.ua/gamak-dlja-kupanija-v-vannochku-tega-baby-s-risunkom-lesnaja-skazka-rozovyj-ff-026-111.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
807253258,,,,,1760192,"Детские товары >> Уход, купание и гигиена",tega-baby,"Гамак для купання в ванночку Tega Baby з малюнком Лісова казка, Блакитний (FF-026-108)",,375,1,https://comfy.ua/gamak-dlja-kupanija-v-vannochku-tega-baby-s-risunkom-lesnaja-skazka-goluboj-ff-026-108.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
807253263,7086306,TEGA BABY,Горшок Tega Baby Кролики Powder Pink (KR-007-104),172,1760058,"Comfy KIDS >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby ЕСО Зайчики Світло-Рожевий (KR-007-104),,180,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-zajchiki-svetlo-rozovyj-kr-007-104.html,219,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807253265,,,,,1760056,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Пес і Кіт з антиковзаючою гумою і музикою Кремовий (PO-062-102),,254,1,https://comfy.ua/gorshok-detskij-tega-baby-pes-i-kot-s-antiskol-zjaschej-rezinoj-i-muzykoj-kremovyj-po-062-102.html,339,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253266,,,,,1760055,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Пес і Кіт з антиковзаючою гумою і музикою Блакитний (PO-062-101),,276,1,https://comfy.ua/gorshok-detskij-tega-baby-pes-i-kot-s-antiskol-zjaschej-rezinoj-i-muzykoj-goluboj-po-062-101.html,369,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
807253267,,,,,1760061,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Лісова казка з антиковзаючою гумою Блакитний (FF-001-108),,295,1,https://comfy.ua/gorshok-detskij-tega-baby-lesnaja-skazka-s-antiskol-zjaschej-rezinoj-goluboj-ff-001-108.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
807253268,7086402,TEGA BABY,Горшок TEGA BABY FOREST FAIRYTALE Light Pink (FF-001-107),239,1760050,"Детские товары >> Уход, купание и гигиена >> Горшки, сидения и подставки >> Горшки, сидения и подставки Tega Baby",tega-baby,Горщик дитячий Tega Baby Лісова казка з антиковзаючою гумою Світло-рожевий (FF-001-107),,295,1,https://comfy.ua/gorshok-detskij-tega-baby-lesnaja-skazka-s-antiskol-zjaschej-rezinoj-svetlo-rozovyj-ff-001-107.html,,05.11.2025 20:51,,"вул. Соборна, 42",Фастів,0
807253269,,,,,1760049,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Лісова казка з антиковзаючою гумою Світло-жовтий (FF-001-109),,295,1,https://comfy.ua/gorshok-detskij-tega-baby-lesnaja-skazka-s-antiskol-zjaschej-rezinoj-svetlo-zheltyj-ff-001-109.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807253278,,,,,1759968,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby ЕСО Зайчики з музикою М'ятний (PO-059-105),,232,1,https://comfy.ua/gorshok-detskij-tega-baby-eso-zajchiki-s-muzykoj-mjatnyj-po-059-105.html,265,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
807253279,,,,,1760045,"Детские товары >> Уход, купание и гигиена",tega-baby,Горщик дитячий Tega Baby Каченя з антиковзаючою гумою і музикою Світло-сірий (PO-070-122),,276,1,https://comfy.ua/gorshok-detskij-tega-baby-utenok-s-antiskol-zjaschej-rezinoj-i-muzykoj-svetlo-seryj-po-070-122.html,369,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
807253282,,,,,1760179,"Детские товары >> Уход, купание и гигиена",tega-baby,"Гамак для купання в ванночку Tega Baby з малюнком Дикий захід, Олентко, Білий (DZ-026-103-JELONEK)",,307,1,https://comfy.ua/gamak-dlja-kupanija-v-vannochku-tega-baby-s-risunkom-dikij-zapad-olentko-belyj-dz-026-103-jelonek.html,355,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
