748771099,6660441,DELONGHI,Фильтр для воды DELONGHI DLSC002,399,1667975,Бытовая химия >> Средства для чистки техники >> Средства для чистки кофемашин >> Средства для чистки кофемашин Delonghi,delonghi,Фільтр для очистки води для кавомашини Delonghi DLS C002 (5513292811),,399,1,https://comfy.ua/fil-tr-dlja-ochistki-vody-dlja-kofemashiny-delonghi-dls-c002-5513292811.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
748798424,,,,,.1694758,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover Apple iPhone 12 Black (705375),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-apple-iphone-12-black-705375.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
748811236,,,,,1690927,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",incase,Чохол-накладка для ноутбука INCASE Hardshell Case Clear (INMB200679-CLR),,855,1,https://comfy.ua/chehol-dlja-noutbuka-incase-hardshell-case-clear-inmb200679-clr.html,1899,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
748812338,,,,,1682030,Посуда >> Для приготовления,wmf,Набір посуду WMF 514895290 FT Mineral Topf 8 пр.,,29999,1,https://comfy.ua/nabor-posudy-wmf-514895290-ft-mineral-topf-4-pr.html,39999,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
748812482,,,,,.1678867,Посуда >> Для приготовления,tescoma,Сотейник tescoma 780356 President Stone,,4199,1,https://comfy.ua/sotejnik-tescoma-780356-president-stone.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
748812534,,,,,1680291,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,Клавіатура дротова Gembird KB-UM-106-UA,,299,1,https://comfy.ua/catalog/product/view/id/1395133,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
748813040,,,,,1684218,"Дом, отдых и зоотовары >> Мебель",cougar,Крісло для геймерів Cougar Armor PRO Black/Orange,,9999,1,https://comfy.ua/catalog/product/view/id/1385813,11999,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
748850912,,,,,1665277,Техника для кухни >> Крупная техника,perfelli,Витяжка декоративна Perfelli DNS 6452 D 850 BL LED,,3392,1,https://comfy.ua/catalog/product/view/id/1408293,5799,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
748851002,,,,,1665290,Техника для кухни >> Крупная техника,perfelli,Витяжка декоративна Perfelli DNS 6452 D 850 GR LED,,6099,1,https://comfy.ua/catalog/product/view/id/1408423,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
748851003,,,,,1693994,Техника для кухни >> Крупная техника,eleyus,Витяжка декоративна ELEYUS ELEYUS Bora 1200 LED SMD 90 WH,,7049,1,https://comfy.ua/catalog/product/view/id/1436483,9219,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
748851006,,,,,1693993,Техника для кухни >> Крупная техника,eleyus,Витяжка декоративна ELEYUS Bora 1200 LED SMD 90 IS,,8499,1,https://comfy.ua/catalog/product/view/id/1436343,9949,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
748867102,,,,,1684344,Посуда >> Для напитков,wmf,Френч-прес WMF 630796030 KULT,,4499,1,https://comfy.ua/french-press-wmf-630796030-kult.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
748867103,,,,,1684340,Посуда >> Для напитков,wmf,"Френч-прес WMF 636906030 ENSITEA 1,3 л",,4599,1,https://comfy.ua/french-press-wmf-636906030-ensitea-1-3-l.html,5799,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
748867104,,,,,1684343,Посуда >> Для напитков,wmf,Чайник заварювальний WMF 631096030 SmarTeaс подставкой для подогрева 1 л,,5799,1,https://comfy.ua/chajnik-zavarochnyj-wmf-631096030-smarteas-podstavkoj-dlja-podogreva-1-l.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
748867110,6635136,PRESTIGIO,Штопор PRESTIGIO Garda Smart Wine Opener (PWO105SL),2599,1694496,Посуда >> Кухонные аксессуары >> Штопоры и открывалки >> Штопоры и открывалки Prestigio,prestigio,Штопор Prestigio Garda Smart Wine Opener Silver (PWO105SL),,2599,1,https://comfy.ua/shtopor-prestigio-garda-smart-wine-opener-silver-pwo105sl.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
748867111,,,,,1687381,Посуда >> Для сервировки,wmf,Набір для бара WMF 662856040 BARIC 3 пр.,,3999,1,https://comfy.ua/nabor-dlja-bara-wmf-662856040-baric-3-pr.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
748867221,,,,,.1682188,Посуда >> Для приготовления,wmf,Сковорода універсальна WMF 1756246411 Profi Resist 24 см,,5499,1,https://comfy.ua/sotejnik-wmf-1756246411-profi-resist-24-sm.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
748916075,,,,,1684324,Посуда >> Для напитков,wmf,Графін WMF 617706040 Water 1 л Black,,2299,1,https://comfy.ua/grafin-wmf-617706040-water-1-l-black.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
748916076,,,,,1684323,Посуда >> Для напитков,wmf,"Графін WMF 617726040 BASIC 1,5 л",,1999,1,https://comfy.ua/grafin-wmf-617726040-basic-1-5-l.html,2499,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
