1432719202,,,,,.2142125,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",yenkee,Рюкзак для ноутбуку YENKEE Anti Theft Travel YBB 1501 Black,,1649,1,https://comfy.ua/rjukzak-dlja-noutbuka-yenkee-anti-theft-travel-ybb-1501-black.html,,05.11.2025 22:11,,"вул. Соборна, 42",Фастів,0
1432719206,,,,,.2142127,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",yenkee,Рюкзак для ноутбуку YENKEE Gaming Shield YBB 1503 Black,,1649,1,https://comfy.ua/rjukzak-dlja-noutbuka-yenkee-gaming-shield-ybb-1503-black.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
1432719254,6832876,VINZER,Кастрюля VINZER Moderno Graphite Collection 1.5 л (50071),1517,2221143,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Vinzer,vinzer,Каструля Vinzer Moderno 16 см 1.5 л (50071),,1517,1,https://comfy.ua/kastrjulja-vinzer-moderno-16-sm-1-5-l-50071.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1432728437,,,,,2221158,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Набір ножів Vinzer Chef 7 пр. (50119),,4051,1,https://comfy.ua/nabor-nozhej-vinzer-chef-7-pr-50119.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
1432730757,,,,,2150727,Смартфоны и телефоны >> Аксессуары для смартфонов >> Мобильные батареи >> Мобильные батареи MAKE,make,Батарея мобільна MAKE 20W 20000 mAh PD+QC Black (MPB-206BK),,899,1,https://comfy.ua/batareja-mobil-naja-make-20w-20000-mah-pd-qc-black-mpb-206bk.html,,05.11.2025 17:16,,"вул. Соборна, 42",Фастів,0
1432739648,6853730,XIAOMI,Wi-Fi роутер XIAOMI Mi WiFi Gigabit Router AC1200 (DVB4330GL),1299,2223733,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Маршрутизаторы интернет >> Маршрутизаторы интернет Xiaomi",xiaomi,Маршрутизатор інтернет WiFi5 Xiaomi Router AC1200 (DVB4330GL),,1249,1,https://comfy.ua/marshrutizator-internet-wifi5-xiaomi-router-ac1200-dvb4330gl.html,1399,05.11.2025 17:17,,"вул. Соборна, 42",Фастів,0
1432739978,6814798,VINZER,Набор ножей VINZER Frost 6 пр (50126),2384,2221156,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Vinzer,vinzer,Набір ножів Vinzer Frost 6 пр. (50126),,2384,1,https://comfy.ua/nabor-nozhej-vinzer-frost-6-pr-50126.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
1432744189,,,,,.2172370,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frimecom,Корпус FrimeCom MX10,,1189,1,https://comfy.ua/korpus-frimecom-mx10.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1432803757,6903312,GORENJE,Духовой шкаф GORENJE Superior BO 798 S38BG,29999,2221989,Техника для кухни >> Крупная техника,gorenje,Духова шафа електрична Gorenje BO798S38BG,,22999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-gorenje-bo798s38bg.html,41999,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1432804209,,,,,2219321,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Zyxel",zyxel,Коммутатор локальної мережі (Switch) Zyxel GS1915-24E (GS1915-24E-EU0101F),,6999,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-zyxel-gs1915-24e-gs1915-24e-eu0101f.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
