1644142980,,,,,.2775863,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba 48PORT 1000M 4SFP+ (JL686B),,35499,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-48port-1000m-4sfp-jl686b.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1644143026,,,,,.2775861,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba 48G 2XGT 2SFP+ (JL808A),,75675,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-48g-2xgt-2sfp-jl808a.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1644143028,,,,,.2775862,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba 10G 12P 4SFP+ (JL805A),,100929,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-10g-12p-4sfp-jl805a.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1644143030,,,,,.2775860,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba 48G 40P 2SFP+ (JL809A),,116069,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-48g-40p-2sfp-jl809a.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
1644145757,,,,,2719950,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Бездротовий зарядний пристрій Baseus Simple Mini3 Magnetic Wireless Charger 15W Silver (CCJJ040012),,1199,1,https://comfy.ua/besprovodnoe-zarjadnoe-ustrojstvo-baseus-simple-mini3-magnetic-wireless-charger-15w-silver-ccjj040012.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
1644145897,,,,,.2770700,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC F12 (ACFAN00201A),,169,1,https://comfy.ua/korpusnyj-ventiljator-arctic-f12-acfan00201a.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1644145923,,,,,.2770699,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC P12 SLIM PWM PST (ACFAN00187A),,259,1,https://comfy.ua/korpusnyj-ventiljator-arctic-p12-slim-pwm-pst-acfan00187a.html,,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1644145924,,,,,.2770695,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC P14 (ACFAN00123A),,309,1,https://comfy.ua/korpusnyj-ventiljator-arctic-p14-acfan00123a.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1644146385,,,,,2770697,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Корпусний вентилятор ARCTIC P12 5 шт. (ACFAN00135A),,829,1,https://comfy.ua/korpusnyj-ventiljator-arctic-p12-5-sht-acfan00135a.html,,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1644149139,,,,,.2004519,Посуда >> Для сервировки,wilmax,Блюдо Wilmax для суші/канапе 35.5 см (WL-992016/A),,321,1,https://comfy.ua/bljudo-wilmax-dlja-sushi-kanape-35-5-sm-wl-992016-a.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1644152404,6915706,LUMINARC,Тарелка десертная LUMINARC DIWALI PARADISE GREEN 19 см (V5841),86,2721840,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Тарілка десертна Luminarc Diwali Paradise Green 19 см (V5841),,86,1,https://comfy.ua/tarelka-desertnaja-luminarc-diwali-paradise-green-19-sm-v5841.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
1644154302,6915705,LUMINARC,Тарелка столовая мелкая LUMINARC DIWALI PARADISE GREEN 25 см (V5839),56,2721841,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Luminarc,luminarc,Тарілка обідня Luminarc Diwali Paradise Green 25 см (V5839),,91,1,https://comfy.ua/tarelka-obedennaja-luminarc-diwali-paradise-green-25-sm-v5839.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1644209387,,,,,.2731108,Посуда >> Для сервировки,wilmax,Тарілка десертна Wilmax Silver Moon.Graphics 19 см (WL-671202 / A),,275,1,https://comfy.ua/tarelka-desertnaja-wilmax-silver-moon-graphics-19-sm-wl-671202-a.html,361,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1644216009,6870646,VIVA,Тортовница VIVA MARBLE BLACK поворотна низька/ 30 см. в уп.,397,2717916,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Viva,viva,Блюдо Viva Marble Black 30 см (S3012/2-Z306),,400,1,https://comfy.ua/bljudo-viva-marble-black-30-sm-s3012-2-z306.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1644314383,,,,,2700107,Посуда >> Для приготовления,biol,Сковорода універсальна Biol 28078Р Блек Стоун 28 см,,1107,1,https://comfy.ua/skovoroda-universal-naja-biol-28078r-bljek-stoun-28-sm.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1644318805,6922759,HEREVIN,Контейнер HEREVIN GOLD 0.6 л (161426-582),119,2784225,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Herevin,herevin,Ємність для зберігання Herevin GOLD 0.6 л (161426-582),,139,1,https://comfy.ua/emkost-dlja-hranenija-herevin-gold-0-6-l-161426-582.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1644322128,,,,,.2733067,Телевизоры и мультимедиа >> Аксессуары для ТВ,gembird,Кріплення для телевізора Gembird WM-55ST-03,,869,1,https://comfy.ua/kreplenie-dlja-televizora-gembird-wm-55st-03.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1644325435,,,,,.2770623,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Чохол для планшета Armorstandart Smart Case for Lenovo Tab P12 TB370FU Blue (ARM70868),,699,1,https://comfy.ua/chehol-dlja-plansheta-armorstandart-smart-case-for-lenovo-tab-p12-tb370fu-blue-arm70868.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
