1091183185,column,column,column,column,1925912,_______________beaba,beaba,___beaba_green_920383,column,485,1,httpscomfyuatermometrdljavannybeabagreen920383html,column,05112025_2049,column,__42,Фастів,0
1091216079,,,,,.1870753,Посуда >> Для напитков,versailles,Набір склянок Versailles 480 мл 6 шт. (VS-5480),,349,1,https://comfy.ua/nabor-stakanov-versailles-480-ml-6-sht-vs-5480.html,,05.11.2025 19:30,,"вул. Соборна, 42",Фастів,0
1091216660,6789444,ARDESTO,Ложка ARDESTO Gemini AR2120SB,99,1909532,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ardesto,ardesto,Ложка кухарська Ardesto Gemini (AR2120SB),,99,1,https://comfy.ua/lozhka-povarskaja-ardesto-gemini-ar2120sb.html,249,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
1091216951,6789529,ARDESTO,Шумовка ARDESTO Gemini (AR2122SB),185,1909534,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ardesto,ardesto,Шумовка Ardesto Gemini (AR2122SB),,185,1,https://comfy.ua/shumovka-ardesto-gemini-ar2122sb.html,249,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1091228917,6789457,ARDESTO,Молоток для мяса ARDESTO Black Mars 22.5 см (AR2019SA),439,1909531,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Ardesto,ardesto,Молоток для м'яса Ardesto Black Mars 22.5 см (AR2019SA),,439,1,https://comfy.ua/molotok-dlja-mjasa-ardesto-black-mars-22-5-sm-ar2019sa.html,589,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1091252936,6792419,BORMIOLI ROCCO,Набор стаканов BORMIOLI ROCCO BARTENDER LOUNGE 6 x 275 мл (666223BAU121990),921,1879617,Посуда >> Для напитков >> Стаканы >> Стаканы Bormioli Rocco,bormioli-rocco,Набір склянок Bormioli Rocco Bartender Lounge 6x275 мл (666223BAU121990),,921,1,https://comfy.ua/nabor-stakanov-bormioli-rocco-bartender-lounge-6x275-ml-666223bau121990.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
1091252937,6792420,BORMIOLI ROCCO,Набор стаканов BORMIOLI ROCCO BARTENDER LOUNGE 6 x 390 мл (666224BAU121990),988,1879618,Посуда >> Для напитков >> Стаканы >> Стаканы Bormioli Rocco,bormioli-rocco,Набір склянок Bormioli Rocco Bartender Lounge 6x390 мл (666224BAU121990),,988,1,https://comfy.ua/nabor-stakanov-bormioli-rocco-bartender-lounge-6x390-ml-666224bau121990.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1091294586,,,,,1870756,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Versailles,versailles,Салатник Versailles 210 мм 1880 мл (VS-6188),,375,1,https://comfy.ua/salatnik-versailles-210-mm-1880-ml-vs-6188.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1091295868,,,,,.1870757,Посуда >> Для сервировки,versailles,Салатник Versailles 196 мм 1900 мл (VS-6190),,311,1,https://comfy.ua/salatnik-versailles-196-mm-1900-ml-vs-6190.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1091295999,6789446,ARDESTO,Лопатка ARDESTO Gemini (AR2124SB),185,1909536,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ardesto,ardesto,Лопатка кухонна Ardesto Gemini (AR2124SB),,185,1,https://comfy.ua/lopatka-kuhonnaja-ardesto-gemini-ar2124sb.html,249,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1091305037,6789464,ARDESTO,Терка Ardesto Gemini (AR2131SS),185,1909538,"Посуда >> Нарезка и измельчение >> Терки, шинковки >> Терки, шинковки Ardesto",ardesto,Терка Ardesto Gemini (AR2131SS),,185,1,https://comfy.ua/terka-ardesto-gemini-ar2131ss.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
