742607168,column,column,column,column,1677911,Посуда >> Для запекания и выпечки,tescoma,___tescoma_623254_delicia_22_,column,899,1,httpscomfyuaformadljavypechkitescoma623254delicia22smhtml,column,05112025_1918,column,__42,Фастів,0
742514748,,,,,.1661291,Посуда >> Для хранения,tescoma,Хлібниця tescoma 896510 4Food 32 см,,2399,1,https://comfy.ua/hlebnica-tescoma-896510-4food-32-sm.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742514750,6618362,KRAUFF,Кастрюля KRAUFF Recht 4.2 л (2626-242-049),956,1680052,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Krauff,krauff,"Каструля Krauff 26-242-049 4,2 л.",,955,1,https://comfy.ua/kastrjulja-krauff-26-242-049-4-2-l.html,1592,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
742517308,,,,,1661151,Посуда >> Для приготовления,tescoma,Каструля tescoma 774020 Home Profi 20 см 4.0 л,,2999,1,https://comfy.ua/catalog/product/view/id/1298683,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
742517340,,,,,.1661448,Посуда >> Для сервировки,tescoma,Тарілка десертна tescoma 385120 Opus Stripes 20 см,,399,1,https://comfy.ua/tarelka-desertnaja-tescoma-385120-opus-stripes-20-sm.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
742517346,,,,,1678802,Посуда >> Для приготовления,tescoma,Каструля tescoma 780323 President Stone 20 см 3.0 л,,3499,1,https://comfy.ua/catalog/product/view/id/1344923,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
742517420,,,,,1661154,Посуда >> Для приготовления,tescoma,Каструля tescoma 779024 Vision 24 см 7.0 л,,4599,1,https://comfy.ua/catalog/product/view/id/1299813,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
742517602,,,,,1661618,Посуда >> Для приготовления,tescoma,Каструля tescoma 780255 President 24 см 5.0 л,,3999,1,https://comfy.ua/catalog/product/view/id/1302203,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
742517807,,,,,1677580,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Tescoma,tescoma,Келих tescoma 306414 Charlie 220 мл,,399,1,https://comfy.ua/nabor-bokalov-tescoma-306414-charlie-220-ml.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
742548633,,,,,.1661453,Посуда >> Для сервировки,tescoma,Тарілка обідня tescoma 385322 Legend 27 см,,399,1,https://comfy.ua/tarelka-obedennaja-tescoma-385322-legend-27-sm.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
742554815,,,,,1661461,Посуда >> Для сервировки,tescoma,Тарілка супова tescoma 387030 Crema 22 см,,449,1,https://comfy.ua/catalog/product/view/id/1335903,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
742554837,,,,,1661457,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Tescoma,tescoma,Тарілка супова tescoma 386332 Gustito,,559,1,https://comfy.ua/tarelka-supovaja-tescoma-386332-gustito.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
742554882,,,,,1661150,Посуда >> Для приготовления,tescoma,Каструля tescoma 774018 Home Profi 18 см 3.0 л,,2599,1,https://comfy.ua/catalog/product/view/id/1298663,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
742554902,,,,,.1661449,Посуда >> Для сервировки,tescoma,Тарілка обідня tescoma 385124 Opus Stripes 27 см,,649,1,https://comfy.ua/tarelka-obedennaja-tescoma-385124-opus-stripes-27-sm.html,,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
742554924,,,,,1661391,Посуда >> Кухонные аксессуары,tescoma,Набір мисок tescoma 630364.11 Delicia White 3 шт.,,1099,1,https://comfy.ua/nabor-misok-tescoma-630364-11-delicia-white-3-sht.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
742566999,,,,,.1678906,Техника для кухни >> Мелкая техника,tescoma,Ваги кухонні tescoma 634512  Accura 5.0 кг,,1699,1,https://comfy.ua/vesy-kuhonnye-tescoma-634512-accura-5-0-kg.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
742588461,,,,,1680825,Техника для дома >> Мелкая техника,gorenje,Пилосос для сухого прибирання з мішком Gorenje VCEB 11 CXR II (CJ151),,2199,1,https://comfy.ua/catalog/product/view/id/1345943,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
742598851,,,,,1679257,Техника для дома >> Мелкая техника,rotex,Вертикальний відпарювач стаціонарний Rotex RIC220-S Super Steam,,2499,1,https://comfy.ua/catalog/product/view/id/1345803/s/vertikal-nyj-otparivatel-ruchnoj-rotex-ric220-s-super-steam,3499,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
742598856,,,,,1675971,OUTLET,liberton,Уцінка - Електричний чайник Liberton LEK-1751 Black #,,594,1,https://comfy.ua/jelektricheskij-chajnik-liberton-lek-1751-black-ucenka-1-1.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
742605443,,,,,1678846,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633024 Delicia Deco бантики,,529,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-633024-delicia-deco-bantiki.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742605446,,,,,1678844,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633012 Delicia Deco для хлопчиків,,499,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-633012-delicia-deco-dlja-mal-chikov.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
742605741,,,,,1678843,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 633010 Delicia Deco для дівчаток,,499,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-633010-delicia-deco-dlja-devochek.html,,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
742607168,,,,,1677911,Посуда >> Для запекания и выпечки,tescoma,Форма для випічки tescoma 623254 Delicia 22 см,,899,1,https://comfy.ua/forma-dlja-vypechki-tescoma-623254-delicia-22-sm.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
742607635,,,,,.1678799,Посуда >> Для приготовления,tescoma,Ківш tescoma 774446 Home Profi 14 см 1.8 л для молока,,1699,1,https://comfy.ua/kovsh-tescoma-774446-home-profi-14-sm-1-8-l-dlja-moloka.html,,05.11.2025 20:33,,"вул. Соборна, 42",Фастів,0
742616525,6629756,ROTEX,Паровая система ROTEX RIC220-S SUPER STEAM,2499,1679257,Техника для дома >> Мелкая техника >> Утюги >> Утюги Rotex,rotex,Вертикальний відпарювач стаціонарний Rotex RIC220-S Super Steam,,2499,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-rotex-ric220-s-super-steam.html,3499,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
742616542,6629758,ROTEX,Электрочайник ROTEX RKT60-G,479,1675409,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Rotex,rotex,Електричний чайник Rotex RKT60-G,,479,1,https://comfy.ua/jelektricheskij-chajnik-rotex-rkt60-g.html,569,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
742618201,,,,,1678802,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Tescoma,tescoma,Каструля tescoma 780323 President Stone 20 см 3.0 л,,3499,1,https://comfy.ua/kastrjulja-tescoma-780323-president-stone-20-sm-3-0-l.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
742620290,,,,,1677611,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Tescoma,tescoma,Кухарський набір приладів tescoma 637428 5 шт.,,449,1,https://comfy.ua/povarskoj-nabor-prinadlezhnostej-tescoma-637428-5-sht.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
742684500,6660737,PRIME TECHNICS,Холодильник PRIME TECHNICS RFN 1851 E,17499,1681568,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Prime Technics,prime-technics,Холодильник Prime Technics RFN 1851 E,,17499,1,https://comfy.ua/holodil-nik-prime-technics-rfn-1851-e.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
742684561,6623623,GORENJE,Пылесос GORENJE VCE 03 SPRCY (VC-T4019),5149,1680822,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Gorenje,gorenje,Пилосос для сухого прибирання без мішка Gorenje VCE 03 SPRCY (VC-T4019),,4499,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-bez-meshka-gorenje-vce-03-sprcy-vc-t4019.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
742684562,6623629,GORENJE,Пылесос GORENJE VCEB 11 CXR II (CJ151),2599,1680825,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Gorenje,gorenje,Пилосос для сухого прибирання з мішком Gorenje VCEB 11 CXR II (CJ151),,2199,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-gorenje-vceb-11-cxr-ii-cj151.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
742726843,,,,,1682096,Техника для кухни >> Мелкая техника,gorenje,Електричний чайник Gorenje K17S,,759,1,https://comfy.ua/catalog/product/view/id/1352953,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
742726957,,,,,1680616,Техника для кухни >> Мелкая техника,tescoma,М'ясорубка tescoma 643586 Handy,,2999,1,https://comfy.ua/mjasorubka-tescoma-643586-handy.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
742726958,6579619,BEKO,Встраиваемая посудомоечная машина BEKO DIS35021,11699,1681452,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Beko,beko,Посудомийна машина вбудована Beko DIS35021,,11699,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-beko-dis35021.html,12999,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
742736861,,,,,1669525,Техника для кухни >> Крупная техника,whirlpool,Варильна поверхня електрична Whirlpool WS Q2160 NE,,13999,1,https://comfy.ua/catalog/product/view/id/1354443,18499,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
742757090,6542803,FIRST,Кофемолка FIRST FA-5482-2-BA,748,1681543,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки First,first,Кавомолка First FA-5482-2 BA,,749,1,https://comfy.ua/kofemolka-first-fa-5482-2-ba.html,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
742757818,6729786,VENTOLUX,Вытяжка VENTOLUX LIDO 50 BK (700),3399,1664761,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Ventolux,ventolux,Витяжка декоративна Ventolux LIDO 50 BK (700),,3399,1,https://comfy.ua/vytjazhka-dekorativnaja-ventolux-lido-50-bk-700.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
742759851,6613372,BEKO,Посудомоечная машина BEKO DVN05321W,13555,1681453,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Beko,beko,Посудомийна машина окремостояча Beko DVN05321W,,15999,1,https://comfy.ua/posudomoechnaja-mashina-beko-dvn05321w.html,16499,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
742766013,,,,,.1679356,Посуда >> Для запекания и выпечки,tescoma,Набор форм для печива Tescoma 630913 Delicia,,339,1,https://comfy.ua/nabor-form-dlja-vypechki-tescoma-630913-delicia.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
