1668988782,column,column,column,column,2882477,________krosno,krosno,__krosno_balance_250__6__788975,column,467,1,httpscomfyuanaborbokalovkrosnobalance250ml6sht788975html,column,05112025_1945,column,__42,Фастів,0
1668961229,6970297,EINHELL,Лобзик EINHELL TP-JS 18/135 Li BL - Solo (4321260),5639,2857973,Инструменты и автотовары >> Электроинструменты >> Электролобзики >> Электролобзики Einhell,einhell,Електролобзик Einhell TP-JS 18/135 Li BL - Solo (4321260),,5639,1,https://comfy.ua/jelektrolobzik-einhell-tp-js-18-135-li-bl-solo-4321260.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
1668986008,,,,,2886347,"Детские товары >> Уход, купание и гигиена",babyono,Щітка для дитячого волосся BabyOno дерев'яна з натуральною м'якою щетиною (799),,275,1,https://comfy.ua/schetka-dlja-detskih-volos-babyono-derevjannaja-s-natural-noj-mjagkoj-schetinoj-799.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
1668986014,,,,,.2884627,Бытовая химия >> Все для уборки,helper,Засіб для чищення скла Helper 5л (4823019005202),,235,1,https://comfy.ua/chistjaschee-sredstvo-dlja-stekla-helper-5l-4823019005202.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1668987892,,,,,2882456,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Чарка для горілки Krosno SHOT 30 мл 6 шт. (788807),,303,1,https://comfy.ua/rjumka-dlja-vodki-krosno-shot-30-ml-6-sht-788807.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
1668987900,,,,,2884018,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno SHOT 40 мл 6 шт. (786131),,322,1,https://comfy.ua/stopka-krosno-shot-40-ml-6-sht-786131.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1668987913,,,,,2884020,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno SHOT 50 мл 6 шт. (786186),,333,1,https://comfy.ua/stopka-krosno-shot-50-ml-6-sht-786186.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1668988358,,,,,2886584,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno STERLING 40 мл 6 шт. (911502),,291,1,https://comfy.ua/stopka-krosno-sterling-40-ml-6-sht-911502.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1668988398,,,,,2884015,Посуда >> Для сервировки >> Бокалы и рюмки >> Бокалы и рюмки Krosno,krosno,Стопка Krosno BALANCE 20 мл 6 шт. (785981),,594,1,https://comfy.ua/stopka-krosno-balance-20-ml-6-sht-785981.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1668988436,,,,,2884032,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno PURE 35 мл 6 шт. (788081),,615,1,https://comfy.ua/stopka-krosno-pure-35-ml-6-sht-788081.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1668988459,,,,,2886571,Посуда >> Для сервировки >> Рюмки и стопки >> Рюмки и стопки Krosno,krosno,Стопка Krosno STERLING 50 мл 6 шт. (832043),,517,1,https://comfy.ua/stopka-krosno-sterling-50-ml-6-sht-832043.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
