1662778592,6964801,aoc,_aoc_q27g4x_black,8399,2913843,_________aoc,aoc,__aoc_q27g4x_black,column,7999,1,httpscomfyuamonitorigrovojaocq27g4xblackhtml,9855,05112025_1736,column,__42,Фастів,0
1662778388,6964800,AOC,"""Монитор AOC 27"""" 27G4X""",6929,2913842,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор ігровий AOC 27G4X Black,,6419,1,https://comfy.ua/monitor-igrovoj-aoc-27g4x-black.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1662778592,6964801,AOC,Монитор AOC Q27G4X Black,8399,2913843,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы AOC",aoc,Монітор ігровий AOC Q27G4X Black,,7999,1,https://comfy.ua/monitor-igrovoj-aoc-q27g4x-black.html,9855,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1662779167,,,,,.2908294,Техника для дома >> Умный дом,sonoff,Розумний диммер Sonoff MINIR2,,599,1,https://comfy.ua/umnyj-dimmer-sonoff-minir2.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1662779169,,,,,.2908299,Техника для дома >> Умный дом,sonoff,Розумний диммер Sonoff POWR316,,1399,1,https://comfy.ua/umnyj-dimmer-sonoff-powr316.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1662779171,,,,,.2908300,Техника для дома >> Умный дом,sonoff,Розумний диммер Sonoff POWR320D,,1599,1,https://comfy.ua/umnyj-dimmer-sonoff-powr320d.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1662779172,,,,,.2908292,Техника для дома >> Умный дом,sonoff,Розумний диммер Sonoff 4CHR3,,2399,1,https://comfy.ua/umnyj-dimmer-sonoff-4chr3.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1662779174,,,,,.2908291,Техника для дома >> Умный дом,sonoff,Розумний диммер Sonoff 4CHPROR3,,3299,1,https://comfy.ua/umnyj-dimmer-sonoff-4chpror3.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1662779175,,,,,.2908298,Техника для дома >> Умный дом,sonoff,Розумний диммер Sonoff POWR3,,2799,1,https://comfy.ua/umnyj-dimmer-sonoff-powr3.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1662780999,6999016,HEINNER,Coffee/drip HEINNER HCM-1100D,1159,2897454,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Heinner,heinner,Кавоварка крапельна Heinner HCM-1100D,,1299,1,https://comfy.ua/kofevarka-kapel-naja-heinner-hcm-1100d.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1662781000,6973322,HEINNER,Кофеварка HEINNER HCM-750BK,859,2897455,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Heinner,heinner,Кавоварка крапельна Heinner HCM-750BK,,859,1,https://comfy.ua/kofevarka-kapel-naja-heinner-hcm-750bk.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1662781002,6973323,HEINNER,Кофеварка HEINNER HCM-900RBK,3199,2897457,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Heinner,heinner,Кавоварка крапельна Heinner HCM-900RBK,,3199,1,https://comfy.ua/kofevarka-kapel-naja-heinner-hcm-900rbk.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1662781003,6973324,HEINNER,Кофеварка HEINNER HCM-900XMC,1999,2897458,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Heinner,heinner,Кавоварка крапельна Heinner HCM-900XMC,,1999,1,https://comfy.ua/kofevarka-kapel-naja-heinner-hcm-900xmc.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1662781004,6973317,HEINNER,Кофеварка HEINNER HCM-D750GCBK,1019,2897459,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Heinner,heinner,Кавоварка крапельна Heinner HCM-D750GCBK,,1019,1,https://comfy.ua/kofevarka-kapel-naja-heinner-hcm-d750gcbk.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1662781005,6973318,HEINNER,Кофеварка HEINNER HCM-D750GCSS,1199,2897460,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Heinner,heinner,Кавоварка крапельна Heinner HCM-D750GCSS,,1199,1,https://comfy.ua/kofevarka-kapel-naja-heinner-hcm-d750gcss.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1662781007,6973320,HEINNER,Кофеварка HEINNER HCM-D915BKS,1599,2897462,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Heinner,heinner,Кавоварка крапельна Heinner HCM-D915BKS,,1499,1,https://comfy.ua/kofevarka-kapel-naja-heinner-hcm-d915bks.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
