1662904736,6973327,heinner,__heinner_hem200bg,2499,2897923,____________heinner,heinner,__heinner_hem200bg,column,2499,1,httpscomfyuakofevarkarozhkovajaheinnerhem200bghtml,column,05112025_1743,column,__42,Фастів,0
1662905998,6974894,NINJA,Гриль-барбекю NINJA Woodfire Pro XL OG850EU,21999,2912706,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю Ninja,ninja,Гриль-барбекю електричний Ninja Woodfire Pro XL (OG850EU),,21999,1,https://comfy.ua/gril-barbekju-jelektricheskij-ninja-woodfire-pro-xl-og850eu.html,33999,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
1662906260,,,,,2874656,"Детские товары >> Детская комната и безопасность >> Кресла, шезлонги и укачивающие центры >> Кресла, шезлонги и укачивающие центры Lionelo",lionelo,Крісло-шезлонг Lionelo Ralf Grey White,,5399,1,https://comfy.ua/kreslo-shezlong-lionelo-ralf-grey-white.html,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
1662906284,6898127,HEINNER,Тостер HEINNER TP-750GR,749,2894244,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Heinner,heinner,Тостер Heinner TP-750GR,,749,1,https://comfy.ua/toster-heinner-tp-750gr.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
1662906337,6914912,HEINNER,Тостер HEINNER HTP-1300WHR,1599,2894241,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Heinner,heinner,Тостер Heinner HTP-1300WHR,,1599,1,https://comfy.ua/toster-heinner-htp-1300whr.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
1662907059,,,,,.2907615,Детские товары >> Игрушки,winning-moves,Настільна гра (8+) Winning Moves MONOPOLY Dinosaurs (WM04251-EN1-6),,1545,1,https://comfy.ua/nastol-naja-igra-kartochnaja-18-monopoly-winning-moves-dinosaurs-wm04251-en1-6.html,,05.11.2025 22:41,,"вул. Соборна, 42",Фастів,0
1662907060,,,,,.2908714,Детские товары >> Игрушки,trefl,Настільна гра (3-4 роки) Trefl Дісней: (25 карт) (8495),,61,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-trefl-disnej-25-kart-8495.html,,05.11.2025 22:29,,"вул. Соборна, 42",Фастів,0
1662907061,,,,,.2908715,Детские товары >> Игрушки,trefl,Настільна гра (3-4 роки) Trefl Троли (25 карт) (8499),,61,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-trefl-troli-25-kart-8499.html,,05.11.2025 23:40,,"вул. Соборна, 42",Фастів,0
1662907063,,,,,2908717,Детские товары >> Игрушки,trefl,"""Настільна гра (5-7 років) Trefl """"Пожежник Сем 2"""" (25 карт) (8505)""",,61,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-trefl-pozharnyj-sjem-2-25-kart-8505.html,,06.11.2025 0:19,,"вул. Соборна, 42",Фастів,0
1662907064,,,,,2908718,Детские товары >> Игрушки,trefl,Настільна гра (3-4 роки) Trefl Веселе порося 2 (25 карт) (8506),,61,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-trefl-veselyj-porosenok-2-25-kart-8506.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1662907065,,,,,.2908719,Детские товары >> Игрушки,trefl,"""Настільна гра (5-7 років) Trefl """"Будівельник Боб"""" (25 карт) (8510)""",,61,1,https://comfy.ua/nastol-naja-igra-kartochnaja-5-7-let-trefl-stroitel-bob-25-kart-8510.html,,06.11.2025 0:19,,"вул. Соборна, 42",Фастів,0
1662907247,,,,,.2839768,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",choetech,Підставка під ноутбук Choetech H045-SL,,499,1,https://comfy.ua/podstavka-pod-noutbuk-choetech-h045-sl.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1662907249,6996085,EISEN,Кофемолка EISEN ECG-038B,639,2905153,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки EISEN,eisen,Кавомолка EISEN ECG-038B,,639,1,https://comfy.ua/kofemolka-eisen-ecg-038b.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1662907250,6898107,HEINNER,Кофемолка HEINNER HCG-150P,512,2894279,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Heinner,heinner,Кавомолка Heinner HCG-150P,,599,1,https://comfy.ua/kofemolka-heinner-hcg-150p.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1662907251,6891976,HEINNER,Кофемолка HEINNER HCG-150MOV,799,2894278,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Heinner,heinner,Кавомолка Heinner HCG-150MOV,,799,1,https://comfy.ua/kofemolka-heinner-hcg-150mov.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1662907253,6891975,HEINNER,Кофемолка HEINNER HCG-150IXGD,849,2894277,Техника для кухни >> Мир кофе >> Кофемолки >> Кофемолки Heinner,heinner,Кавомолка Heinner HCG-150IXGD,,849,1,https://comfy.ua/kofemolka-heinner-hcg-150ixgd.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
