757808333,column,column,column,column,1702277,__________silverlit,silverlit,__silverlit____88549,column,1979,1,httpscomfyuaradioupravljaemyjrobotsilverlitigrovojnaborrobotyfutbolisty88549html,column,05112025_2353,column,__42,Фастів,0
757816657,,,,,1713026,Детские товары >> Игрушки,zapf,Одяг та аксесуари для ляльки Zapf Трендовий спортивний костюм Рожевий (826980-1),,505,1,https://comfy.ua/odezhda-i-aksessuary-dlja-kollekcionnoj-kukly-zapf-trendovyj-sportivnyj-kostjum-rozovyj-826980-1.html,,06.11.2025 0:45,,"вул. Соборна, 42",Фастів,0
757816660,,,,,1700525,Comfy KIDS >> Игрушки для малышей >> Развивающие игрушки >> Развивающие игрушки Tigres,tigres,"""Сортер Tigres """"Дитяча Доміно"""" (39357)""",,119,1,https://comfy.ua/sorter-tigres-detskoe-domino-39357.html,,05.11.2025 20:36,,"вул. Соборна, 42",Фастів,0
757821417,6542970,MAXMARK,Форма MAXMARK MK-P120M,359,1710734,Посуда >> Для запекания и выпечки >> Формы и деко >> Формы и деко Maxmark,maxmark,Форма для приготування Maxmark MK-P120M,,359,1,https://comfy.ua/forma-dlja-prigotovlenija-maxmark-mk-p120m.html,1039,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
757823167,,,,,.1028529,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,"Корпусний вентилятор Chieftec Thermal Killer AF-0825S, 80мм",,159,1,https://comfy.ua/korpusnyj-ventiljator-chieftec-thermal-killer-af-0825s-80mm.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
757823295,,,,,.1024826,Игровые консоли и гейминг >> Комплектующие для игровых ПК,chieftec,Корпусний вентилятор Chieftec Thermal Killer AF-1225PWM,,319,1,https://comfy.ua/korpusnyj-ventiljator-chieftec-thermal-killer-af-1225pwm.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
757827020,,,,,1718997,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",real-el,Хаб USB REAL-EL CQ-415 Space Grey (EL123110001),,529,1,https://comfy.ua/catalog/product/view/id/1796933,,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
757828646,,,,,1718998,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",real-el,Хаб USB REAL-EL CQ-900 Space Grey (EL123110003),,1999,1,https://comfy.ua/catalog/product/view/id/1796963,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
757838996,,,,,1686194,Техника для кухни >> Крупная техника,weilor,Варильна поверхня газова Weilor GM W 634 BL,,9099,1,https://comfy.ua/catalog/product/view/id/1799323,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
757841335,,,,,1686180,Техника для кухни >> Крупная техника,weilor,Варильна поверхня газова Weilor GM W 644 SS,,9499,1,https://comfy.ua/catalog/product/view/id/1799783,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
757843084,,,,,1686183,Техника для кухни >> Крупная техника,minola,Варильна поверхня газова Minola MGM 616224 WH,,5524,1,https://comfy.ua/catalog/product/view/id/1799973,6499,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
