810962007,column,column,column,column,1777562,Инструменты и автотовары >> Ручные инструменты,stal,___18___23101,column,22,1,httpscomfyuanozhstroitelnyjstal18mm23101html,column,05112025_2149,column,__42,Фастів,0
810964446,6662567,СТАЛЬ,Отвертка СТАЛЬ двухсторонняя (49049),35,1777696,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,"Викрутка Сталь SL6x150, PH2x150 (49049)",,56,1,https://comfy.ua/otvertka-stal-sl6x150-ph2x150-49049.html,,05.11.2025 21:42,,"вул. Соборна, 42",Фастів,0
810964447,,,,,.1777166,Инструменты и автотовары >> Ручные инструменты,stal,Викрутка Сталь PH2x100 (49027),,64,1,https://comfy.ua/otvertka-stal-ph2x100-49027.html,,05.11.2025 21:43,,"вул. Соборна, 42",Фастів,0
810965142,,,,,1779640,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Midea,midea,Кондиціонер спліт Midea AG-07N8C,,17799,1,https://comfy.ua/kondicioner-split-midea-ag-07n8c2f-i-ag-07n8c2f-o.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
810965573,,,,,1777167,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Викрутка Сталь PH2x150 (49028),,67,1,https://comfy.ua/otvertka-stal-ph2x150-49028.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
810965574,,,,,.1777168,Инструменты и автотовары >> Ручные инструменты,stal,Викрутка Сталь PH3x150 (49029),,93,1,https://comfy.ua/otvertka-stal-ph3x150-49029.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810966082,,,,,1778240,Бытовая химия >> Для ванной комнаты >> Мыльницы и дозаторы для мыла >> Мыльницы и дозаторы для мыла Grohe,grohe,Дозатор для мила Grohe Хром (40536000),,3315,1,https://comfy.ua/dozator-dlja-myla-grohe-hrom-40536000.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
810966125,,,,,.1777242,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 100 г (44024),,98,1,https://comfy.ua/molotok-stal-100-g-44024.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810966126,,,,,.1777120,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 225 г (44009),,129,1,https://comfy.ua/kijanka-stal-225-g-44009.html,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
810966127,,,,,.1777243,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 200 г (44025),,165,1,https://comfy.ua/molotok-stal-200-g-44025.html,,05.11.2025 22:23,,"вул. Соборна, 42",Фастів,0
810966128,,,,,.1777275,Инструменты и автотовары >> Ручные инструменты,svitjaz,Молоток Свiтязь 300 г (44062),,165,1,https://comfy.ua/molotok-svitjaz-300-g-44062.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
810966129,,,,,.1777121,Инструменты и автотовары >> Ручные инструменты,stal,Киянка Сталь 450 г (44010),,169,1,https://comfy.ua/kijanka-stal-450-g-44010.html,,05.11.2025 21:58,,"вул. Соборна, 42",Фастів,0
810966131,6559331,СТАЛЬ,Отвертка СТАЛЬ SL6x150 (49022),66,1777116,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Сталь",stal,Молоток Сталь 300 г (44004),,225,1,https://comfy.ua/molotok-stal-300-g-44004.html,,05.11.2025 23:07,,"вул. Соборна, 42",Фастів,0
810966132,,,,,.1777244,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 400 г (44026),,239,1,https://comfy.ua/molotok-stal-400-g-44026.html,,05.11.2025 23:05,,"вул. Соборна, 42",Фастів,0
