1425353918,column,column,column,column,2197648,_______________make,make,___make_crystal_magnet_apple_iphone_14_pro_max_mccmai14pm,column,509,1,httpscomfyuacheholdljasmartfonamakecrystalmagnetappleiphone14promaxmccmai14pmhtml,column,05112025_1833,column,__42,Фастів,0
1427073380,,,,,2201631,Смарт-часы и гаджеты >> Аксессуары,becover,Ремінець для смарт-годинника BeCover Nylon Style for Xiaomi iMi KW66/Mi Watch Color/Haylou LS01/Watch S1 Active Blue-Green (705882),,179,1,https://comfy.ua/remeshok-dlja-smart-chasov-becover-nylon-style-for-xiaomi-imi-kw66-mi-watch-color-haylou-ls01-watch-s1-active-blue-green-705882.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1427125241,,,,,2199434,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",lenovo,Ноутбук Lenovo ThinkPad T16 (21CH0028RA) Villi Black,,45941,1,https://comfy.ua/noutbuk-lenovo-thinkpad-t16-21ch0028ra-villi-black.html,51999,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1427149508,,,,,.1852415,Техника для кухни >> Крупная техника,electrolux,Посудомийна машина вбудована Electrolux EEC967310L,,47199,1,https://comfy.ua/posudomoechnaja-mashina-vstraivaemaja-electrolux-eec967310l.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1427247159,,,,,2197703,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Чохол для смартфону MAKE Silicone Apple iPhone 14 Chalk Pink (MCL-AI14CP),,449,1,https://comfy.ua/chehol-dlja-smartfona-make-silicone-apple-iphone-14-chalk-pink-mcl-ai14cp.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
1427247161,,,,,2197709,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Чохол для смартфону MAKE Silicone Apple iPhone 14 Blue (MCL-AI14BL),,449,1,https://comfy.ua/chehol-dlja-smartfona-make-silicone-apple-iphone-14-blue-mcl-ai14bl.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
1427247177,,,,,2197711,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Чохол для смартфону MAKE Premium Silicone Apple iPhone 14 Midnight (MCLP-AI14MN),,449,1,https://comfy.ua/chehol-dlja-smartfona-make-premium-silicone-apple-iphone-14-midnight-mclp-ai14mn.html,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
1427247180,,,,,2197697,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Чохол для смартфону MAKE Premium Silicone Apple iPhone 14 Storm Blue (MCLP-AI14SB),,499,1,https://comfy.ua/chehol-dlja-smartfona-make-premium-silicone-apple-iphone-14-storm-blue-mclp-ai14sb.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1427493118,6820770,SENCOR,Мультистайлер SENCOR SHS 8550BK,1549,2199455,Красота и здоровье >> Уход за волосами >> Фен-щетки >> Фен-щетки Sencor,sencor,Фен-щітка Sencor SHS 8550BK,,1649,1,https://comfy.ua/stajler-sencor-shs-8550bk.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
1427570504,,,,,2197644,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Захисне скло для смартфону MAKE Full Cover Full Glue Apple iPhone 14 Pro Max (MGF-AI14PM),,449,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-make-full-cover-full-glue-apple-iphone-14-pro-max-mgf-ai14pm.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1427570505,,,,,2197645,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Захисне скло для смартфону MAKE Full Cover Full Glue Apple iPhone 14 Pro (MGF-AI14P),,449,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-make-full-cover-full-glue-apple-iphone-14-pro-mgf-ai14p.html,,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
