1669027288,column,column,column,column,2887050,______________york,york,_york_salsa__pepita_81302,column,529,1,httpscomfyuashvabrayorksalsamorpepita81302html,column,05112025_1919,column,__42,Фастів,0
1669027307,6351896,VILEDA,Комплект для уборки VILEDA EasyWring&Clean TURBO (151153),1900,2882502,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Vileda,vileda,Набір для прибирання Vileda EasyWring & Clean Turbo (4023103194113),,1584,1,https://comfy.ua/nabor-dlja-uborki-vileda-easywring-clean-turbo-4023103194113.html,3169,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1669027309,7038282,BUMPRIDER,Антимоскитная сетка для коляски Bumprider Connect 3 (51284-097),960,2930218,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Bumprider,bumprider,Москітна сітка для коляски Bumprider Connect 3,,960,1,https://comfy.ua/moskitnaja-setka-dlja-koljaski-bumprider-connect-3.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1669027314,7038283,BUMPRIDER,Дождевик для коляски Bumprider Connect 3 (51284-098),960,2930227,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Bumprider,bumprider,Дощовик для коляски Bumprider Connect 3,,960,1,https://comfy.ua/dozhdevik-dlja-koljaski-bumprider-connect-3.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1669027317,7038287,BUMPRIDER,Адаптер для автокресла к коляске Bumprider Connect 3 (51284-099),1320,2930217,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Bumprider,bumprider,Адаптер для коляски Bumprider Connect 3,,1320,1,https://comfy.ua/adapter-dlja-koljaski-bumprider-connect-3.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1669027318,,,,,.2930219,Детские товары >> Прогулки и поездки,bumprider,Запчастини для дитячих колясок Bumprider Бампер для коляски Connect 3,,1320,1,https://comfy.ua/zapchasti-dlja-detskih-koljasok-bumprider-connect-3.html,,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1669027320,7038286,BUMPRIDER,Сумка для коляски Bumprider Connect 3 grey-black (51284-205),3900,2930240,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Bumprider,bumprider,Сумка для коляски Bumprider Connect 3 Grey-Black,,3900,1,https://comfy.ua/sumka-dlja-koljaski-bumprider-connect-3-grey-black.html,,05.11.2025 20:49,,"вул. Соборна, 42",Фастів,0
1669027321,7038285,BUMPRIDER,Сумка для коляски Bumprider Connect 3 black-black (51284-203),3900,2930239,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Bumprider,bumprider,Сумка для коляски Bumprider Connect 3 Black-Black,,3900,1,https://comfy.ua/sumka-dlja-koljaski-bumprider-connect-3-black-black.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1669027382,,,,,2901714,Техника для кухни >> Мелкая техника >> Тостеры >> Тостеры Delonghi,delonghi,Тостер Delonghi CTIN 2103 TB,,4599,1,https://comfy.ua/toster-delonghi-ctin-2103-tb.html,5799,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
1669027396,7038281,BUMPRIDER,Люлька к коляске Bumprider Connect 3 Teal (51284-103),8340,2930238,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Bumprider,bumprider,Люлька для коляски Bumprider Connect 3 Teal,,8340,1,https://comfy.ua/ljul-ka-dlja-koljaski-bumprider-connect-3-teal.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1669027397,7038276,BUMPRIDER,Люлька к коляске Bumprider Connect 3 Black (51284-104),8340,2930233,Детские товары >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Bumprider,bumprider,Люлька для коляски Bumprider Connect 3 Black,,8340,1,https://comfy.ua/ljul-ka-dlja-koljaski-bumprider-connect-3-black.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
