1094506353,column,column,column,column,1907892,Посуда >> Для напитков,noveen,_noveen_tb811_white_400_,column,499,1,httpscomfyuatermobutylkanoveentb811white400mlhtml,column,05112025_1920,column,__42,Фастів,0
1094593522,,,,,1936048,Посуда >> Для напитков,tavialo,Термочашка Tavialo 460 мл White (190460102),,395,1,https://comfy.ua/termokruzhka-tavialo-460-ml-white-190460102.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
1094594124,6987474,CONTIGO,"Термокружка CONTIGO Byron 16 2.0 0,47 л Red (2155587)",1399,1885511,Посуда >> Для напитков >> Термопосуда >> Термопосуда Contigo,contigo,Термочашка Contigo 0.47 л (2155587),,1399,1,https://comfy.ua/termokruzhka-contigo-0-47-l-2155587.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
1094594364,6987476,CONTIGO,"Термокружка CONTIGO Byron 20 2.0 0,59 л Blue (2155589)",1649,1885513,Посуда >> Для напитков >> Термопосуда >> Термопосуда Contigo,contigo,Термочашка Contigo 0.59 л (2155589),,1499,1,https://comfy.ua/termokruzhka-contigo-0-59-l-2155589.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
1094604447,6425288,BORMIOLI ROCCO,Набор для виски BORMIOLI ROCCO Cassiopea (234525S01021990),1786,1871808,Посуда >> Для напитков >> Стаканы >> Стаканы Bormioli Rocco,bormioli-rocco,Набір склянок для віскі Bormioli Rocco Cassiopea 7 пр. с графином (234525S01021990),,1925,1,https://comfy.ua/nabor-stakanov-dlja-viski-bormioli-rocco-cassiopea-7-pr-s-grafinom-234525s01021990.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1094606278,6687796,RINGEL,Лопатка RINGEL Havel 34 см (RG-5121/2),208,1917316,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Ringel,ringel,Лопатка кухонна Ringel Havel (RG-5121/2),,209,1,https://comfy.ua/lozhka-povarskaja-ringel-havel-rg-5121-2.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1094609368,,,,,1892153,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,"Свічка чайна Bolsius 4 години, 10шт (306700)",,86,1,https://comfy.ua/svecha-chajnaja-bolsius-4-chasa-10sht.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1094609515,,,,,1892117,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,"Свічка конусна Bolsius Біла 245/24, 4шт (350902)",,119,1,https://comfy.ua/svecha-konusnaja-bolsius-belaja-245-24-4sht.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
1094609548,,,,,1892118,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,"Свічка конусна Bolsius Бордо 245/24, 4шт (350944)",,125,1,https://comfy.ua/svecha-konusnaja-bolsius-bordo-245-24-4sht.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1094609553,,,,,1892139,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,"Свічка конусна Bolsius Червона 245/24, 4шт (350941)",,125,1,https://comfy.ua/svecha-konusnaja-bolsius-krasnaja-245-24-4sht.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1094609579,,,,,1892140,"Дом, отдых и зоотовары >> Декор для дома >> Свечи и подсвечники >> Свечи и подсвечники Bolsius",bolsius,"Свічка конусна Bolsius Кремова 245/24, 4шт (350905)",,79,1,https://comfy.ua/svecha-konusnaja-bolsius-kremovaja-245-24-4sht.html,,05.11.2025 19:40,,"вул. Соборна, 42",Фастів,0
