1334518174,column,column,column,column,2047416,"Дом, отдых и зоотовары >> Декор для дома",ideyka,___ideyka_______40x50__kho2857,column,295,1,httpscomfyuakartinaponomeramidejkazvjozdnajanochcvinsentvangog40x50smkho2857html,column,05112025_2011,column,__42,Фастів,0
1334722701,6807800,LOGITECH,Мышь Logitech MX Master 3S Performance Wireless Mouse Bluetooth Pale Grey (910-006560),5599,2048315,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Logitech",logitech,Миша бездротова Logitech MX Master 3S Performance Pale Grey (910-006560),,5599,1,https://comfy.ua/mysh-besprovodnaja-logitech-mx-master-3s-performance-pale-grey-910-006560.html,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1334722789,6807451,HUAWEI,Смарт-часы HUAWEI Watch Fit 2 Sakura Pink,2999,2049416,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Huawei,huawei,Смарт-годинник Huawei Watch Fit 2 Sakura Pink,,3699,1,https://comfy.ua/smart-chasy-huawei-watch-fit-2-sakura-pink.html,,05.11.2025 18:17,,"вул. Соборна, 42",Фастів,0
1334722792,6807450,HUAWEI,Смарт-часы HUAWEI Watch Fit 2 Midnight Black,2999,2049415,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы Huawei,huawei,Смарт-годинник Huawei Watch Fit 2 Midnight Black,,3699,1,https://comfy.ua/smart-chasy-huawei-watch-fit-2-midnight-black.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,2
1334723376,6620358,OSCAR,Кастрюля OSCAR Grand 3.15 л (OSR-2001-20),565,2043938,Посуда >> Для приготовления >> Кастрюли >> Кастрюли OSCAR,oscar,Каструля OSCAR Grand 20 см 3.15 л (OSR-2001-20),,565,1,https://comfy.ua/kastrjulja-oscar-grand-20-sm-3-15-l-osr-2001-20.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1334723681,6854810,TTEC,Гарнитура TTEC AirBeat Lite 2 White (2KM137B),1499,2049472,"Аудио, фото и видео >> Наушники",ttec,Навушники вкладиші бездротові TWS Ttec AirBeat Lite 2 White (2KM137B),,698,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-ttec-airbeat-lite-2-white-2km137b.html,1499,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1334735312,,,,,2049446,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Whirlpool,whirlpool,Варильна поверхня газова Whirlpool TKRL660IX,,8399,1,https://comfy.ua/varochnaja-panel-gazovaja-whirlpool-tkrl660ix.html,10199,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1334738300,,,,,2049423,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Beko,beko,Духова шафа електрична Beko BBIE123002XD,,10333,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-beko-bbie123002xd.html,11599,05.11.2025 17:28,,"вул. Соборна, 42",Фастів,0
1334831415,,,,,2033567,Игровые консоли и гейминг >> Комплектующие для игровых ПК,qube,Корпус QUBE White (SNOW_FMMU3),,2699,1,https://comfy.ua/korpus-qube-white-snow-fmmu3.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1334899981,6812274,ASEL,Электропечь ASEL AF 33-23 GREY,2649,2048116,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи ASEL,asel,Піч електрична ASEL AF-0023/33-23 Silver,,2649,1,https://comfy.ua/pech-jelektricheskaja-asel-af-0023-33-23-silver.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1334899986,,,,,2048114,Техника для кухни >> Крупная техника,asel,Піч електрична ASEL AF-0023/33-23 Black,,2849,1,https://comfy.ua/pech-jelektricheskaja-asel-af-0023-33-23-black.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
