1440846085,7170479,MINOLA,Вытяжка MINOLA HPL 612 BL,2189,2211914,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка традиційна Minola HPL 612 BL,,2189,1,https://comfy.ua/vytjazhka-tradicionnaja-minola-hpl-612-bl.html,2433,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1440847914,7128539,GIGABYTE,Монитор GIGABYTE G24F 2 UK Black,5299,2241730,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Gigabyte",gigabyte,Монітор ігровий Gigabyte G24F 2 Gaming,,5299,1,https://comfy.ua/monitor-igrovoj-gigabyte-g24f-2-gaming.html,6799,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1440853952,,,,,2241724,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",benq,Монітор BenQ PD2506Q Dark Grey,,17129,1,https://comfy.ua/monitor-benq-pd2506q-dark-grey.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1441051337,6883453,TEFAL,Набор посуды TEFAL Emotion New Ingenio 13 пр (L897SD74),5399,2227328,Посуда >> Для приготовления >> Посуда со съемной ручкой Ingenio >> Посуда со съемной ручкой Ingenio Tefal,tefal,Набір посуду зі знімною ручкою Tefal L897SD74 Ingenio Emotion 13 пр,,5699,1,https://comfy.ua/nabor-posudy-so-s-emnoj-ruchkoj-tefal-l897sd74-emotion-13-pr.html,15799,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1441085947,6866638,ARDESTO,Заварник Ardesto 1000 мл (AR3010GL),350,2243028,Посуда >> Для напитков >> Френч-прессы и чайники заварочные >> Френч-прессы и чайники заварочные Ardesto,ardesto,Чайник заварювальний Ardesto 1000 мл (AR3010GL),,350,1,https://comfy.ua/chajnik-zavarochnyj-ardesto-1000-ml-ar3010gl.html,555,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
1441095382,6834000,GUNTER & HAUER,Варочная поверхность GUNTER & HAUER GL 64 IVR,8499,2223725,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Gunter&Hauer,gunterhauer,Варильна поверхня газова Gunter & Hauer GL 64 IVR,,8499,1,https://comfy.ua/varochnaja-panel-gazovaja-gunter-hauer-gl-64-ivr.html,,05.11.2025 20:41,,"вул. Соборна, 42",Фастів,0
1441108633,6893153,PERFELLI,Вытяжка PERFELLI PL 6144 W LED,2899,2209318,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка традиційна Perfelli PL 6144 W LED,,2899,1,https://comfy.ua/vytjazhka-tradicionnaja-perfelli-pl-6144-w-led.html,3624,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1441108634,6893150,PERFELLI,Вытяжка PERFELLI PL 6144 BR LED,2899,2209319,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка традиційна Perfelli PL 6144 BR LED,,2899,1,https://comfy.ua/vytjazhka-tradicionnaja-perfelli-pl-6144-br-led.html,3624,05.11.2025 18:52,,"вул. Соборна, 42",Фастів,0
1441108635,6893132,PERFELLI,Вытяжка PERFELLI PL 5144 BR LED,2599,2209326,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка традиційна Perfelli PL 5144 BR LED,,2599,1,https://comfy.ua/vytjazhka-tradicionnaja-perfelli-pl-5144-br-led.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1441108636,6893149,PERFELLI,Вытяжка PERFELLI PL 6144 BL LED,2599,2209317,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка традиційна Perfelli PL 6144 BL LED,,2899,1,https://comfy.ua/vytjazhka-tradicionnaja-perfelli-pl-6144-bl-led.html,3624,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1441108637,6893135,PERFELLI,Вытяжка PERFELLI PL 5144 W LED,2599,2209325,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка традиційна Perfelli PL 5144 W LED,,2599,1,https://comfy.ua/vytjazhka-tradicionnaja-perfelli-pl-5144-w-led.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
