1034571157,column,column,column,column,1866974,Детские товары >> Игрушки для малышей,toystate,___toy_state___90013,column,669,1,httpscomfyuainteraktivnajaigrushkaplastikovajatoystatelesnyedruzja90013html,column,05112025_2006,column,__42,Фастів,0
1036121739,,,,,1861421,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ritar,"Кабель патч-корд Ritar RJ-45, Cat.5e 1 m (PCR-CU/1Rd / 04271)",,99,1,https://comfy.ua/catalog/product/view/id/2994363,,05.11.2025 22:26,,"вул. Соборна, 42",Фастів,0
1036122767,,,,,1861443,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,Кабель патч-корд Kingda FTP Cat.5e 0.5 m (PAFT4050-CU),,44,1,https://comfy.ua/catalog/product/view/id/2995233,,05.11.2025 22:25,,"вул. Соборна, 42",Фастів,0
1036261871,6059452,BOSCH,Миксер BOSCH MFQ 36400,1799,1257757,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Bosch,bosch,Міксер Bosch MFQ 36400,,1799,1,https://comfy.ua/mikser-bosch-mfq-36400.html,2189,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
1036308767,,,,,.1865807,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",kingda,"Кабель HDMI Kingda HDMI M - M,1.5 m V1.4 (HMAA8001-1.5M)",,89,1,https://comfy.ua/kabel-hdmi-kingda-hdmi-m-m-1-5-m-v1-4-hmaa8001-1-5m.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
1036347878,6747263,PRIME TECHNICS,Микроволновая печь PRIME TECHNICS PMW 23924 HS,4099,1867438,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Prime Technics,prime-technics,Мікрохвильова піч (НВЧ) Prime Technics PMW 23924 HS,,4099,1,https://comfy.ua/mikrovolnovaja-pech-svch-prime-technics-pmw-23924-hs.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
1036349697,6739139,GAMEPRO,Гарнитура GAMEPRO HS733,699,1866106,"Аудио, фото и видео >> Наушники >> Наушники GamePro",gamepro,Гарнітура дротова ігрова GamePro HS733,,699,1,https://comfy.ua/garnitura-provodnaja-igrovaja-gamepro-hs733.html,949,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1036350442,,,,,1867838,Comfy KIDS >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Maxi-Cosi,maxi-cosi,Адаптер для коляски Maxi-Cosi Leona (8493057110),,1080,1,https://comfy.ua/adapter-dlja-koljaski-maxi-cosi-leona-8493057110.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
1036351388,6747264,PRIME TECHNICS,Утюг PRIME TECHNICS PTI 2487 FR,1149,1867439,Техника для дома >> Мелкая техника >> Утюги >> Утюги Prime Technics,prime-technics,Праска Prime Technics PTI 2487 FR,,1149,1,https://comfy.ua/utjug-prime-technics-pti-2487-fr.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1036354888,,,,,1868056,Comfy KIDS >> Прогулки и поездки >> Автокресла и аксессуары для поездок >> Автокресла и аксессуары для поездок Britax-Romer,britax-romer,Чохол для автокрісла Britax-Romer Car Seat Saver,,1500,1,https://comfy.ua/chehol-dlja-avtokresla-britax-romer-car-seat-saver.html,,05.11.2025 21:04,,"вул. Соборна, 42",Фастів,0
1036355005,,,,,1867440,Техника для дома >> Мелкая техника,prime-technics,Праска Prime Technics PTI 3078 FK,,1489,1,https://comfy.ua/utjug-prime-technics-pti-3078-fk.html,,05.11.2025 18:49,,"вул. Соборна, 42",Фастів,0
