818489831,column,column,column,column,1784438,__________lor,lor,___lor_espresso_splendente_10_,column,155,1,httpscomfyuakofevkapsulahdljaxiaomilorespressosplendente10shthtml,column,05112025_1732,column,__42,Фастів,3
818489831,,,,,1784438,Техника для кухни >> Мир кофе >> Кофе >> Кофе L`OR,lor,Кава у капсулах L`OR Espresso Splendente 10 шт.,,155,1,https://comfy.ua/kofe-v-kapsulah-dlja-xiaomi-l-or-espresso-splendente-10-sht.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,3
818489832,,,,,1784439,Техника для кухни >> Мир кофе >> Кофе >> Кофе L`OR,lor,Кава у капсулах L`OR Ristretto 10 шт.,,169,1,https://comfy.ua/kofe-v-kapsulah-dlja-xiaomi-l-or-ristretto-10-sht.html,245,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,2
818489833,,,,,1784441,Техника для кухни >> Мир кофе,lor,Кава у капсулах L`OR Espresso Forza 10 шт.,,169,1,https://comfy.ua/kofe-v-kapsulah-dlja-xiaomi-l-or-espresso-forza-10-sht.html,245,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
818489834,,,,,1784437,Техника для кухни >> Мир кофе >> Кофе >> Кофе L`OR,lor,Кава у капсулах L`OR Lungo Profondo 10 шт.,,158,1,https://comfy.ua/kofe-v-kapsulah-dlja-xiaomi-l-or-lungo-profondo-10-sht.html,242,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,2
818489835,,,,,1784440,Техника для кухни >> Мир кофе,lor,Кава у капсулах L`OR Lungo Elegante 10 шт.,,179,1,https://comfy.ua/kofe-v-kapsulah-dlja-xiaomi-l-or-lungo-elegante-10-sht.html,245,05.11.2025 17:31,,"вул. Соборна, 42",Фастів,2
818532991,6688549,BEURER,Очиститель воздуха BEURER LR 220,10019,1787089,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха Beurer,beurer,Очищувач повітря Beurer LR 220,,10019,1,https://comfy.ua/ochistitel-vozduha-beurer-lr-220.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
818533604,7041764,TOLSEN,Молоток столярный TOLSEN 16 oz с магнитом (25185),278,1786294,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Tolsen",tolsen,Молоток Tolsen 450 г (25185),,309,1,https://comfy.ua/molotok-tolsen-450-g-25185.html,,05.11.2025 23:01,,"вул. Соборна, 42",Фастів,0
818534576,,,,,1782315,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Edu-Toys,edu-toys,Інтерактивний робот Edu-Toys Мій перший програмований робот (JS020),,3925,1,https://comfy.ua/programmiruemyj-robot-edu-toys-moj-pervyj-programmiruemyj-robot-js020.html,,05.11.2025 23:53,,"вул. Соборна, 42",Фастів,0
818534609,6686161,BOSCH,Кусторез BOSCH EasyHedgeCut 45 (0.600.847.A05),3086,1787183,Инструменты и автотовары >> Садовые инструменты >> Кусторезы >> Кусторезы Bosch,bosch,Кущоріз Bosch EasyHedgeCut 45 (0.600.847.A05),,3085,1,https://comfy.ua/kustorez-bosch-easyhedgecut-45-0-600-847-a05.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
818534670,,,,,1787974,Детские товары >> Детская комната и безопасность >> Безопасность малыша >> Безопасность малыша BabyOno,babyono,"Заглушки для розетки BabyOno 950, 6 шт.",,109,1,https://comfy.ua/zaglushki-dlja-rozetki-babyono-950-6-sht.html,,05.11.2025 20:34,,"вул. Соборна, 42",Фастів,0
