1661931443,6989468,xiaomi,_xiaomi_smart_air_fryer_maf10_white,4999,2896214,______________xiaomi,xiaomi,_xiaomi_smart_air_fryer_maf10_white,column,4999,1,httpscomfyuamultipechxiaomismartairfryermaf10whitehtml,column,05112025_1739,column,__42,Фастів,0
1661937580,7031112,TREFL,"""Пазл TREFL 9000 елм. - Безграничная коллекция: """"Марвел - Мстители"""" (81022)""",2599,2870255,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl Безмежна колекція: """"Марвел - Месники""""  (9000 ел.) (81022)""",,3029,1,https://comfy.ua/pazly-kartonnye-8-trefl-bezgranichnaja-kollekcija-marvel-mstiteli-9000-jelm-81022.html,,05.11.2025 23:31,,"вул. Соборна, 42",Фастів,0
1661937581,,,,,2870257,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl """"Дракон, Баузон"""" Легенда Китаю  (500 ел.) (93543)""",,289,1,https://comfy.ua/pazly-kartonnye-8-trefl-drakon-bauzon-legenda-kitaja-500-jelm-93543.html,,05.11.2025 23:01,,"вул. Соборна, 42",Фастів,0
1661937584,,,,,2876042,Детские товары >> Игрушки,trefl,"""Пазли (до 2 років) Trefl розмальовка - """"Подорож"""" / Томас та його друзі  (15 елем. SUPER MAXI) (42008)""",,365,1,https://comfy.ua/pazly-kartonnye-do-2-let-trefl-raskraska-puteshestvie-tomas-i-ego-druz-ja-15-jelem-super-maxi-42008.html,,06.11.2025 0:30,,"вул. Соборна, 42",Фастів,0
1661937586,,,,,2876044,Детские товары >> Игрушки,trefl,"""Пазли (3-4 роки) Trefl розмальовка - """"Друзі"""" / Пожежник Сем  (24 елем. SUPER MAXI) (41015)""",,325,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-raskraska-druz-ja-pozharnyj-sjem-24-jelem-super-maxi-41015.html,,05.11.2025 23:46,,"вул. Соборна, 42",Фастів,0
1661937587,,,,,2876049,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl """"Супер форми"""" - """"Ігри тролів""""  (104 елем. XL) (50037)""",,325,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-super-formy-igry-trollej-104-jelem-xl-50037.html,,06.11.2025 0:02,,"вул. Соборна, 42",Фастів,0
1661937590,,,,,.2876053,Детские товары >> Игрушки,trefl,"""Пазли (3-4 роки) Trefl Глітерні - """"Дівчатка"""" (70 елем.) (53020)""",,345,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-gliternye-devochki-70-jelem-53020.html,,05.11.2025 23:28,,"вул. Соборна, 42",Фастів,0
1661937591,,,,,2876054,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl Глітерні  - """"Тролі""""  (70 елем.) (53021)""",,349,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-gliternye-trolli-70-jelem-53021.html,,05.11.2025 23:24,,"вул. Соборна, 42",Фастів,0
1661937594,,,,,2876060,Детские товары >> Игрушки,trefl,"""Пазли (5-7 років) Trefl Глітерні  - """"Барбі""""  (100 елем.) (14830)""",,265,1,https://comfy.ua/pazly-kartonnye-5-7-let-trefl-gliternye-barbi-100-jelem-14830.html,,05.11.2025 23:39,,"вул. Соборна, 42",Фастів,0
1661937595,,,,,2876062,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (8 +) Trefl """"Зібрання чаклунів""""  (1000 елем.) (10765)""",,345,1,https://comfy.ua/pazly-kartonnye-8-trefl-sobranie-koldunov-1000-jelem-10765.html,,06.11.2025 0:31,,"вул. Соборна, 42",Фастів,0
1661937597,,,,,2876075,Детские товары >> Игрушки >> Пазлы >> Пазлы Trefl,trefl,"""Пазли (3-4 роки) Trefl """"Габбі з котиками""""  (2в1 + Мемо) (93382)""",,279,1,https://comfy.ua/pazly-kartonnye-3-4-goda-trefl-gabbi-s-kotikami-2v1-memo-93382.html,,05.11.2025 23:30,,"вул. Соборна, 42",Фастів,0
