1322729627,column,column,column,column,1760856,Техника для дома >> Крупная техника,leov,_leov_lv_slim_50_l,column,5399,1,httpscomfyuacatalogproductviewid3995393,column,05112025_1819,column,__42,Фастів,0
1324052867,6810086,TEFAL,Утюг TEFAL Express Steam FV2838E0,1999,2028415,Техника для дома >> Мелкая техника,tefal,Праска Tefal FV2838E0,,1999,1,https://comfy.ua/utjug-tefal-fv2838e0.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1324194878,,,,,2027496,"Аудио, фото и видео >> Акустика >> Микрофоны >> Микрофоны HyperX",hyperx,Мікрофон до комп'ютера HyperX SoloCast (4P5P8AA),,2699,1,https://comfy.ua/mikrofon-dlja-komp-jutera-provodnoj-hyperx-solocast-4p5p8aa.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1324194950,,,,,.1946459,Посуда >> Нарезка и измельчение,gusto,Ніж для піци Gusto GT-6501,,144,1,https://comfy.ua/nozh-dlja-piccy-gusto-gt-6501.html,,05.11.2025 19:49,,"вул. Соборна, 42",Фастів,0
1324242024,7091590,GEMBIRD,Мышь GEMBIRD MUSW-4BSC-01 Black,269,1974323,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Gembird",gembird,Миша бездротова Gembird MUSW-4BSC-01 Black,,205,1,https://comfy.ua/mysh-besprovodnaja-gembird-musw-4bsc-01-black.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1324242082,,,,,1987945,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные A4tech",a4tech,Миша бездротова A4tech Fstyler FB35C Midnight Green USB,,669,1,https://comfy.ua/mysh-besprovodnaja-a4tech-fstyler-fb35c-midnight-green-usb.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
1324265967,6634722,TRUST,Powerbank TRUST LARO для ноутбуков/смартфонов 20000 mAH Black (23892),2999,2027224,Смартфоны и телефоны >> Аксессуары для смартфонов >> Мобильные батареи >> Мобильные батареи Trust,trust,Батарея мобільна Trust Laro 65W USB-C laptop 20000 (23892),,2999,1,https://comfy.ua/batareja-mobil-naja-trust-laro-65w-usb-c-laptop-20000-23892.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1324270274,,,,,1990048,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши A4tech",a4tech,Килимок для миші A4tech X7-200S Black,,139,1,https://comfy.ua/kovrik-dlja-myshi-a4tech-x7-200s-black.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1324270278,,,,,1987947,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши A4tech",a4tech,Килимок для миші A4tech FP20 Grey,,169,1,https://comfy.ua/kovrik-dlja-myshi-a4tech-fp20-grey.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1324270279,,,,,1987952,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши A4tech",a4tech,Килимок для миші A4tech FP25 Pink,,179,1,https://comfy.ua/kovrik-dlja-myshi-a4tech-fp25-pink.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1324270280,,,,,1987953,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Коврики для мыши >> Коврики для мыши A4tech",a4tech,Килимок для миші A4tech FP25 Silver,,145,1,https://comfy.ua/kovrik-dlja-myshi-a4tech-fp25-silver.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
