1655325847,,,,,2519477,Инструменты и автотовары >> Расходные материалы,haisser,Круг шліфувальний Haisser 225 мм 5 шт. (5317331),,215,1,https://comfy.ua/krug-shlifoval-nyj-haisser-225-mm-5-sht-5317331.html,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
1655340160,6923595,ENCHEN,Электробритва ENCHEN Xiaomi Z4 (ench-z4),599,2845659,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Enchen,enchen,Бритва Enchen Z4,,599,1,https://comfy.ua/britva-enchen-z4.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1655340191,6856333,SHOWSEE,Электробритва Xiaomi ShowSee Electric Shaver Black (F1-BK),1059,1831815,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Xiaomi,xiaomi,Бритва Xiaomi ShowSee Electric Shaver Black (F1-BK),,1059,1,https://comfy.ua/britva-xiaomi-showsee-electric-shaver-black-f1-bk.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1655340194,6923591,SHOWSEE,Электробритва Xiaomi ShowSee F601,879,2845668,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Xiaomi,xiaomi,Бритва Xiaomi ShowSee (SS-F601),,939,1,https://comfy.ua/britva-xiaomi-showsee-ss-f601.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
1655388725,,,,,2853621,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Ventolux,ventolux,Варильна поверхня електрична Ventolux HI 64 TC FBS SQFZ SL,,7599,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-ventolux-hi-64-tc-fbs-sqfz-sl.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1655393412,6993150,HAIER,Стиральная машина HAIER HW50-BP12307-S,20503,2685914,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Haier,haier,Пральна машина Haier HW50-BP12307,,22999,1,https://comfy.ua/stiral-naja-mashina-haier-hw50-bp12307.html,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1655395120,6963875,TALKO,Ковш TALKO Веста-Light 1.2 л Dark Grey (АD60161),599,2741598,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники TALKo,talko,Сотейник TALKo 1.2 л (АD60163),,599,1,https://comfy.ua/sotejnik-talko-1-2-l-ad60163.html,,05.11.2025 19:46,,"вул. Соборна, 42",Фастів,0
1655426315,,,,,.2860851,Телевизоры и мультимедиа >> Аксессуары для ТВ,officepro,Кріплення для акустики OfficePro SS138 Black,,1999,1,https://comfy.ua/kreplenie-dlja-akustiki-officepro-ss138-black.html,,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1655427602,,,,,.2001967,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",hp,Картридж для струменевих принтерів/БФП HP 89Y Black (CF289Y),,19615,1,https://comfy.ua/kartridzh-dlja-strujnyh-mfu-i-printerov-hp-89y-black-cf289y.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1655452184,,,,,2817814,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры TP-Link",tp-link,IP-камера TP-Link Tapo C520WS,,2999,1,https://comfy.ua/ip-kamera-tp-link-tapo-c520ws.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
1655452185,6950966,TIANDY,IP-камера TIANDY TC-C32RN,5034,2815947,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры Tiandy",tiandy,IP-камера Tiandy TC-C32RN,,4995,1,https://comfy.ua/ip-kamera-tiandy-tc-c32rn.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1655452186,6950972,TIANDY,IP-камера TIANDY TC-C34UN,6390,2815950,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> IP-камеры >> IP-камеры Tiandy",tiandy,IP-камера Tiandy TC-C34UN,,6385,1,https://comfy.ua/ip-kamera-tiandy-tc-c34un.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1655452876,,,,,.2845663,Красота и здоровье >> Уход за лицом,xiaomi,Косметичне дзеркало Xiaomi DOCO Daylight Mirror HZJ001 USB (XMDDMgreen),,1519,1,https://comfy.ua/kosmeticheskoe-zerkalo-xiaomi-doco-daylight-mirror-hzj001-usb-xmddmgreen.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
1655452877,,,,,.2845664,Красота и здоровье >> Уход за лицом,xiaomi,Косметичне дзеркало Xiaomi DOCO Daylight Mirror HZJ001 USB (XMDDMЗpink),,1519,1,https://comfy.ua/kosmeticheskoe-zerkalo-xiaomi-doco-daylight-mirror-hzj001-usb-xmddmzpink.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1655455836,6977497,INSPIRE,Фен INSPIRE KF-127,1459,2845662,Красота и здоровье >> Уход за волосами,inspire,Фен INSPIRE KF-127,,1489,1,https://comfy.ua/fen-inspire-kf-127.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1655455836,7182429,INSPIRE,Фен INSPIRE KF-127 Black,1489,2845662,Красота и здоровье >> Уход за волосами,inspire,Фен INSPIRE KF-127,,1489,1,https://comfy.ua/fen-inspire-kf-127.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1655455837,6856328,SHOWSEE,Фен Xiaomi ShowSee Electric Hair Dryer Red A5-R,1199,2845667,Красота и здоровье >> Уход за волосами,xiaomi,Фен Xiaomi ShowSee Electric Hair Dryer Red (SHWS-A5-R-EU),,989,1,https://comfy.ua/fen-xiaomi-showsee-electric-hair-dryer-red-shws-a5-r-eu.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
1655484939,6977244,DELONGHI,Электрочайник DELONGHI KBL 2001 W Luminosa (210110196),4999,2866893,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Delonghi,delonghi,Електричний чайник Delonghi KBL 2001 W,,4999,1,https://comfy.ua/jelektricheskij-chajnik-delonghi-kbl-2001-w.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1655541533,6963904,TALKO,Сотейник с крышкой TALKO Веста 22 см Dark Grey (AD50223),999,2675731,Посуда >> Для приготовления >> Сковороды >> Сковороды TALKo,talko,Сковорода універсальна TALKo АD50223,,999,1,https://comfy.ua/skovoroda-universal-naja-talko-ad50223.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1655541534,,,,,.2591848,Посуда >> Для приготовления,talko,Сковорода універсальна TALKo АD50243,,1119,1,https://comfy.ua/skovoroda-universal-naja-talko-ad50243.html,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
1655547335,,,,,2859260,Игровые консоли и гейминг >> Комплектующие для игровых ПК,arctic,Процесорний кулер ARCTIC Alpine 17 LP (ACALP00042A),,339,1,https://comfy.ua/processornyj-kuler-arctic-alpine-17-lp-acalp00042a.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1655547434,,,,,.2850622,Игровые консоли и гейминг >> Комплектующие для игровых ПК,jonsbo,Корпусний вентилятор Jonsbo SL-120WR White,,349,1,https://comfy.ua/processornyj-kuler-jonsbo-sl-120wr-white.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1655547501,,,,,2847747,Игровые консоли и гейминг >> Комплектующие для игровых ПК,lian-li,Корпусний вентилятор Lian Li P28 120-1 White (G99.12P281W.00),,999,1,https://comfy.ua/processornyj-kuler-lian-li-p28-120-1-white-g99-12p281w-00.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
