1335780306,6809187,AENO,Паровая швабра AENO SM2 (ASM0002),3799,2053067,Техника для дома >> Мелкая техника >> Пароочистители >> Пароочистители AENO,aeno,Пароочисник AENO SM2 (ASM0002),,3799,1,https://comfy.ua/paroochistitel-aeno-sm2-asm0002.html,5599,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1335958473,6824181,LIBERTY,Электропечь LIBERTY T-250 CX,4179,2052134,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Liberty,liberty,Піч електрична Liberty T-250 CX,,4179,1,https://comfy.ua/pech-jelektricheskaja-liberty-t-250-cx.html,,05.11.2025 18:18,,"вул. Соборна, 42",Фастів,0
1336083947,6456448,MAGIO,Выпрямитель MAGIO MG-721,479,2051414,Красота и здоровье >> Уход за волосами >> Выпрямители волос >> Выпрямители волос Magio,magio,Вирівнювач волосся Magio MG-721,,529,1,https://comfy.ua/vyprjamitel-volos-magio-mg-721.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1336199785,,,,,.2053033,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mercusys,Підсилювач бездротового сигнала Mercusys ME20,,739,1,https://comfy.ua/tochka-dostupa-mercusys-me20.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
1336269758,,,,,.2035544,Посуда >> Для приготовления,gusto,Каструля Gusto GT-T-118-WR Перчинка біла 18 см 3.1 л,,752,1,https://comfy.ua/kastrjulja-gusto-gt-t-118-wr-perchinka-belaja-18-sm-3-1-l.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1336295261,6824182,LIBERTY,Электропечь LIBERTY T-260 CB,4609,2052135,Техника для кухни >> Крупная техника >> Электрические печи >> Электрические печи Liberty,liberty,Піч електрична Liberty T-260 CB,,4609,1,https://comfy.ua/pech-jelektricheskaja-liberty-t-260-cb.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1336381913,,,,,2052157,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Lanka Novelties,lanka-novelties,Фігурки тварини Lanka Novelties Дереволаз священний 26 см (21483),,399,1,https://comfy.ua/figurka-zhivotnogo-lanka-novelties-derevolaz-svjaschennyj-26-sm-21483.html,,06.11.2025 1:19,,"вул. Соборна, 42",Фастів,0
1336381951,,,,,2049518,Техника для кухни >> Крупная техника,vestfrost,Холодильник Vestfrost CX263WB,,9555,1,https://comfy.ua/holodil-nik-vestfrost-cx263wb.html,10799,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,2
1336381959,,,,,2052156,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Lanka Novelties,lanka-novelties,Фігурки тварини Lanka Novelties Дереволаз блакитний 26 см (21482),,399,1,https://comfy.ua/figurka-zhivotnogo-lanka-novelties-derevolaz-goluboj-26-sm-21482.html,,06.11.2025 0:47,,"вул. Соборна, 42",Фастів,0
1336381999,,,,,2052155,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Lanka Novelties,lanka-novelties,Фігурки тварини Lanka Novelties Жаба аргентинська рогата 25 см (21440),,399,1,https://comfy.ua/figurka-zhivotnogo-lanka-novelties-ljagushka-argentinskaja-rogataja-25-sm-21440.html,,06.11.2025 0:02,,"вул. Соборна, 42",Фастів,0
