773337147,column,column,column,column,1729071,______________mikrotik,mikrotik,__mikrotik_rbgroovega52hpacn,column,3915,1,httpscomfyuatochkadostupamikrotikrbgroovega52hpacnhtml,column,05112025_1802,column,__42,Фастів,0
773337230,6678037,MINOLA,Вытяжка MINOLA HBI 7612 WH 1000 LED,3569,1728248,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBI 7612 WH 1000 LED,,3999,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbi-7612-wh-1000-led.html,5399,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
773337233,6809843,MINOLA,Вытяжка MINOLA HBS 7652 WH 1000 LED,4999,1725637,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBS 7652 WH 1000 LED,,4999,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbs-7652-wh-1000-led.html,5799,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
773337234,6809841,MINOLA,Вытяжка MINOLA HBS 7652 BL 1000 LED,4999,1725636,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBS 7652 BL 1000 LED,,4999,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbs-7652-bl-1000-led.html,5799,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
773337235,6809842,MINOLA,Вытяжка MINOLA HBS 7652 I 1000 LED,4999,1725633,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка вбудована Minola HBS 7652 I 1000 LED,,4999,1,https://comfy.ua/vytjazhka-vstraivaemaja-minola-hbs-7652-i-1000-led.html,5799,05.11.2025 21:13,,"вул. Соборна, 42",Фастів,0
773337270,,,,,.1725708,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gembird,Перехідник USB- RJ-45 Gembird USB 3.0 - Ethernet RJ45 (NIC-U3-02),,499,1,https://comfy.ua/adapter-seti-wifi-pcmcia-gembird-usb-3-0-ethernet-rj45-nic-u3-02.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
773337499,,,,,.1729580,Техника для дома >> Аксессуары к мелкой технике,menalux,Фільтр для пилососа Menalux F9000,,72,1,https://comfy.ua/fil-tr-dlja-pylesosa-menalux-f9000.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
773337504,6588704,ELECTROLUX,Набор фильтров ELECTROLUX ESKQ9 (900923089),729,1707897,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Electrolux,electrolux,Фільтр для пилососа Electrolux ESKQ9,,729,1,https://comfy.ua/fil-tr-dlja-pylesosa-electrolux-eskq9.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
773340763,6705125,GEFU,Клипса для мяса GEFU Volte 6 шт (11300),490,1610362,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Gefu,gefu,Кліпса для м'яса Gefu Volte 6 шт. (11300),,490,1,https://comfy.ua/klipsa-dlja-mjasa-gefu-volte-6-sht-11300.html,,05.11.2025 19:33,,"вул. Соборна, 42",Фастів,0
773340764,6705118,GEFU,Диспенсер с кулинарной нитью GEFU Filo 50 м (11030),588,1610885,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Gefu,gefu,Диспенсер для кулінарної нитки Gefu Filo + нить 50 м (11030),,588,1,https://comfy.ua/dispenser-dlja-kulinarnoj-niti-gefu-filo-nit-50-m-11030.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
773340765,,,,,1700260,Посуда >> Кухонные аксессуары,tescoma,Кільце для м'ясних рулетів tescoma 420586 Presto 6 шт.,,299,1,https://comfy.ua/kol-co-dlja-mjasnyh-ruletov-tescoma-420586-presto-6-sht.html,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
773340776,,,,,1677853,Посуда >> Кухонные аксессуары,tescoma,Молоток для м'яса tescoma 420376 Presto,,599,1,https://comfy.ua/molotok-dlja-mjasa-tescoma-420376-presto.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
773340783,,,,,1575864,Посуда >> Кухонные аксессуары,gefu,Прес для бургерів Gefu BBQ,,781,1,https://comfy.ua/burger-press-gefu-bbq.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
773340785,,,,,1602621,Посуда >> Кухонные аксессуары,berghoff,Молоток для м'яса Berghoff 1301056 Essentials,,1099,1,https://comfy.ua/molotok-dlja-mjasa-berghoff-1301056-essentials.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
773340786,,,,,1683595,Посуда >> Кухонные аксессуары,wmf,Щипці кухонні WMF 1297356040 NUOVA для пасти 25 см,,779,1,https://comfy.ua/schipcy-kuhonnye-wmf-1297356040-nuova-dlja-pasty-25-sm.html,899,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
773340787,,,,,1684221,Посуда >> Кухонные аксессуары,wmf,Термометр для м'яса WMF 608636030 Scala,,669,1,https://comfy.ua/termometr-dlja-mjasa-wmf-608636030-scala.html,799,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
773340788,,,,,1692720,Посуда >> Кухонные аксессуары,tescoma,Молоток для м'яса tescoma 638730 President,,1699,1,https://comfy.ua/molotok-dlja-mjasa-tescoma-638730-president.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
773340789,,,,,1661290,Посуда >> Кухонные аксессуары,tescoma,Термометр для м'яса tescoma 634488 Accura,,1249,1,https://comfy.ua/termometr-dlja-mjasa-tescoma-634488-accura.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
773340790,,,,,1683576,Посуда >> Кухонные аксессуары,wmf,Щипці кухонні WMF 1297336040 NUOVA 25 см,,839,1,https://comfy.ua/schipcy-kuhonnye-wmf-1297336040-nuova-25-sm.html,999,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
773340791,,,,,1683594,Посуда >> Кухонные аксессуары,wmf,Виделка для м'яса WMF 1871066030 PROFI PLUS 32 см,,899,1,https://comfy.ua/vilka-dlja-mjasa-wmf-1871066030-profi-plus-32-sm.html,999,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
773340794,,,,,1684418,Посуда >> Кухонные аксессуары,wmf,Молоток для м'яса WMF 1872946030 PROFI PLUS,,1499,1,https://comfy.ua/molotok-dlja-mjasa-wmf-1872946030-profi-plus.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
773340795,,,,,1684070,Посуда >> Кухонные аксессуары,wmf,Термометр для м'яса WMF 1872386030 PROFI PLUS и напитков 23 см,,2399,1,https://comfy.ua/termometr-dlja-mjasa-wmf-1872386030-profi-plus-i-napitkov-23-sm.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
773340803,,,,,1661025,Посуда >> Кухонные аксессуары >> Посуда для мяса и рыбы >> Посуда для мяса и рыбы Tescoma,tescoma,Щипці кухонні tescoma 420527 Presto для льоду,,299,1,https://comfy.ua/schipcy-kuhonnye-tescoma-420527-presto-dlja-l-da.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
773340806,,,,,1723079,Посуда >> Кухонные аксессуары,tescoma,Термометр для страв tescoma 636154 Gradius,,559,1,https://comfy.ua/termometr-dlja-bljud-tescoma-636154-gradius.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
773340808,,,,,1661637,Посуда >> Кухонные аксессуары,tescoma,Молоток для м'яса tescoma 420380 Presto,,999,1,https://comfy.ua/molotok-dlja-mjasa-tescoma-420380-presto.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
773340810,,,,,1692721,Посуда >> Кухонные аксессуары,tescoma,Молоток для м'яса tescoma 638731 President,,1799,1,https://comfy.ua/molotok-dlja-mjasa-tescoma-638731-president.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
773340910,,,,,1695386,Посуда >> Кухонные аксессуары >> Мерная посуда >> Мерная посуда Tescoma,tescoma,Ємність мірна tescoma 630406 Delicia 0.5 л,,299,1,https://comfy.ua/emkost-mernaja-tescoma-630406-delicia-0-5-l.html,,05.11.2025 19:02,,"вул. Соборна, 42",Фастів,0
773340912,,,,,1696073,Посуда >> Кухонные аксессуары,tescoma,Ємність мірна tescoma 630342 Delicia,,999,1,https://comfy.ua/emkost-mernaja-tescoma-630342-delicia.html,,05.11.2025 19:35,,"вул. Соборна, 42",Фастів,0
773340913,,,,,1680377,Посуда >> Кухонные аксессуары >> Мерная посуда >> Мерная посуда Tescoma,tescoma,"Ємність мірна tescoma 630434 Delicia 1,0 л",,1199,1,https://comfy.ua/emkost-mernaja-tescoma-630434-delicia-1-0-l.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
773341721,,,,,1727778,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Prime Technics,prime-technics,Насадка для планетарного міксера Prime Technics PSM 2 MG,,1059,1,https://comfy.ua/nasadka-dlja-planetarnogo-miksera-prime-technics-psm-2-mg.html,,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
773341743,,,,,.928429,Техника для дома >> Аксессуары к мелкой технике,menalux,Мішок для пилососа багаторазовий Menalux 1000T,,239,1,https://comfy.ua/meshok-dlja-pylesosa-mnogorazovyj-menalux-1000t.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
773341762,,,,,1684415,Посуда >> Кухонные аксессуары,wmf,Кухарський набір приладів WMF 1876709990 PROFI PLUS 7 пр.,,4999,1,https://comfy.ua/povarskoj-nabor-prinadlezhnostej-wmf-1876709990-profi-plus-7-pr.html,5999,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
773342243,,,,,1716705,Игровые консоли и гейминг >> Комплектующие для игровых ПК,id-cooling,Корпусний вентилятор ID-Cooling NO-9225-SD Black,,139,1,https://comfy.ua/korpusnyj-ventiljator-id-cooling-no-9225-sd-black.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
773342247,,,,,.1730359,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпусний вентилятор Frime Fan Mid Blue (FLF-HB120MB8),,169,1,https://comfy.ua/korpusnyj-ventiljator-frime-fan-mid-blue-flf-hb120mb8.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
773342643,6655880,FREGGIA,Варочная поверхность FREGGIA Compatto HCG430VGTW,13249,1725897,Техника для кухни >> Крупная техника,freggia,Варильна поверхня газова Freggia HCG430VGTW,,13249,1,https://comfy.ua/varochnaja-panel-gazovaja-freggia-hcg430vgtw.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
773342645,6655877,FREGGIA,Варочная поверхность FREGGIA Moderno HCG640VGTW,13749,1725895,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Freggia,freggia,Варильна поверхня газова Freggia HCG640VGTW,,13749,1,https://comfy.ua/varochnaja-panel-gazovaja-freggia-hcg640vgtw.html,,05.11.2025 21:29,,"вул. Соборна, 42",Фастів,0
773343250,,,,,1678627,Посуда >> Нарезка и измельчение,tescoma,Овочечистка tescoma 421034 Presto Expert,,249,1,https://comfy.ua/ovoschechistka-tescoma-421034-presto-expert.html,,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
773343253,,,,,1678622,Посуда >> Нарезка и измельчение,tescoma,Овочечистка tescoma 421012 Presto Expert,,229,1,https://comfy.ua/ovoschechistka-tescoma-421012-presto-expert.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,0
