819710328,column,column,column,column,1690117,Посуда >> Кухонные аксессуары,tescoma,____tescoma_899410_flexispace_370x222_,column,1099,1,httpscomfyuaorganajzerdljastolovyhpriborovtescoma899410flexispace370x222mmhtml,column,05112025_1936,column,__42,Фастів,0
819710460,,,,,1689169,Посуда >> Для приготовления,tescoma,Горіхокол tescoma 428730 GrandChef,,799,1,https://comfy.ua/orehokol-tescoma-428730-grandchef.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
819710467,,,,,1699004,Посуда >> Для приготовления,tescoma,Відокремлювач кісточок від вишні tescoma 643630 Handy,,1759,1,https://comfy.ua/otdelitel-kostochek-ot-vishni-tescoma-643630-handy.html,,05.11.2025 20:14,,"вул. Соборна, 42",Фастів,0
819710483,6665430,KRAUFF,Бутылка KRAUFF Weinessig 500 мл (31-289-019),163,1780546,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Krauff,krauff,Ємність для масла і оцту Krauff 31-289-019 500 мл,,161,1,https://comfy.ua/emkost-dlja-masla-i-uksusa-krauff-31-289-019-500-ml.html,,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
819710485,6665429,KRAUFF,Бутылка KRAUFF Weinessig 250 мл (31-289-018),127,1780545,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Krauff,krauff,Ємність для масла і оцту Krauff 31-289-018 250 мл,,139,1,https://comfy.ua/emkost-dlja-masla-i-uksusa-krauff-31-289-018-250-ml.html,,05.11.2025 19:45,,"вул. Соборна, 42",Фастів,0
819710493,6665432,KRAUFF,Бутылка KRAUFF Olivenol 500 мл (31-289-021),202,1780547,Посуда >> Для сервировки >> Прочие предметы сервировки >> Прочие предметы сервировки Krauff,krauff,Ємність для масла і оцту Krauff 31-289-021 500 мл,,219,1,https://comfy.ua/emkost-dlja-masla-i-uksusa-krauff-31-289-021-500-ml.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
819710495,,,,,1698981,Посуда >> Для сервировки,tescoma,Підставка для серветок tescoma 650390 Club,,359,1,https://comfy.ua/podstavka-dlja-salfetok-tescoma-650390-club.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
819710596,,,,,1684230,Посуда >> Для напитков,wmf,Декантер WMF 947652000 H 23 см,,2099,1,https://comfy.ua/dekanter-wmf-947652000-h-23-sm.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
819710597,7060431,SCHOTT ZWIESEL,"Декантер SCHOTT ZWIESEL Air 0,75 л (119613)",3012,1755082,Посуда >> Для сервировки >> Декантеры >> Декантеры Schott Zwiesel,schott-zwiesel,Декантер Schott Zwiesel для білого вина 0.75 л 119 613,,3646,1,https://comfy.ua/dekanter-schott-zwiesel-dlja-belogo-vina-0-75-l-119613.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
819710602,,,,,1772476,Посуда >> Для напитков,riedel,"Декантер Riedel Mamba Fatto A Mano 1,5 л 1950/00",,26235,1,https://comfy.ua/dekanter-riedel-mamba-fatto-a-mano-1-5-l-1950-00.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
819710628,,,,,1770071,Бытовая химия >> Средства для стирки >> Ополаскиватели для белья >> Ополаскиватели для белья Frosch,frosch,"Ополіскувач для білизни Frosch Baby Той, хто доглядає 750 мл",,109,1,https://comfy.ua/opolaskivatel-dlja-bel-ja-frosch-baby-uhazhivajuschij-750-ml.html,198,05.11.2025 19:13,,"вул. Соборна, 42",Фастів,0
819710630,,,,,1684298,Посуда >> Для сервировки,wmf,Підставка для яєць WMF 616687400 MCEGG з ложкою Pink,,459,1,https://comfy.ua/podstavka-dlja-jaic-wmf-616687400-mcegg-s-lozhkoj-pink.html,599,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
819710631,,,,,1684241,Посуда >> Для сервировки,wmf,Підставка для яєць WMF 616687620MCEGG з ложкою Blue-Green,,459,1,https://comfy.ua/podstavka-dlja-jaic-wmf-616687620mcegg-s-lozhkoj-blue-green.html,599,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
819710632,,,,,1684296,Посуда >> Для сервировки,wmf,Підставка для яєць WMF 616687450 MCEGG з ложкою Orange,,459,1,https://comfy.ua/podstavka-dlja-jaic-wmf-616687450-mcegg-s-lozhkoj-orange.html,599,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
