780870049,6709508,STARK,Шлифмашина угловая STARK AG-860 Profi (130086000),1197,1720217,Инструменты и автотовары >> Электроинструменты >> Болгарки и штроборезы >> Болгарки и штроборезы Stark,stark,Болгарка Stark AG-860 Profi (130086000),,1199,1,https://comfy.ua/bolgarka-stark-ag-860-profi-130086000.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
780870078,6735083,STARK,Угловая шлифмашина Stark AG 750 (130100040),1149,1735832,Инструменты и автотовары >> Электроинструменты,stark,Болгарка Stark AG 750 (130100040),,1149,1,https://comfy.ua/catalog/product/view/id/1878383,,05.11.2025 21:31,,"вул. Соборна, 42",Фастів,0
780870081,6721785,STARK,Угловая шлифмашина STARK AG 1350 Profi (130090040),2168,1735833,Инструменты и автотовары >> Электроинструменты,stark,Болгарка Stark AG 1350 Profi (130090040),,2189,1,https://comfy.ua/catalog/product/view/id/1878373,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
780871570,6945260,TOLSEN,Отвертка TOLSEN Ерго 3х75 мм (20001),35,1735447,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Tolsen,tolsen,Викрутка Tolsen 3х75 мм (20001),,75,1,https://comfy.ua/otvertka-tolsen-3h75-mm-20001.html,,05.11.2025 23:20,,"вул. Соборна, 42",Фастів,0
780871590,6926442,NEO TOOLS,Отвертка NEO TOOLS PH00x50 мм (04-115),90,1733615,Инструменты и автотовары >> Ручные инструменты,neo-tools,Викрутка Neo Tools 04-115 S2 PH00x50 мм,,90,1,https://comfy.ua/catalog/product/view/id/1871593,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
780871593,6686982,NEO TOOLS,Отвертка NEO TOOLS 3.0 x 50 мм (04-114),90,1733613,Инструменты и автотовары >> Ручные инструменты,neo-tools,Викрутка Neo Tools 04-114 S2 3.0x50 мм,,90,1,https://comfy.ua/catalog/product/view/id/1871603,,05.11.2025 22:12,,"вул. Соборна, 42",Фастів,0
780871595,6686980,NEO TOOLS,Отвертка Neo Tools прецизионная 2.0 x 50 мм S2 (04-112),90,1733612,Инструменты и автотовары >> Ручные инструменты,neo-tools,Викрутка Neo Tools 04-112 S2 2.0x50 мм,,90,1,https://comfy.ua/catalog/product/view/id/1871613,,05.11.2025 22:31,,"вул. Соборна, 42",Фастів,0
780873375,6686159,BOSCH,Мотокоса BOSCH AFS 23-37 (0.600.8A9.000),4375,1733936,Инструменты и автотовары >> Садовые инструменты,bosch,Тример садовий Bosch AFS 23-37 (0.600.8A9.000),,4375,1,https://comfy.ua/catalog/product/view/id/1871533,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
780900360,,,,,1722100,Инструменты и автотовары >> Ручные инструменты >> Отвертки >> Отвертки Сталь,stal,Набір викруток Сталь 6 шт. (49075),,515,1,https://comfy.ua/nabor-otvertok-stal-6-sht-49075.html,,05.11.2025 21:50,,"вул. Соборна, 42",Фастів,0
780925884,,,,,.1033426,Красота и здоровье >> Уход за волосами,remington,Стайлер Remington S8670,,2099,1,https://comfy.ua/stajler-remington-s8670.html,2399,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
