1658747350,6133763,werk,__werk_xkj1104_sa5_33743,5133,2542067,_________werk,werk,"""Насосна станція",column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19
1658838056,6967793,GT RACER,Кресло GT RACER B-123A-S Black,6999,2874535,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-123A-S Black,,6999,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-123a-s-black.html,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
1658838057,6967794,GT RACER,Кресло GT RACER B-123A-S Gray,6599,2874536,"Дом, отдых и зоотовары >> Мебель >> Офисные кресла >> Офисные кресла GT Racer",gt-racer,Крісло офісне GT Racer B-123A-S Gray,,6999,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-123a-s-gray.html,,05.11.2025 19:44,,"вул. Соборна, 42",Фастів,0
1658838058,6967792,GT RACER,Кресло GT RACER B-121A Gray,5899,2874534,Дом и отдых >> Мебель >> Офисные кресла >> Офисные кресла GT Racer,gt-racer,Крісло офісне GT Racer B-121A Gray,,5399,1,https://comfy.ua/kreslo-ofisnoe-gt-racer-b-121a-gray.html,5899,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1658838064,6929506,AULA,Кресло AULA F1031 Black/Orange,8999,2859145,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Aula",aula,Крісло для геймерів Aula F1031 Gaming Chair Black/Orange (6948391286211),,8999,1,https://comfy.ua/kreslo-dlja-gejmerov-aula-f1031-gaming-chair-black-orange-6948391286211.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1658838111,,,,,2839761,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Cougar",cougar,Крісло для геймерів Cougar Hotrod,,11499,1,https://comfy.ua/kreslo-dlja-gejmerov-cougar-hotrod.html,12999,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1658838114,,,,,2874539,"Дом, отдых и зоотовары >> Мебель",gt-racer,Крісло для геймерів GT Racer X-8005 Dark Gray,,13999,1,https://comfy.ua/kreslo-dlja-gejmerov-gt-racer-x-8005-dark-gray.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1658900878,6966233,LEVOIT,Очиститель воздуха Levoit VeSync EverestAir Smart True HEPA LAP-EL551S-AEUR (HEAPAPLVSEU0148Y),20999,2880734,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха Levoit,levoit,Очищувач повітря Levoit VeSync EverestAir Smart True HEPA LAP-E551S-AEUR (HEAPAPLVSEU0148Y),,20999,1,https://comfy.ua/ochistitel-vozduha-levoit-vesync-everestair-smart-true-hepa-lap-e551s-aeur-heapaplvseu0148y.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1658935139,6926563,ARISTON,Котел газовый ARISTON ALTEAS ONE NET 24 Wi-Fi (3301771),73606,2627757,Техника для дома >> Климатическая техника >> Газовые котлы >> Газовые котлы Ariston,ariston,Газовий котел Ariston Alteas One Net 24 (3301771),,73605,1,https://comfy.ua/gazovyj-kotel-ariston-alteas-one-net-24-3301771.html,,05.11.2025 18:15,,"вул. Соборна, 42",Фастів,0
1658935200,6926564,ARISTON,Котел газовый ARISTON CARES S 24 (3301637),41990,2561760,Техника для дома >> Климатическая техника >> Газовые котлы >> Газовые котлы Ariston,ariston,Газовий котел Ariston CARES S 24 (3301637),,41650,1,https://comfy.ua/gazovyj-kotel-ariston-cares-s-24-3301637.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1658935254,7164464,ARISTON,Котел газовый ARISTON CLAS ONE 35кВт (3301023),64220,2822435,Техника для дома >> Климатическая техника >> Газовые котлы >> Газовые котлы Ariston,ariston,Газовий котел Ariston CLAS ONE 35 (3301023),,64219,1,https://comfy.ua/gazovyj-kotel-ariston-clas-one-35-3301023.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
