794548874,column,column,column,column,1746507,Детские товары >> Подгузники и пеленание,huggies,__huggies_classic_4_718__50__5029053543147,column,419,1,httpscomfyuacatalogproductviewid1999893,530,05112025_2029,column,__42,Фастів,0
794548874,,,,,1746507,Детские товары >> Подгузники и пеленание,huggies,"Одноразові підгузки Huggies Classic 4 (7-18 кг), 50 шт. (5029053543147)",,419,1,https://comfy.ua/catalog/product/view/id/1999893,530,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
794597137,6703835,JABRA,Гарнитура JABRA Evolve2 65 MS USB-A Stereo Black (26599-999-999),10099,1754764,"Аудио, фото и видео >> Наушники >> Наушники Jabra",jabra,Гарнітура бездротова Jabra Evolve 2 65 MS USB-A Stereo Black (26599-999-999),,10099,1,https://comfy.ua/garnitura-besprovodnaja-jabra-evolve-2-65-ms-usb-a-stereo-black-26599-999-999.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
794603713,,,,,1756959,Техника для кухни >> Крупная техника,eleyus,Варильна поверхня газова ELEYUS IRMA 60 BL CF,,6649,1,https://comfy.ua/catalog/product/view/id/2001743,7569,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
794603716,,,,,1756958,Техника для кухни >> Крупная техника,eleyus,Варильна поверхня газова ELEYUS UNO 60 IS H1 EF,,5199,1,https://comfy.ua/catalog/product/view/id/2000723,7359,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
794628888,6626525,LUMINARC,Набор контейнеров Luminarc Keep'N Box 3 пр (Q4362),591,1756005,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Luminarc,luminarc,Набір ємностей для зберігання Luminarc Keep'n Box 2х0.38 л 1х1.97 л (Q4362),,444,1,https://comfy.ua/nabor-emkostej-dlja-hranenija-luminarc-keep-n-box-2h0-38-l-1h1-97-l-q4362.html,939,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
794630953,,,,,1755455,Посуда >> Для запекания и выпечки,tescoma,Форма для приготування tescoma 630648 Delicia 9 см 6 шт.,,699,1,https://comfy.ua/forma-dlja-prigotovlenija-tescoma-630648-delicia-9-sm-6-sht.html,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
794813436,,,,,1744035,Бытовая химия >> Для кухни и мытья посуды,fairy,Засіб для ручного миття посуду Fairy Fairy Pure & Clean 450 мл,,70,1,https://comfy.ua/sredstvo-dlja-ruchnogo-myt-ja-posudy-fairy-fairy-pure-clean-450-ml.html,101,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
795147689,,,,,1716655,Игровые консоли и гейминг >> Комплектующие для игровых ПК,frime,Корпусний вентилятор Frime FGF80HB3 Black-Green,,99,1,https://comfy.ua/korpusnyj-ventiljator-frime-fgf80hb3-black-green.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
796491048,,,,,1757221,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,Набір базових машинок Hot Wheels в ас. (K5904),,319,1,https://comfy.ua/nabor-bazovyh-mashinok-hot-wheels-v-ass-k5904.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
796491056,6666869,DEERMA,Пылесос DEERMA Corded Hand Stick Vacuum Cleaner (DX118C),1099,1754502,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Deerma,deerma,Пилосос ручний для дому Deerma Corded Hand Stick Vacuum Cleaner (DX118C),,1099,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-deerma-corded-hand-stick-vacuum-cleaner-dx118c.html,1299,05.11.2025 17:37,,"вул. Соборна, 42",Фастів,0
796491075,6670167,ELEYUS,Варочная поверхность ELEYUS IRMA 60 BL CF,6649,1756959,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS IRMA 60 BL CF,,6649,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-irma-60-bl-cf.html,7569,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
796491078,6670168,ELEYUS,Варочная поверхность ELEYUS UNO 60 IS H1 EF,5199,1756958,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS UNO 60 IS H1 EF,,5199,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-uno-60-is-h1-ef.html,7359,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
796491081,6662526,AOC,"""Монитор AOC 23.8"""" 24P2C""",8843,1755265,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",aoc,Монітор AOC 24P2C,,5495,1,https://comfy.ua/monitor-aoc-24p2c.html,8899,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
796491092,,,,,1746507,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузки Huggies Classic 4 (7-18 кг), 50 шт. (5029053543147)",,419,1,https://comfy.ua/odnorazovye-podguzniki-huggies-klassik-4-7-18-kg-50x2-sht-5029053543147.html,530,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
796491094,,,,,1746508,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузники-трусики для плавання Huggies Little Swimmers 3-4 (7-15 кг), 12 шт. (36000183399)",,249,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-dlja-plavanija-huggies-svimers-3-4-12-sht-36000183399.html,300,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
796491098,,,,,1746501,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузки Huggies Класик 3 (4-9 кг), 58 шт. (5029053543109)",,419,1,https://comfy.ua/odnorazovye-podguzniki-huggies-klassik-3-4-9-kg-58x2-sht-5029053543109.html,530,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
796835097,,,,,1738496,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",canyon,Миша бездротова Canyon CNS-CMSW18DG,,749,1,https://comfy.ua/catalog/product/view/id/1971453,,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,0
797000594,,,,,1752687,Посуда >> Кухонные аксессуары,peugeot,Млинок для спецій Peugeot для солі 10 см 24208,,1950,1,https://comfy.ua/catalog/product/view/id/1980323,,05.11.2025 19:48,,"вул. Соборна, 42",Фастів,0
797056755,,,,,1756978,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",digitus,Кабель HDMI Digitus HDMI F to 2xHDMI M (AK-330400-002-S),,349,1,https://comfy.ua/catalog/product/view/id/2000973,,05.11.2025 18:59,,"вул. Соборна, 42",Фастів,0
797060442,,,,,1757378,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora VT-1180AB Beige Aura 180 мм,,84,1,https://comfy.ua/tarelka-desertnaja-vittora-vt-1180ab-beige-aura-180-mm.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
797060458,,,,,1756934,Посуда >> Для хранения >> Емкости для хранения >> Емкости для хранения Bodum,bodum,Набір ємностей для зберігання Bodum 2 л 2 шт. (K11830-01SA),,1645,1,https://comfy.ua/nabor-emkostej-dlja-hranenija-bodum-2-l-2-sht-k11830-01sa.html,,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
797063183,6889458,TEFAL,Кастрюля TEFAL Unlimited 5.3 л Black (G2554672),2499,1754718,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Tefal,tefal,Каструля Tefal G2554672 Unlimited 24 см з/кр,,2487,1,https://comfy.ua/kastrjulja-tefal-g2554672-unlimited-24-sm-s-kr.html,3199,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
797063184,6670214,KELA,Кастрюля KELA Cailin 9.0 л (10961),3509,1648299,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Kela,kela,Каструля Kela Cailin 24 см 9.0 л (10961),,3509,1,https://comfy.ua/kastrjulja-kela-cailin-24-sm-9-0-l-10961.html,5399,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
797071085,,,,,1756293,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",transcend,Кардрідер Transcend TS-RDF9K2 UHS-II USB 3.1/3.0,,849,1,https://comfy.ua/catalog/product/view/id/2000833,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
797136780,6517229,KELA,Набор ножей KELA Acida White 6 пр (11286),2417,1680874,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Kela,kela,Набір ножів Kela Acida White 6 пр. (11286),,2599,1,https://comfy.ua/nabor-nozhej-kela-acida-white-6-pr-11286.html,3999,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,0
797169044,6545893,MAGIO,Выпрямитель MAGIO MG-600,619,1725918,Красота и здоровье >> Уход за волосами,magio,Вирівнювач волосся Magio MG-600,,685,1,https://comfy.ua/catalog/product/view/id/2003453,,05.11.2025 18:35,,"вул. Соборна, 42",Фастів,0
797231268,,,,,1746509,Детские товары >> Подгузники и пеленание >> Подгузники >> Подгузники Huggies,huggies,"Одноразові підгузники-трусики для плавання Huggies Little Swimmers 5-6 (12-18 кг), 11 шт. (5029053538426)",,249,1,https://comfy.ua/odnorazovye-podguzniki-trusiki-dlja-plavanija-huggies-svimers-5-6-11-sht-5029053538426.html,300,05.11.2025 20:29,,"вул. Соборна, 42",Фастів,0
