1644721002,column,column,column,column,2780171,__________smeg,smeg,_smeg_bcc11whmeu,column,28799,1,httpscomfyuakofemashinasmegbcc11whmeuhtml,column,05112025_1736,column,__42,Фастів,0
1644722921,,,,,2764036,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель 3.5 мм -3.5 мм Essager Monster Headphone Extension Cable Jack 3.5mm Audio Aux Cable 3.5 mm Female Splitter Adapter 2m (EYPY35-MYA0G),,219,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-essager-monster-headphone-extension-cable-jack-3-5mm-audio-aux-cable-3-5-mm-female-splitter-adapter-2m-eypy35-mya0g.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1644722922,,,,,2775083,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Victron 540 Rotate Magnetic USB Cable Micro 1M Black (EXCCXM-WC0G),,279,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-victron-540-rotate-magnetic-usb-cable-micro-1m-black-exccxm-wc0g.html,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1644723115,7110714,MILWAUKEE,Молоток MILWAUKEE 4932478663,999,2719377,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Milwaukee",milwaukee,Молоток Milwaukee 4932478663,,1025,1,https://comfy.ua/molotok-milwaukee-4932478663.html,,05.11.2025 21:22,,"вул. Соборна, 42",Фастів,0
1644723119,,,,,2693192,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Dynamic Series Fast Charging Data Cable USB to iP 2.4A 2m White (CALD000502),,279,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-dynamic-series-fast-charging-data-cable-usb-to-ip-2-4a-2m-white-cald000502.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1644724324,,,,,2762125,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",essager,Кабель синхронізації даних Essager Digital Display Fast Charging 100W USB Type C  2m Blue (ES-XCTT1-YDA03),,559,1,https://comfy.ua/kabel-sinhronizacii-dannyh-essager-digital-display-fast-charging-100w-usb-type-c-2m-blue-es-xctt1-yda03.html,,05.11.2025 18:55,,"вул. Соборна, 42",Фастів,0
1644724327,,,,,2693324,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель синхронізації даних Baseus Tungsten Gold One-for-three Fast Charging Data Cable USB to M+L+C 3.5A 1.5m Black (CAMLTWJ-01),,399,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-tungsten-gold-one-for-three-fast-charging-data-cable-usb-to-m-l-c-3-5a-1-5m-black-camltwj-01.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1644724941,,,,,.2553021,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Xiaomi Redmi A2 матова (DV-XM-R2AM),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-xiaomi-redmi-a2-matovaja-dv-xm-r2am.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1644724946,,,,,.2571501,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Apple Iphone SE 2022 (DV-IPH-SE2),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-apple-iphone-se-2022-dv-iph-se2.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1644724947,,,,,.2571495,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for ZTE Blade V40s матова (DV-ZT-V40SM),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-zte-blade-v40s-matovaja-dv-zt-v40sm.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
1644724948,,,,,.2571487,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Tecno Spark Go 2023 матова (DV-TEC-SP-GOM),,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-for-tecno-spark-go-2023-matova-dv-tec-sp-gom.html,,05.11.2025 20:32,,"вул. Соборна, 42",Фастів,0
