819712513,column,column,column,column,1711331,"Дом, отдых и зоотовары >> Сантехника",elleci,__elleci_blade_fango_43,column,6799,1,httpscomfyuasmesitelkuhonnyjellecibladefango43html,22549,05112025_2010,column,__42,Фастів,0
819712607,,,,,1711253,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Under 600 Black,,5699,1,https://comfy.ua/mojka-kuhonnaja-interline-under-600-black.html,6999,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
819712609,,,,,1711257,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Under 600 White,,5699,1,https://comfy.ua/mojka-kuhonnaja-interline-under-600-white.html,6999,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
819712610,,,,,1711254,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Under 600 Grigio,,5699,1,https://comfy.ua/mojka-kuhonnaja-interline-under-600-grigio.html,6999,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
819712618,,,,,1710918,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Perfelli",perfelli,Мийка кухонна Perfelli Ranze PGG 506-67 Sand,,5373,1,https://comfy.ua/mojka-kuhonnaja-perfelli-ranze-pgg-506-67-sand.html,5970,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
819712654,,,,,1711363,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Easy Round Avena 51,,7999,1,https://comfy.ua/mojka-kuhonnaja-elleci-easy-round-avena-51.html,8999,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
819712656,,,,,1711087,Дом и отдых >> Сантехника >> Мойки кухонные >> Мойки кухонные Perfelli,perfelli,Мийка кухонна Perfelli Pierra PGP 536-78 Light Beige,,5739,1,https://comfy.ua/mojka-kuhonnaja-perfelli-pierra-pgp-536-78-light-beige.html,6377,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
819712657,,,,,1711085,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Perfelli",perfelli,Мийка кухонна Perfelli Pierra PGP 536-78 White,,6105,1,https://comfy.ua/mojka-kuhonnaja-perfelli-pierra-pgp-536-78-white.html,6784,05.11.2025 20:27,,"вул. Соборна, 42",Фастів,0
819712671,6403046,ELLECI,Мойка ELLECI EASY 135 AVENA 51,8499,1711351,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Easy 135 Avena 51,,8699,1,https://comfy.ua/mojka-kuhonnaja-elleci-easy-135-avena-51.html,9499,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
819712696,6869828,ELLECI,Мойка ELLECI UNICO 310 NERO 40 (8032557038184),9499,1711941,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Unico 310 Nero 40,,9599,1,https://comfy.ua/mojka-kuhonnaja-elleci-unico-310-nero-40.html,9999,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
819712700,6869762,ELLECI,Мойка ELLECI EASY 300 ALUMINIUM 79,8799,1711422,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Easy 300 Aluminium 79,,8899,1,https://comfy.ua/mojka-kuhonnaja-elleci-easy-300-aluminium-79.html,9899,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712707,6403064,ELLECI,Мойка ELLECI EASY 300 TITANO 68,8799,1711357,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Easy 300 Titano 68,,8899,1,https://comfy.ua/mojka-kuhonnaja-elleci-easy-300-titano-68.html,9899,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712784,6980721,GROHE,Мойка GROHE K700U Серый Гранит (31653AT0),12288,1778239,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Grohe",grohe,Мийка кухонна Grohe K700U 50-C 45.7 / 40.6 Сірий Граніт (31653AT0),,12289,1,https://comfy.ua/mojka-kuhonnaja-grohe-k700u-50-c-45-7-40-6-seryj-granit-31653at0.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
819712794,6869785,ELLECI,Мойка ELLECI Q 100 on top avena 51 (8032861055068),7199,1711372,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 100 On Top Avena 51,,8399,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-100-on-top-avena-51.html,9299,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
819712796,6403037,ELLECI,Мойка ELLECI Q 100 under top bianco antico 62,7199,1711374,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 100 Under Top Bianco Antico 62,,8899,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-100-under-top-bianco-antico-62.html,9999,05.11.2025 20:28,,"вул. Соборна, 42",Фастів,0
819712800,6403133,ELLECI,Мойка ELLECI Q 100 under top aluminium 79,8899,1725406,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Elleci",elleci,Мийка кухонна Elleci Q 100 Under Top Aluminium 79,,8899,1,https://comfy.ua/mojka-kuhonnaja-elleci-q-100-under-top-aluminium-79.html,9999,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
