914898645,column,column,column,column,1815701,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",printpro,____printpro_hp_cf244a_m15m28_pph244,column,749,1,httpscomfyuakartridzhdljalazernyhprinterovmfuprintprohpcf244am15m28pph244html,column,05112025_1751,column,__42,Фастів,0
916072553,,,,,1815214,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xo,Кабель 3.5 мм -3.5 мм XO NB121 mini-Jack (M) 1 m Black (00000012066),,89,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-xo-nb121-mini-jack-m-1-m-black-00000012066.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
916096782,6836190,BEURER,Аромаподушки BEURER для LB 37 10 шт,719,1581598,Техника для дома >> Климатическая техника >> Фильтры для увлажнителей и очистителей воздуха >> Фильтры для увлажнителей и очистителей воздуха Beurer,beurer,Фільтр до зволожувача повітря Beurer LB 37,,545,1,https://comfy.ua/fil-tr-dlja-uvlazhnitelja-vozduha-beurer-lb-37.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
916106064,6711115,KELA,Лопатка для торта KELA Rondo 19x5 см (19016),509,1813810,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Kela,kela,Лопатка кухонна Kela Rondo 27x6 см (19016),,509,1,https://comfy.ua/lopatka-kuhonnaja-kela-rondo-19x5-sm-19016.html,629,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
916106232,,,,,1817542,Техника для кухни >> Мелкая техника,ariete,Блендер стаціонарний Ariete 583 Green,,3299,1,https://comfy.ua/blender-stacionarnyj-ariete-583-green.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
916106259,6982858,XO,Гарнитура XO EP22 Black,139,.1813053,"Аудио, фото и видео >> Наушники",xo,Навушники вкладиші дротові XO EP22 Black (00000013794),,99,1,https://comfy.ua/naushniki-vkladyshi-provodnye-xo-ep22-black-00000013794.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
916106274,,,,,.1813055,"Аудио, фото и видео >> Наушники",xo,Навушники вкладиші дротові XO EP20 White (00000013992),,59,1,https://comfy.ua/naushniki-vkladyshi-provodnye-xo-ep20-white-00000013992.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
916106299,,,,,.1813056,"Аудио, фото и видео >> Наушники",xo,Навушники вкладиші дротові XO EP20 Black (00000013209),,59,1,https://comfy.ua/naushniki-vkladyshi-provodnye-xo-ep20-black-00000013209.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
916106316,,,,,1813061,"Аудио, фото и видео >> Наушники",xo,Навушники вкладиші дротові XO EP15 In-ear metal Red (00000013988),,115,1,https://comfy.ua/naushniki-vkladyshi-provodnye-xo-ep15-in-ear-metal-red-00000013988.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
916106321,6707992,HANSA,Плита комбинированная HANSA FCMS582297,18099,1817565,Техника для кухни >> Крупная техника >> Плиты >> Плиты Hansa,hansa,Плита електрична Hansa FCMS582297,,18099,1,https://comfy.ua/plita-jelektricheskaja-hansa-fcms582297.html,,05.11.2025 18:56,,"вул. Соборна, 42",Фастів,0
916106382,,,,,1817541,Техника для кухни >> Мелкая техника,ariete,Блендер стаціонарний Ariete 583 Beige,,3299,1,https://comfy.ua/blender-stacionarnyj-ariete-583-beige.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
916129036,6711189,KELA,Сковорода Вок с крышкой KELA Calido 36 см Black (12475),6199,1813831,Посуда >> Для приготовления >> Сковороды >> Сковороды Kela,kela,Сковорода ВОК Kela Calido 36 см 4.0 л (12475),,6199,1,https://comfy.ua/skovoroda-vok-kela-calido-36-sm-4-0-l-12475.html,6899,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
916237056,,,,,1816696,Техника для кухни >> Крупная техника,borgio,Витяжка вбудована Borgio RNT-MU 60 Ivory,,4909,1,https://comfy.ua/catalog/product/view/id/2539043,,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
916241200,,,,,1762035,Техника для кухни >> Крупная техника,gorenje,Варильна поверхня газова Gorenje GKTW642SYB Black,,18999,1,https://comfy.ua/catalog/product/view/id/2545163,20199,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
916248642,6809859,MINOLA,Вытяжка MINOLA HVS 9412 GR 850 LED,7499,1800177,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка декоративна Minola HVS 9412 GR 850 LED,,7499,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hvs-9412-gr-850-led.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
916248643,6809860,MINOLA,Вытяжка MINOLA HVS 9412 IV 850 LED,7499,1800176,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Minola,minola,Витяжка декоративна Minola HVS 9412 IV 850 LED,,7499,1,https://comfy.ua/vytjazhka-dekorativnaja-minola-hvs-9412-iv-850-led.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
916257799,6987332,BRABANTIA,Набор кухонных аксессуаров BRABANTIA Profile 4 шт (260285),2529,1815344,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Brabantia,brabantia,Кухарський набір приладів Brabantia 4 шт. 260285,,2529,1,https://comfy.ua/povarskoj-nabor-prinadlezhnostej-brabantia-4-sht-260285.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
916260109,,,,,1815439,Посуда >> Для приготовления >> Кастрюли >> Кастрюли BerlingerHaus,berlingerhaus,Набір посуду BerlingerHaus BH 6628,,1514,1,https://comfy.ua/nabor-posudy-berlingerhaus-bh-6628.html,,05.11.2025 20:12,,"вул. Соборна, 42",Фастів,0
916442071,,,,,1817392,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",zyxel,Коммутатор локальної мережі (Switch) Zyxel GS1920-24HPv2-EU0101F,,20499,1,https://comfy.ua/catalog/product/view/id/2539943,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
916442111,,,,,1817370,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",zyxel,Коммутатор локальної мережі (Switch) Zyxel XGS2210-52-EU0101F,,56529,1,https://comfy.ua/catalog/product/view/id/2540073,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
916448030,6591634,TRAMONTINA,Нож для овощей TRAMONTINA Prochef 7.6 см (24150/003),1044,1734723,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж для овочів Tramontina Prochef 76 мм (24150/003),,1099,1,https://comfy.ua/nozh-dlja-ovoschej-tramontina-prochef-76-mm-24150-003.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
916450323,,,,,1815476,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Tescoma,tescoma,Каструля tescoma 717530 Optima 24 см 5 л,,3599,1,https://comfy.ua/kastrjulja-tescoma-717530-optima-24-sm-5-l.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
