790262260,column,column,column,column,1745885,____________lovi,lovi,__lovi_buddy_bear__2___22865,column,399,1,httpscomfyuasimmetrichnajapustyshkalovibuddybearsilikonovaja2sht22865html,column,05112025_2159,column,__42,Фастів,0
790262260,,,,,1745885,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,"Симетрична пустушка Lovi Buddy bear силиконовая, 2 шт.  (22/865)",,399,1,https://comfy.ua/simmetrichnaja-pustyshka-lovi-buddy-bear-silikonovaja-2-sht-22-865.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
790262261,,,,,.1745883,Детские товары >> Кормление,canpol-babies,"Симетрична пустушка Canpol babies TOYS силіконова, 1 шт. (23/292)",,169,1,https://comfy.ua/simmetrichnaja-pustyshka-canpol-babies-toys-silikonovaja-1-sht-23-292.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
790262262,,,,,1745882,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,Симетрична пустушка Canpol babies силіконова 6-18 2 шт. PURE COLOR синя (22/645_blu),,269,1,https://comfy.ua/simmetrichnaja-pustyshka-canpol-babies-canpol-babies-pustyshka-silikonovaja-simmetrichnaja-6-18-2-sht-pure-color-sinjaja-22-645-blu.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
790262263,,,,,1745881,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,"Симетрична пустушка Canpol babies PURE COLOR силіконова бежева, 2 шт. (22/645_bei)",,269,1,https://comfy.ua/simmetrichnaja-pustyshka-canpol-babies-pure-color-silikonovaja-bezhevaja-2-sht-22-645-bei.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
790262264,,,,,1745877,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,"Симетрична пустушка Lovi Botanic Botanic для дівчинки силіконова, 2 шт. (22/871girl)",,399,1,https://comfy.ua/simmetrichnaja-pustyshka-lovi-botanic-dlja-devochki-silikonovaja-2-sht-22-871girl.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
790262265,,,,,.1745876,Детские товары >> Кормление,lovi,"Симетрична пустушка Lovi Folky силиконовая, 2 шт. (22/843boy)",,369,1,https://comfy.ua/simmetrichnaja-pustyshka-lovi-folky-silikonovaja-2-sht-22-843boy.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
790262266,,,,,1745875,Comfy KIDS >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Canpol babies,canpol-babies,"Симетрична пустушка Canpol babies Bunny & Company силіконова рожева, 1 шт. (23/269_pin)",,169,1,https://comfy.ua/simmetrichnaja-pustyshka-canpol-babies-bunny-company-silikonovaja-rozovaja-1-sht-23-269-pin.html,,05.11.2025 21:59,,"вул. Соборна, 42",Фастів,0
790262269,,,,,1745872,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,"Симетрична пустушка Lovi Botanic Botanic для хлопчика силіконова, 2 шт. (22/870boy)",,399,1,https://comfy.ua/simmetrichnaja-pustyshka-lovi-botanic-dlja-mal-chika-silikonovaja-2-sht-22-870boy.html,,05.11.2025 21:52,,"вул. Соборна, 42",Фастів,0
790262270,,,,,1745866,Детские товары >> Кормление >> Пустышки и прорезыватели >> Пустышки и прорезыватели Lovi,lovi,"Симетрична пустушка Lovi Folky силиконовая, 2 шт.  (22/842girl)",,399,1,https://comfy.ua/simmetrichnaja-pustyshka-lovi-folky-silikonovaja-2-sht-22-842girl.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
790262271,,,,,.1745858,Детские товары >> Кормление,canpol-babies,"Симетрична пустушка Canpol babies Bunny & Company силіконова бірюзова, 1 шт. (23/269_tur)",,169,1,https://comfy.ua/simmetrichnaja-pustyshka-canpol-babies-bunny-company-silikonovaja-birjuzovaja-1-sht-23-269-tur.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
