787295682,column,column,column,column,1742465,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,____armorstandart_icon_for_samsung_galaxy_a72_sma725_black_033mm_arm58088,column,149,1,httpscomfyuazaschitnoesteklodljasmartfonaarmorstandarticonforsamsunggalaxya72sma725black033mmarm58088html,column,05112025_1806,column,__42,Фастів,0
787307719,6698958,FSP,ИБП FSP Champ 3000VA RM IEC (CH-1103RS) (PPF27A1105),40800,1742877,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Fsp",fsp,Джерело безперебійного живлення FSP Champ CH-1103RS 3000VA (PPF27A1105),,34180,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-fsp-champ-ch-1103rs-3000va-ppf27a1105.html,,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
787316736,6569664,GRUNHELM,Морозильный ларь GRUNHELM GCFW-380,14699,1638764,Техника для кухни >> Крупная техника >> Морозильные лари >> Морозильные лари Grunhelm,grunhelm,Морозильна скриня Grunhelm GCFW-380,,14699,1,https://comfy.ua/morozil-nyj-lar-grunhelm-gcfw-380.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
787318893,6562920,GRUNHELM,Морозильная камера GRUNHELM GHUF- 85,6999,1634007,Техника для кухни >> Крупная техника >> Морозильные камеры >> Морозильные камеры Grunhelm,grunhelm,Морозильна камера Grunhelm GHUF- 85,,6999,1,https://comfy.ua/morozil-naja-kamera-grunhelm-ghuf-85.html,7599,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
787333847,,,,,1743861,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Чохол для смартфону Armorstandart Matte Slim Fit Apple iPhone 12/12 Pro Black (ARM57393),,229,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-matte-slim-fit-apple-iphone-12-12-pro-black-arm57393.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
787384931,,,,,1736574,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Maxus",maxus,Лампочка світлодіодна Maxus G45 7W 3000K 220V E27 (1-LED-745),,110,1,https://comfy.ua/lampochka-svetodiodnaja-maxus-g45-7w-3000k-220v-e27-1-led-745.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,3
787384933,,,,,1736577,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки Maxus",maxus,Лампочка світлодіодна Maxus G45 7W 4100K 220V E27 (1-LED-746),,110,1,https://comfy.ua/lampochka-svetodiodnaja-maxus-g45-7w-4100k-220v-e27-1-led-746.html,,05.11.2025 20:00,,"вул. Соборна, 42",Фастів,2
787395699,,,,,.1742130,Игровые консоли и гейминг >> Комплектующие для игровых ПК,zalman,Блок живлення для ПК Zalman ZM500-XEII 500W,,1599,1,https://comfy.ua/blok-pitanija-dlja-pk-zalman-zm500-xeii-500w.html,,05.11.2025 19:24,,"вул. Соборна, 42",Фастів,0
787395702,,,,,.1742128,Игровые консоли и гейминг >> Комплектующие для игровых ПК,zalman,Блок живлення для ПК Zalman ZM500-TXII 500W,,1719,1,https://comfy.ua/blok-pitanija-dlja-pk-zalman-zm500-txii-500w.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
787395704,,,,,.1742129,Игровые консоли и гейминг >> Комплектующие для игровых ПК,zalman,Блок живлення для ПК Zalman ZM600-XEII 600W,,1879,1,https://comfy.ua/blok-pitanija-dlja-pk-zalman-zm600-xeii-600w.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
787402682,6775298,FLORINA,Сковорода FLORINA Bono 24 см Black (1P0186),785,1740182,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Bono 24 см (1P0186),,785,1,https://comfy.ua/skovoroda-universal-naja-florina-bono-24-sm-1p0186.html,1049,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
787402717,6775300,FLORINA,Сковорода FLORINA Bono 28 см Black (1P0188),1019,1740184,Посуда >> Для приготовления >> Сковороды >> Сковороды FLORINA,florina,Сковорода універсальна FLORINA Bono 28 см (1P0188),,1019,1,https://comfy.ua/skovoroda-universal-naja-florina-bono-28-sm-1p0188.html,1289,05.11.2025 21:15,,"вул. Соборна, 42",Фастів,0
787507791,6517208,KELA,Подставка под горячее KELA Caro 21 х 21 см (12235),479,1722383,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Kela,kela,Підставка для кухонного приладдя Kela Caro 21х21 см (12235),,479,1,https://comfy.ua/podstavka-dlja-kuhonnyh-prinadlezhnostej-kela-caro-21h21-sm-12235.html,529,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
787527860,6661831,PHILIPS,Утюг PHILIPS DST5040/80,2499,1742531,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска Philips DST5040/80,,2499,1,https://comfy.ua/utjug-philips-dst5040-80.html,3399,05.11.2025 17:30,,"вул. Соборна, 42",Фастів,5
787527861,6661832,PHILIPS,Утюг PHILIPS DST5030/20,2299,1742530,Техника для дома >> Мелкая техника >> Утюги >> Утюги Philips,philips,Праска Philips DST5030/20,,2299,1,https://comfy.ua/utjug-philips-dst5030-20.html,2999,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
787527865,7102255,VIEWSONIC,Монитор VIEWSONIC 27” Black (VA2732-H),4449,1743192,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Viewsonic",viewsonic,Монітор Viewsonic VA2732-H,,4449,1,https://comfy.ua/monitor-viewsonic-va2732-h.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
787802308,7057080,STRATEG,Настольная игра STRATEG Mono Большая (30810),109,1741203,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"Настільна гра (12+) Strateg Mono, укр (30810)",,175,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-12-strateg-mono-ukr-30810.html,,06.11.2025 1:42,,"вул. Соборна, 42",Фастів,0
787802312,7057062,STRATEG,Настольная игра STRATEG Домино Фрукты и овощи (30764),99,1741150,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (3-4 роки) Strateg доміно """"Фрукти і овочі"""" (30764)""",,119,1,https://comfy.ua/nastol-naja-igra-klassicheskaja-3-4-goda-strateg-domino-frukty-i-ovoschi-30764.html,,06.11.2025 1:16,,"вул. Соборна, 42",Фастів,0
787802313,,,,,1741151,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (3-4 роки) Strateg доміно """"Транспорт"""" (30765)""",,125,1,https://comfy.ua/nastol-naja-igra-klassicheskaja-3-4-goda-strateg-domino-transport-30765.html,,06.11.2025 1:16,,"вул. Соборна, 42",Фастів,0
787802314,7057063,STRATEG,"""acc/child STRATEG Доміно 30766 (укр) """"Сільський двір"""" в кор-ці 17,5-11,8-5,6 см""",99,1741152,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,"""Настільна гра (3-4 роки) Strateg доміно """"Сельсікй двір"""" (30766)""",,119,1,https://comfy.ua/nastol-naja-igra-klassicheskaja-3-4-goda-strateg-domino-sel-sikj-dvor-30766.html,,06.11.2025 0:48,,"вул. Соборна, 42",Фастів,0
