1649554275,6858157,RAZER,Клавиатура RAZER DeathStalker V2 Red Switch RU (RZ03-04500800-R3R1),9999,2817300,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Клавиатуры >> Клавиатуры Razer",razer,Клавіатура дротова ігрова Razer DeathStalker V2 Red Switch RU (RZ03-04500800-R3R1),,9999,1,https://comfy.ua/klaviatura-provodnaja-igrovaja-razer-deathstalker-v2-red-switch-ru-rz03-04500800-r3r1.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
1649554846,6900753,ASUS,Монитор ASUS ZenScreen MB16QHG (90LM08NG-B01170),19999,2820820,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор Asus ZenScreen MB16QHG,,19999,1,https://comfy.ua/monitor-asus-zenscreen-mb16qhg.html,22799,05.11.2025 17:52,,"вул. Соборна, 42",Фастів,0
1649555700,6948066,SAMSUNG,Смартфон SAMSUNG Galaxy S24 SM-S921B 8/256Gb ZKG Onyx Black (SM-S921BZKGEUC),28899,2773431,Смартфоны и телефоны >> Смартфоны >> Смартфоны Samsung >> Серия Samsung Galaxy S24,samsung,Смартфон Samsung Galaxy S24 8/256Gb Onyx Black (SM-S921BZKGEUC),,28899,1,https://comfy.ua/smartfon-samsung-galaxy-s24-8-256gb-onyx-black-sm-s921bzageuc.html,32099,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,2
1649555703,6948065,SAMSUNG,Смартфон SAMSUNG Galaxy S24 SM-S921B 8/256Gb ZAG Marble Gray (SM-S921BZAGEUC),28899,2773432,Смартфоны и телефоны >> Смартфоны >> Смартфоны Samsung >> Серия Samsung Galaxy S24,samsung,Смартфон Samsung Galaxy S24 8/256Gb Marble Gray (SM-S921BZAGEUC),,28899,1,https://comfy.ua/smartfon-samsung-galaxy-s24-8-256gb-marble-gray-sm-s921bzkgeuc.html,32099,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1649555705,6948068,SAMSUNG,Смартфон SAMSUNG Galaxy S24 SM-S921B 8/256Gb ZYG Amber Yellow (SM-S921BZYGEUC),28899,2773440,Смартфоны и телефоны >> Смартфоны >> Смартфоны Samsung >> Серия Samsung Galaxy S24,samsung,Смартфон Samsung Galaxy S24 8/256Gb Amber Yellow (SM-S921BZYGEUC),,28899,1,https://comfy.ua/smartfon-samsung-galaxy-s24-8-256gb-amber-yellow-sm-s921bzygeuc.html,32099,05.11.2025 17:25,,"вул. Соборна, 42",Фастів,0
1649568932,6951570,KARCHER,Пылесос KARCHER CVH 3 Plus (1.198-350.0),3440,2817390,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Karcher,karcher,Пилосос ручний для дому Karcher CVH 3 Plus (1.198-350.0),,3699,1,https://comfy.ua/pylesos-ruchnoj-dlja-doma-karcher-cvh-3-plus-1-198-350-0.html,4999,05.11.2025 17:41,,"вул. Соборна, 42",Фастів,0
1649569012,6950362,SONY,Геймпад SONY PlayStation 5 Dualsense Sterling Silver (1000040186),3599,2825023,"Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам >> Геймпады, джойстики, рули >> Геймпады, джойстики, рули PlayStation",playstation,Геймпад PlayStation DualSense Sterling Silver,,3599,1,https://comfy.ua/gejmpad-playstation-dualsense-sterling-silver.html,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
1649571688,7069716,OXO,Форма для льда OXO Good Grips Blue (11154200),800,2811535,Посуда >> Кухонные аксессуары >> Формы и пакеты для заморозки >> Формы и пакеты для заморозки OXO,oxo,Форма для льоду OXO 11154200,,800,1,https://comfy.ua/forma-dlja-l-da-oxo-11154200.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1649573041,6981146,GORENJE,Холодильник GORENJE NRK418ECW4 (HZF28862),16799,2819717,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Gorenje,gorenje,Холодильник Gorenje NRK418ECW4,,17799,1,https://comfy.ua/holodil-nik-gorenje-nrk418ecw4.html,20499,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
1649573043,6950380,ELEYUS,Холодильник ELEYUS MRNW2188E60 WH,18679,2763626,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники ELEYUS,eleyus,Холодильник ELEYUS MRNW2188E60 WH,,18679,1,https://comfy.ua/holodil-nik-eleyus-mrnw2188e60-wh.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1649573070,,,,,2795126,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник HDMI UGREEN Female Angled Adapter-Down Black (20109),,129,1,https://comfy.ua/perehodnik-hdmi-ugreen-female-angled-adapter-down-black-20109.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1649573071,,,,,2795125,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Перехідник HDMI UGREEN Female Adapter Black (20106),,199,1,https://comfy.ua/perehodnik-hdmi-ugreen-female-adapter-black-20106.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1649573582,,,,,2811678,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",skydolphin,Перехідник аудіо SkyDolphin OT02 OTG USB Type-C - USB (M/F) White (ADPT-00018),,149,1,https://comfy.ua/perehodnik-audio-skydolphin-ot02-otg-usb-type-c-usb-m-f-white-adpt-00018.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1649588424,6947870,DURALEX,Салатник DURALEX Gigogne 125мл (2022AF06),63,2812856,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Duralex,duralex,Салатник Duralex Gigogne 125 мл (2022AF06),,65,1,https://comfy.ua/salatnik-duralex-gigogne-125-ml-2022af06.html,,05.11.2025 19:31,,"вул. Соборна, 42",Фастів,0
1649590389,6951491,KARCHER,Робот-пылесос KARCHER RCV 3 (1.269-620.0),13999,2817391,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Karcher,karcher,Робот-пилосос миючий Karcher RCV 3 (1.269-620.0),,15999,1,https://comfy.ua/robot-pylesos-mojuschij-karcher-rcv-3-1-269-620-0.html,22999,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1649590390,7082595,KARCHER,Робот-пылесос KARCHER RCV 5 (1.269-640.0),19999,2817392,Техника для дома >> Мелкая техника >> Роботы-пылесосы >> Роботы-пылесосы Karcher,karcher,Робот-пилосос миючий Karcher RCV 5 (1.269-640.0),,19999,1,https://comfy.ua/robot-pylesos-mojuschij-karcher-rcv-5-1-269-640-0.html,32999,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
