789370324,column,column,column,column,1743098,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,___baseus_cafule_usb_lightning_1m_blackgrey_calklfbg1,column,179,1,httpscomfyuakabelsinhronizaciidannyhbaseuscafuleusblightning1mblackgreycalklfbg1html,column,05112025_1756,column,__42,Фастів,0
789416216,,,,,1745118,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 024 Black (9998866456813),,109,1,https://comfy.ua/catalog/product/view/id/1943703,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
789416321,,,,,.1745110,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 019 Purple (9998866456967),,109,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-luxe-cube-pop-019-purple-9998866456967.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
789416322,,,,,.1745111,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 019 Red (9998866456943),,109,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-luxe-cube-pop-019-red-9998866456943.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
789416332,,,,,1745108,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP 007 Bike (9998866457148),,109,1,https://comfy.ua/catalog/product/view/id/1945703,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
789416334,,,,,.1745092,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Попсокет Luxe Cube POP Beauty Maldives (9998866457285),,129,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-luxe-cube-pop-beauty-maldives-9998866457285.html,,05.11.2025 19:56,,"вул. Соборна, 42",Фастів,0
789417467,,,,,.1745105,Смартфоны и телефоны >> Аксессуары для смартфонов,luxe-cube,Автотримач Luxe Cube Black (8886668686204),,299,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-luxe-cube-black-8886668686204.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
789417468,,,,,1745536,Смартфоны и телефоны >> Аксессуары для смартфонов >> Держатели >> Держатели Colorway,colorway,Автотримач Colorway Metallic Gravity Holder Black (CW-CHG01-BK),,279,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-colorway-metallic-gravity-holder-black-cw-chg01-bk.html,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,1
789418689,6664407,REMINGTON,Электробритва REMINGTON XR1500 Ultimate Series RX5,3599,1716998,Красота и здоровье >> Уход за лицом >> Электробритвы >> Электробритвы Remington,remington,Бритва Remington XR1500 Ultimate Series RX5,,3599,1,https://comfy.ua/britva-remington-xr1500-ultimate-series-rx5.html,4999,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
789426426,6655826,ARIETE,Кухонная машина ARIETE 1588 Blue,6025,1746655,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Ariete,ariete,Міксер з чашею Ariete 1588 1,,6999,1,https://comfy.ua/mikser-s-chashej-ariete-1588-1.html,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
789426427,6676942,ARIETE,Кухонная машина ARIETE 1588,5585,1746654,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Ariete,ariete,Міксер з чашею Ariete 1588,,6999,1,https://comfy.ua/mikser-s-chashej-ariete-1588.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
789426427,6655825,ARIETE,Миксер ARIETE 1588 Green,5585,1746654,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Ariete,ariete,Міксер з чашею Ariete 1588,,6999,1,https://comfy.ua/mikser-s-chashej-ariete-1588.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
789436465,,,,,1727073,"Аудио, фото и видео >> Аксессуары для фото, видео",sony,Карта пам'яті Sony SDXC 128GB C10 UHS-II U3 V90 (SFG1TG),,14999,1,https://comfy.ua/catalog/product/view/id/1920903,16399,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
789437348,,,,,1746309,Техника для кухни >> Мелкая техника >> Насадки для кухонной техники >> Насадки для кухонной техники Prime Technics,prime-technics,Насадка для кухонної машини Prime Technics PSM 5 JU,,599,1,https://comfy.ua/nasadka-dlja-kuhonnoj-mashiny-prime-technics-psm-5-ju.html,,05.11.2025 17:36,,"вул. Соборна, 42",Фастів,0
789438834,,,,,.1745596,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",d-link,Коммутатор локальної мережі (Switch) D-Link DXS-1210-28S,,66775,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-d-link-dxs-1210-28s.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
789456617,6578459,WD,"""Внешний жесткий диск WD 10TB 3.5"""" USB 3.0 Elements Desktop (WDBWLG0100HBK-EESN)""",10915,1576163,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации >> Жесткие диски и аксессуары >> Жесткие диски и аксессуары Western Digital",western-digital,Жорсткий диск зовнішній Western Digital Elements Desktop 10TB USB 3.0 (WDBWLG0100HBK-EESN),,10349,1,https://comfy.ua/zhestkij-disk-vneshnij-western-digital-elements-desktop-10tb-usb-3-0-wdbwlg0100hbk-eesn.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
789457373,6665183,CANYON,Powerbank CANYON PB-107 10000mAh Black (CNE-CPB1007B),999,1742980,Энергообеспечение >> Мобильные батареи,canyon,Батарея мобільна Canyon 10000mAh Black (CNE-CPB1007B),,799,1,https://comfy.ua/catalog/product/view/id/1919563,,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
789459177,,,,,1739875,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Bref,bref,Туалетний блок Bref Цветная вода Эвкалипт 50 г,,59,1,https://comfy.ua/tualetnyj-blok-bref-cvetnaja-voda-jevkalipt-50-g.html,102,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
789459179,,,,,1739531,Бытовая химия >> Все для уборки,cif,Засіб для миття у ванній кімнаті Cif 500 мл,,87,1,https://comfy.ua/sredstvo-dlja-myt-ja-v-vannoj-komnate-cif-500-ml.html,115,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
789459621,6369460,BREF,Кассета BREF Сила-Актив Лимонная свежесть 3x50г (9000100753463),149,1739867,Бытовая химия >> Все для уборки >> Средства для чистки унитаза >> Средства для чистки унитаза Bref,bref,Туалетний блок Bref Сила актив Лимон Триопак 3*50 г,,135,1,https://comfy.ua/tualetnyj-blok-bref-sila-aktiv-limon-triopak-3-50-g.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
789476894,6559352,HAISSER,Молоток HAISSER 100 г (44080),158,1720907,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Haisser",haisser,Молоток Haisser 44080,,199,1,https://comfy.ua/molotok-haisser-44080.html,,05.11.2025 21:40,,"вул. Соборна, 42",Фастів,0
789476895,6559353,HAISSER,Молоток слесарный Haisser 44081 (89464),175,1720908,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Haisser",haisser,Молоток Haisser 44081,,229,1,https://comfy.ua/molotok-haisser-44081.html,,05.11.2025 22:34,,"вул. Соборна, 42",Фастів,0
789476897,6559355,HAISSER,Молоток HAISSER 500 г (44084),250,1720910,"Инструменты и автотовары >> Ручные инструменты >> Молотки, кувалды, киянки >> Молотки, кувалды, киянки Haisser",haisser,Молоток Haisser 44084,,319,1,https://comfy.ua/molotok-haisser-44084.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0
789476900,,,,,.1720981,Инструменты и автотовары >> Ручные инструменты,stal,Молоток Сталь 44028 1500 г,,599,1,https://comfy.ua/molotok-stal-44028-1500-g.html,,05.11.2025 23:22,,"вул. Соборна, 42",Фастів,0
789478184,,,,,1746736,"Инструменты и автотовары >> Ручные инструменты >> Ножовки, пилы и полотна >> Ножовки, пилы и полотна Gruntek",gruntek,Ножівка Gruntek 180 мм (295500180),,289,1,https://comfy.ua/nozhovka-gruntek-180-mm-295500180.html,333,05.11.2025 22:30,,"вул. Соборна, 42",Фастів,0
789524674,6569520,СТАЛЬ,Уровень СТАЛЬ Торпедо 26032 230 мм (58231),62,1720740,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Сталь,stal,Рівень Сталь Торпедо 230 мм (26032),,82,1,https://comfy.ua/uroven-stal-torpedo-230-mm-26032.html,,05.11.2025 21:56,,"вул. Соборна, 42",Фастів,0
789524676,6569504,HAISSER,Уровень HAISSER 26039 400 мм (70542),543,1720312,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser Heavy Duty 400 мм (26039),,689,1,https://comfy.ua/uroven-haisser-heavy-duty-400-mm-26039.html,,05.11.2025 22:36,,"вул. Соборна, 42",Фастів,0
789524678,6569506,HAISSER,Уровень спиртовой Haisser Heavy Duty 800 мм (70544),703,1720314,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser Heavy Duty 800 мм (26041),,899,1,https://comfy.ua/uroven-haisser-heavy-duty-800-mm-26041.html,,05.11.2025 23:23,,"вул. Соборна, 42",Фастів,0
789524680,6569507,HAISSER,Уровень HAISSER Heavy Duty 26042 1000 мм (70545),802,1720310,Инструменты и автотовары >> Ручные инструменты >> Уровни >> Уровни Haisser,haisser,Рівень Haisser Heavy Duty 1000 мм (26042),,1019,1,https://comfy.ua/uroven-haisser-heavy-duty-1000-mm-26042.html,,05.11.2025 23:23,,"вул. Соборна, 42",Фастів,0
789524683,,,,,.1720842,Инструменты и автотовары >> Ручные инструменты,stal,Рівень Сталь 2500 мм (26031),,1275,1,https://comfy.ua/uroven-stal-2500-mm-26031.html,,05.11.2025 22:34,,"вул. Соборна, 42",Фастів,0
