1643466035,column,column,column,column,2767847,Красота и здоровье >> Уход за волосами,xiaomi,_xiaomi_showsee_hair_dryer_1800w_white_shwsa4weu,column,989,1,httpscomfyuafenxiaomishowseehairdryer1800wwhiteshwsa4weuhtml,column,05112025_1840,column,__42,Фастів,0
1643466014,,,,,.2778275,"Аудио, фото и видео >> Фотокамеры",panasonic,Фотокамера бездзеркальна Panasonic DC-G9M2 Body,,69999,1,https://comfy.ua/fotokamera-bezzerkal-naja-panasonic-dc-g9m2-body.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1643466035,,,,,.2767847,Красота и здоровье >> Уход за волосами,xiaomi,Фен Xiaomi ShowSee Hair Dryer 1800W White (SHWS-A4-W-EU),,989,1,https://comfy.ua/fen-xiaomi-showsee-hair-dryer-1800w-white-shws-a4-w-eu.html,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
1643466367,,,,,.2587901,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba R8R48A,,16625,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-r8r48a.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1643466368,,,,,.2587900,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",aruba,Коммутатор локальної мережі (Switch) Aruba JL813A,,15059,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-aruba-jl813a.html,,05.11.2025 18:08,,"вул. Соборна, 42",Фастів,0
1643478026,,,,,.2767848,Красота и здоровье >> Уход за волосами,xiaomi,Фен Xiaomi ShowSee Hair dryer (SHWS-VC200-B-EU),,1709,1,https://comfy.ua/fen-xiaomi-showsee-hair-dryer-shws-vc200-b-eu.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1643479580,6923577,INSPIRE,Фен INSPIRE BRK-CX01,2649,2767837,Красота и здоровье >> Уход за волосами >> Фены >> Фены INSPIRE,inspire,Фен INSPIRE BRK-CX01,,2999,1,https://comfy.ua/fen-inspire-brk-cx01.html,,05.11.2025 18:41,,"вул. Соборна, 42",Фастів,0
1643479591,6995661,INSPIRE,Фен INSPIRE А6498,3999,2767836,Красота и здоровье >> Уход за волосами >> Фены >> Фены INSPIRE,inspire,Фен INSPIRE A6498,,4599,1,https://comfy.ua/fen-inspire-a6498.html,,05.11.2025 18:43,,"вул. Соборна, 42",Фастів,0
1643479594,6977494,SHOWSEE,Фен SHOWSEE A18 Black,4129,2767846,Красота и здоровье >> Уход за волосами >> Фены >> Фены Xiaomi,xiaomi,Фен Xiaomi Showsee A18 Black (Sh-A18-EU),,4129,1,https://comfy.ua/fen-xiaomi-showsee-a18-black-sh-a18-eu.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1643489562,6937091,BEURER,Фен BEURER HC 100,8977,2770651,Красота и здоровье >> Уход за волосами >> Фены >> Фены Beurer,beurer,Фен Beurer HC 100,,8979,1,https://comfy.ua/fen-beurer-hc-100.html,,05.11.2025 19:05,,"вул. Соборна, 42",Фастів,0
1643493725,,,,,2696375,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Milwaukee,milwaukee,"Диск шліфувальний по металу Milwaukee SC 41/355х2,5 мм (4932451505)",,565,1,https://comfy.ua/disk-shlifoval-nyj-po-metallu-milwaukee-sc-41-355h2-5-mm-4932451505.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1643493726,,,,,2693362,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Milwaukee,milwaukee,Диск алмазний Milwaukee DUT 125 125 мм (4932399527),,535,1,https://comfy.ua/disk-almaznyj-milwaukee-dut-125-125-mm-4932399527.html,,05.11.2025 21:34,,"вул. Соборна, 42",Фастів,0
1643493730,,,,,2693356,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Milwaukee,milwaukee,Диск алмазний Milwaukee DHTI 230 230 мм (4932399555),,1219,1,https://comfy.ua/disk-almaznyj-milwaukee-dhti-230-230-mm-4932399555.html,,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
1643493732,,,,,2696370,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски Milwaukee,milwaukee,"Диск шлифовальный по дереву Milwaukee 210х30х1,9 мм (4932478095)",,1429,1,https://comfy.ua/disk-shlifoval-nyj-po-derevu-milwaukee-210h30h1-9-mm-4932478095.html,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
