787895136,column,column,column,column,1717979,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,___a4tech_pk925h_1080p_usb_20,column,1299,1,httpscomfyuacatalogproductviewid1893243,column,05112025_1805,column,__42,Фастів,0
787895136,,,,,1717979,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,"Веб-камера для комп'ютера A4tech PK-925H 1080P, USB 2.0",,1299,1,https://comfy.ua/catalog/product/view/id/1893243,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
787895491,,,,,1736552,Техника для кухни >> Крупная техника,electrolux,Посудомийна машина окремостояча Electrolux SMM43201SW,,22899,1,https://comfy.ua/catalog/product/view/id/1926993,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
787928005,6667063,AMIGO,Смарт-часы AMIGO GO005 4G WIFI Thermometer Purple,3999,1743640,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы AmiGo,amigo,Дитячий годинник AmiGo GO005 4G WIFI Thermometer Purple,,3999,1,https://comfy.ua/detskie-chasy-amigo-go005-4g-wifi-thermometer-purple.html,4499,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
787928006,6667060,AMIGO,Смарт-часы AMIGO GO005 4G WIFI Thermometer Black,3999,1743637,Смарт-часы и гаджеты >> Смарт-часы >> Смарт-часы AmiGo,amigo,Дитячий годинник AmiGo GO005 4G WIFI Thermometer Black,,3999,1,https://comfy.ua/detskie-chasy-amigo-go005-4g-wifi-thermometer-black.html,4499,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
787928009,6659924,ELECTROLUX,Холодильник ELECTROLUX RNT7ME34X2,35899,1732367,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Electrolux,electrolux,Холодильник Electrolux RNT7ME34X2,,35899,1,https://comfy.ua/holodil-nik-electrolux-rnt7me34x2.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
787929846,,,,,1736552,Техника для кухни >> Крупная техника >> Посудомоечные машины >> Посудомоечные машины Electrolux,electrolux,Посудомийна машина окремостояча Electrolux SMM43201SW,,22899,1,https://comfy.ua/posudomoechnaja-mashina-electrolux-smm43201sw.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
787953622,6637090,TRUST,Мышь TRUST Voca Black (23650),359,1743173,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",trust,Миша дротова Trust Voca USB Black (23650),,259,1,https://comfy.ua/catalog/product/view/id/1921433,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
787955737,,,,,1718893,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",powerplant,Перехідник PowerPlant DVI-I (M) - DVI-D (F) + VGA (F) 30 см,,359,1,https://comfy.ua/catalog/product/view/id/1921833,,05.11.2025 21:49,,"вул. Соборна, 42",Фастів,0
788127991,,,,,1739878,Бытовая химия >> Все для уборки,bref,Туалетний блок Bref Дуо–Куб очистительные кубики 100 г,,103,1,https://comfy.ua/tualetnyj-blok-bref-duo-kub-ochistitel-nye-kubiki-100-g.html,154,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
788128001,,,,,1739517,Бытовая химия >> Все для уборки >> Универсальные средства для уборки >> Универсальные средства для уборки Domestos,domestos,Засіб для чищення універсальний Domestos Хвойная свежесть 24 часа 1 л,,114,1,https://comfy.ua/chistjaschee-sredstvo-universal-noe-domestos-hvojnaja-svezhest-24-chasa-1-l.html,148,05.11.2025 19:14,,"вул. Соборна, 42",Фастів,0
