1446271582,column,column,column,column,2031386,"Дом, отдых и зоотовары >> Сантехника",granado,__granado_alicante_ivory,column,6989,1,httpscomfyuamojkakuhonnajagranadoalicanteivoryhtml,column,05112025_2023,column,__42,Фастів,0
1446271582,,,,,2031386,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Alicante Ivory,,6989,1,https://comfy.ua/mojka-kuhonnaja-granado-alicante-ivory.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446271583,,,,,2031388,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Alicante Gris,,6989,1,https://comfy.ua/mojka-kuhonnaja-granado-alicante-gris.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1446271585,,,,,2031389,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Alicante Grafito,,6989,1,https://comfy.ua/mojka-kuhonnaja-granado-alicante-grafito.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1446271587,,,,,2031387,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Alicante Marron,,6989,1,https://comfy.ua/mojka-kuhonnaja-granado-alicante-marron.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446271589,,,,,2086518,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Alicante Avena,,6989,1,https://comfy.ua/mojka-kuhonnaja-granado-alicante-avena.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1446271615,,,,,2031486,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Altea White,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-altea-white.html,,05.11.2025 20:22,,"вул. Соборна, 42",Фастів,0
1446271618,,,,,2031482,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Altea Black Shine,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-altea-black-shine.html,,05.11.2025 19:52,,"вул. Соборна, 42",Фастів,0
1446271621,,,,,2031483,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Altea Avena,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-altea-avena.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446271623,,,,,2031485,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Altea Ivory,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-altea-ivory.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1446271625,,,,,2031484,"Дом, отдых и зоотовары >> Сантехника",granado,Мийка кухонна GRANADO Altea Terra,,5589,1,https://comfy.ua/mojka-kuhonnaja-granado-altea-terra.html,,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
