1089197484,,,,,1913777,Детские товары >> Прогулки и поездки,mojo,Рюкзак шкільний Mojo Пантера (KAB9985092),,1289,1,https://comfy.ua/catalog/product/view/id/3364323,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1089198341,,,,,1909547,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Gator Full LUXE Blue (KAA24485048),,2199,1,https://comfy.ua/catalog/product/view/id/3365013,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1089199018,,,,,1909553,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Exo Full Grey (KAA24484641),,2225,1,https://comfy.ua/catalog/product/view/id/3364913,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089199024,,,,,1913776,Детские товары >> Прогулки и поездки,mojo,Рюкзак шкільний Mojo Фольксваген (KAB9985231),,1299,1,https://comfy.ua/catalog/product/view/id/3365183,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089200439,,,,,1914840,Детские товары >> Прогулки и поездки,mojo,Рюкзак шкільний Mojo Нью Йорк Круїз Мульти з LED світлом (KAB9985239),,1499,1,https://comfy.ua/catalog/product/view/id/3365373,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089200726,,,,,1914839,Детские товары >> Прогулки и поездки,mojo,Рюкзак шкільний Mojo Бруклін - Нью Йорк Мульті (KZ9984026),,1299,1,https://comfy.ua/catalog/product/view/id/3365353,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1089201144,,,,,1914837,Детские товары >> Прогулки и поездки,mojo,Рюкзак шкільний Mojo Пончики мульті (KAA9984437),,1299,1,https://comfy.ua/catalog/product/view/id/3365243,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1089201793,,,,,1044796,Детские товары >> Прогулки и поездки,madpax,Рюкзак шкільний MadPax Gator Full LUXE Pink (KAA24484817),,2199,1,https://comfy.ua/catalog/product/view/id/3365943,,05.11.2025 21:20,,"вул. Соборна, 42",Фастів,0
1089202039,,,,,1913771,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Процесорний кулер Gamemax Gamma 200,,509,1,https://comfy.ua/processornyj-kuler-gamemax-gamma-200.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1089202740,,,,,1909461,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели ECG,ecg,Конвектор ECG TK 2070 Black,,2609,1,https://comfy.ua/konvektor-ecg-tk-2070-black.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1089202741,,,,,1909462,Техника для дома >> Климатическая техника >> Обогреватели >> Обогреватели ECG,ecg,Конвектор ECG TK 2070 White,,2439,1,https://comfy.ua/konvektor-ecg-tk-2070-white.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1089205214,6756744,RAZER,Гарнитура Razer Blackshark V2 X Green (RZ04-03240600-R3M1),2999,1911989,"Аудио, фото и видео >> Наушники >> Наушники Razer",razer,"Гарнітура дротова ігрова Razer Blackshark V2 X, Green (RZ04-03240600-R3M1)",,2499,1,https://comfy.ua/garnitura-provodnaja-igrovaja-razer-blackshark-v2-x-green-rz04-03240600-r3m1.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1089207374,6842026,PERFELLI,Вытяжка PERFELLI BISP 7673 BL 1000 LED Strip,8999,1911321,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BISP 7673 BL 1000 LED Strip,,8999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bisp-7673-bl-1000-led-strip.html,16199,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
1089207375,6842027,PERFELLI,Вытяжка PERFELLI BISP 7673 WH 1000 LED Strip,8999,1911319,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BISP 7673 WH 1000 LED Strip,,8999,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bisp-7673-wh-1000-led-strip.html,16199,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
1089211815,6809794,PERFELLI,Вытяжка PERFELLI BI 5252 WH 700 LED,2989,1911338,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Perfelli,perfelli,Витяжка вбудована Perfelli BI 5252 WH 700 LED,,2989,1,https://comfy.ua/vytjazhka-vstraivaemaja-perfelli-bi-5252-wh-700-led.html,3999,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1089254539,,,,,1912007,Техника для кухни >> Мелкая техника,vimar,Блендер заглибний Vimar VBS 4777M,,1399,1,https://comfy.ua/catalog/product/view/id/3368113,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1089313718,,,,,1913778,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Mojo,mojo,Рюкзак шкільний Mojo Бруклін- Взуття на дротах (KAB9985236),,1299,1,https://comfy.ua/rjukzak-shkol-nyj-mojo-bruklin-obuv-na-provodah-kab9985236.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1089313720,,,,,1913777,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Mojo,mojo,Рюкзак шкільний Mojo Пантера (KAB9985092),,1289,1,https://comfy.ua/rjukzak-shkol-nyj-mojo-pantera-kab9985092.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1089313721,,,,,1909563,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак дитячий MadPax Cross Body Moonwalk (M/CB/MOO/MB),,599,1,https://comfy.ua/rjukzak-detskij-madpax-cross-body-moonwalk-m-cb-moo-mb.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089313725,,,,,.1907761,Детские товары >> Прогулки и поездки,peg-perego,Модульний набір для коляски Peg-Perego Pop Up Terracotta (IPMS010062TG48DX53),,10499,1,https://comfy.ua/modul-nyj-nabor-dlja-koljaski-peg-perego-pop-up-terracotta-ipms010062tg48dx53.html,,05.11.2025 21:21,,"вул. Соборна, 42",Фастів,0
1089313742,,,,,1913776,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы Mojo,mojo,Рюкзак шкільний Mojo Фольксваген (KAB9985231),,1299,1,https://comfy.ua/rjukzak-shkol-nyj-mojo-fol-ksvagen-kab9985231.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089313744,,,,,.1905915,Детские товары >> Прогулки и поездки,maxi-cosi,Смарт-подушка з датчиком Maxi-Cosi е-Safety Black,,4740,1,https://comfy.ua/smart-podushka-s-datchikom-maxi-cosi-e-safety-black.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
1089313746,6824161,WEILOR,Варочная поверхность WEILOR WIS 690 White,11899,1911871,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня електрична Weilor WIS 690 White,,11899,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-weilor-wis-690-white.html,16999,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
1089313758,,,,,1909553,Детские товары >> Прогулки и поездки >> Рюкзаки и чемоданы >> Рюкзаки и чемоданы MadPax,madpax,Рюкзак шкільний MadPax Exo Full Grey (KAA24484641),,2225,1,https://comfy.ua/rjukzak-shkol-nyj-madpax-exo-full-grey-kaa24484641.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089313780,6824160,WEILOR,Варочная поверхность WEILOR WIS 690 Black,8999,1911872,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Weilor,weilor,Варильна поверхня електрична Weilor WIS 690 Black,,8999,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-weilor-wis-690-black.html,12999,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
1089313861,,,,,1914840,Детские товары >> Прогулки и поездки,mojo,Рюкзак шкільний Mojo Нью Йорк Круїз Мульти з LED світлом (KAB9985239),,1499,1,https://comfy.ua/rjukzak-shkol-nyj-mojo-n-ju-jork-kruiz-mul-ti-s-led-svetom-kab9985239.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1089313864,6792811,VIMAR,Блендер VIMAR VBS 4766B,1489,1912006,Техника для кухни >> Мелкая техника >> Блендеры >> Блендеры Vimar,vimar,Блендер заглибний Vimar VBS 4766B,,1489,1,https://comfy.ua/blender-pogruzhnoj-vimar-vbs-4766b.html,,05.11.2025 19:55,,"вул. Соборна, 42",Фастів,0
1089313875,6686254,PHILIPS,Монитор PHILIPS 222B1TFL/00,19265,1898228,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Philips",philips,Монітор Philips 222B1TFL/00,,19189,1,https://comfy.ua/monitor-philips-222b1tfl-00.html,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
