809991591,column,column,column,column,1770116,________________frosch,frosch,____frosch__500_,column,134,1,httpscomfyuachistjascheesredstvodljasteklafroschspirtovoe500mlhtml,168,05112025_1941,column,__42,Фастів,0
810027971,6670395,KELA,Органайзер KELA Benito для кухонных принадлежностей (11659),959,1675316,Посуда >> Кухонные аксессуары >> Органайзеры и подставки для кухни >> Органайзеры и подставки для кухни Kela,kela,Органайзер для столових приборів Kela Benito (11659),,959,1,https://comfy.ua/organajzer-dlja-stolovyh-priborov-kela-benito-11659.html,1599,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
810034146,,,,,1772362,Comfy KIDS >> Школа >> Мебель для школы >> Мебель для школы FunDesk,fundesk,Комплект меблів шкільний 2 елементи FunDesk Bellissima grey,,4589,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-fundesk-bellissima-grey.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034148,,,,,1772382,Детские товары >> Школа,fundesk,Комплект меблів шкільний 2 елементи FunDesk Sole Grey,,3589,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-fundesk-sole-blue.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034154,,,,,1772393,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Vanda Pink,,4489,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-vanda-pink.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034161,,,,,1772392,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Vanda Grey,,4889,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-vanda-grey.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
810034167,,,,,1772391,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Vanda Blue,,4489,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-vanda-blue.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034168,,,,,1772375,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Olea Pink,,3189,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-olea-pink.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034170,,,,,1772388,Детские товары >> Школа,cubby,Комплект меблів шкільний 2 елементи Cubby Sorpresa Grey,,3249,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-sorpresa-grey.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034185,,,,,1772365,Детские товары >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Botero Grey,,5189,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-botero-grey.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034191,,,,,1772363,Comfy KIDS >> Школа >> Мебель для школы >> Мебель для школы Cubby,cubby,Комплект меблів шкільний 2 елементи Cubby Botero Blue,,5789,1,https://comfy.ua/komplekt-mebeli-shkol-nyj-2-jelementa-cubby-botero-blue.html,,05.11.2025 20:38,,"вул. Соборна, 42",Фастів,0
810034193,,,,,1765488,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели Minola,minola,Варильна поверхня газова Minola MGM 616224 IV,,5524,1,https://comfy.ua/varochnaja-panel-gazovaja-minola-mgm-616224-iv.html,6499,05.11.2025 21:05,,"вул. Соборна, 42",Фастів,0
810034250,,,,,1755588,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",,Стабілізатор напруги Forte DR600,,1720,1,https://comfy.ua/catalog/product/view/id/2122933,,05.11.2025 17:22,,"вул. Соборна, 42",Фастів,0
810034252,,,,,1755587,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",,Стабілізатор напруги Forte MAX-1000VA New,,2150,1,https://comfy.ua/catalog/product/view/id/2122863,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
810034254,,,,,1755585,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",,Стабілізатор напруги Forte TDR-5000VA,,6827,1,https://comfy.ua/catalog/product/view/id/2122723,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
810216278,,,,,1683228,Техника для дома >> Климатическая техника,africa,Конвектор AFRICA А510 чорний,,4949,1,https://comfy.ua/catalog/product/view/id/2153913,,05.11.2025 17:58,,"вул. Соборна, 42",Фастів,0
810216279,,,,,1683236,Техника для дома >> Климатическая техника,africa,"Конвектор AFRICA Т510 чорний, з терморегулятором",,6249,1,https://comfy.ua/catalog/product/view/id/2154273,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
810216285,,,,,1683245,Техника для дома >> Климатическая техника,africa,"Конвектор AFRICA Х760 чорний, з термотаймером",,6749,1,https://comfy.ua/catalog/product/view/id/2154433,,05.11.2025 18:37,,"вул. Соборна, 42",Фастів,0
810230025,,,,,1776616,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora Angelica 200 мм (VS-200B),,237,1,https://comfy.ua/catalog/product/view/id/2153553,,05.11.2025 20:26,,"вул. Соборна, 42",Фастів,0
810343110,,,,,1778192,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Military for Samsung Galaxy A02s SM-A025 Blue (706013),,275,1,https://comfy.ua/catalog/product/view/id/2151073,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
810344607,,,,,1770143,Бытовая химия >> Все для уборки,helper,Засіб для чищення скла Helper Морская свежесть Запаска 500 мл,,34,1,https://comfy.ua/catalog/product/view/id/2151773,40,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
810346532,,,,,1770125,Бытовая химия >> Все для уборки,frosch,Засіб для чищення універсальний Frosch Нейтра ний 5 л,,414,1,https://comfy.ua/catalog/product/view/id/2151313,,05.11.2025 19:41,,"вул. Соборна, 42",Фастів,0
