929444448,,,,,1802364,OUTLET,etalon-s,Уцінка - Кришка від бризок до НВЧ Эталон-С D270 (з клапаном) #,,64,1,https://comfy.ua/kryshka-ot-bryzg-dlja-svch-jetalon-s-d270-s-klapanom-ucenka-1-1.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929446283,,,,,1770938,OUTLET,tefal,Уцінка - Мультиварка Tefal RK321A34 #,,4049,1,https://comfy.ua/mul-tivarka-tefal-rk321a34-ucenka-1-1.html,4724,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
929446316,,,,,1779491,OUTLET,delonghi,Уцінка - Кавоварка ріжкова Delonghi EC 685.R #,,7199,1,https://comfy.ua/kofevarka-rozhkovaja-delonghi-ec-685-r-ucenka-1-1.html,10799,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929446403,,,,,1480281,OUTLET,gorenje,Уцінка - Мікрохвильова піч (НВЧ) Gorenje MO 17 E1S #,,2519,1,https://comfy.ua/mikrovolnovaja-pech-svch-gorenje-mo-17-e1s-ucenka-1-1.html,3311,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
929446434,,,,,1642850,OUTLET,philips,Уцінка - Блендер заглибний Philips HR2537/00 #,,2249,1,https://comfy.ua/blender-pogruzhnoj-philips-hr2537-00-ucenka-1-1.html,3239,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
929447287,,,,,1818165,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель 3.5 мм -3.5 мм UGREEN AV118 3.5 mm Male to 3.5 mm Female 1 m Black (10592),,199,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-ugreen-av118-3-5-mm-male-to-3-5-mm-female-1-m-black-10592.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
929447289,,,,,1818166,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель 3.5 мм -3.5 мм UGREEN AV118 3.5 mm Male to 3.5 mm Female 1.5 m Black (10593),,219,1,https://comfy.ua/kabel-3-5-mm-3-5-mm-ugreen-av118-3-5-mm-male-to-3-5-mm-female-1-5-m-black-10593.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
929448086,,,,,1684748,OUTLET,tnb,Уцінка - Антена внутрішня T'nB Aninflat02 #,,487,1,https://comfy.ua/antenna-vnutrennjaja-t-nb-aninflat02-ucenka-1-1.html,,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
929448104,,,,,1244704,Техника для кухни >> Мир кофе >> Кофеварки капельные >> Кофеварки капельные Philips,philips,Уцінка - Кавоварка крапельна Philips HD7459/20 #,,2339,1,https://comfy.ua/kofevarka-kapel-naja-philips-hd7459-20-ucenka-1-1.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929448151,,,,,1016218,OUTLET,martex,Уцінка - Кришка для посуду Martex 29-45-004 26см##,,131,1,https://comfy.ua/kryshka-dlja-posudy-martex-29-45-004-26sm-ucenka-2-1.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929448581,,,,,11343708,OUTLET,severin,Мікропошкодження - Міксер Severin HM 3822,,1433,1,https://comfy.ua/mikser-severin-hm-3822-ucenka-50-1.html,1775,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
929450855,,,,,11148214,OUTLET,airon,Мікропошкодження - Кріплення для екшн-камери AIRON Крепление - перчатка AC127,,76,1,https://comfy.ua/kreplenie-dlja-jekshn-kamery-airon-kreplenie-perchatka-ac127-ucenka-50-1.html,259,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
929450857,,,,,11148211,OUTLET,airon,Мікропошкодження - Кріплення для екшн-камери AIRON Крепление на руку AC366,,359,1,https://comfy.ua/kreplenie-dlja-jekshn-kamery-airon-kreplenie-na-ruku-ac366-ucenka-50-1.html,399,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
929450859,,,,,11300418,OUTLET,airon,Мікропошкодження - Кріплення для екшн-камери AIRON Крепление ''Челюсти'' AC152,,539,1,https://comfy.ua/kreplenie-dlja-jekshn-kamery-airon-kreplenie-cheljusti-ac152-ucenka-50-1.html,599,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
929451352,,,,,1518948,OUTLET,vestfrost,Уцінка - Варильна поверхня електрична Vestfrost EHV 11 #,,4833,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-vestfrost-ehv-11-ucenka-1-1.html,6149,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929452980,,,,,1797772,OUTLET,gorenje,Уцінка - Варильна поверхня газова Gorenje GTW641EB #,,11389,1,https://comfy.ua/varochnaja-panel-gazovaja-gorenje-gtw641eb-ucenka-1-1.html,12494,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,1
929457416,,,,,1043046,OUTLET,eleyus,Уцінка - Витяжка вбудована ELEYUS Storm 700 60 BL#,,3750,1,https://comfy.ua/vytjazhka-vstraivaemaja-eleyus-storm-700-60-bl-ucenka-1-1.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
929458702,,,,,1633904,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Samsung,samsung,Уцінка - Кондиціонер спліт Samsung AR09TXHQASINUA #,,16999,1,https://comfy.ua/kondicioner-split-samsung-ar09txhqasinua-ucenka-1-1.html,18699,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
929458790,,,,,1639760,OUTLET,hansa,Уцінка - Духова шафа електрична Hansa BOEIS696022 #,,10441,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-hansa-boeis696022-ucenka-1-1.html,13649,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
929458802,,,,,1567978,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Electrolux,electrolux,Уцінка - Духова шафа електрична Electrolux OKC5H50W #,,18899,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-electrolux-okc5h50w-ucenka-1-1.html,21074,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
929461240,,,,,1612981,"Аудио, фото и видео >> Аксессуары для фото, видео >> Карты памяти >> Карты памяти Kingston",kingston,Уцінка - Карта пам'яті Kingston microSDXC 64Gb Canvas Select+ A1 + adapter (SDCS2/64GB) #,,194,1,https://comfy.ua/karta-pamjati-kingston-microsdxc-64gb-canvas-select-a1-adapter-sdcs2-64gb-ucenka-1-1.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
929467412,,,,,984726,OUTLET,philips,Уцінка - Кухонний комбайн Philips HR7778/00#,,11699,1,https://comfy.ua/kuhonnyj-kombajn-philips-hr7778-00-ucenka-1-1.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929473032,,,,,1824522,"Дом, отдых и зоотовары >> Освещение >> Лампочки >> Лампочки ENL",enl,"Лампочка світлодіодна ENL A60 12Вт 4100K E27, 3 шт (A60E2712ENLNR)",,149,1,https://comfy.ua/lampochka-svetodiodnaja-enl-a60-12vt-4100k-e27-3-sht-a60e2712enlnr.html,199,05.11.2025 19:53,,"вул. Соборна, 42",Фастів,3
929474055,,,,,1796084,OUTLET,gorenje,Уцінка - Варильна поверхня електрична Gorenje IS 645 BG #,,17549,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-gorenje-is-645-bg-ucenka-1-1.html,20474,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
929474057,,,,,1684586,OUTLET,gorenje,Уцінка - Варильна поверхня електрична Gorenje IT 643 BSC #,,12908,1,https://comfy.ua/varochnaja-panel-jelektricheskaja-gorenje-it-643-bsc-ucenka-1-1.html,,05.11.2025 21:08,,"вул. Соборна, 42",Фастів,0
929474627,,,,,1714788,OUTLET,beko,Уцінка - Холодильник Beko RCNA406E35ZXB #,,18529,1,https://comfy.ua/holodil-nik-beko-rcna406e35zxb-ucenka-1-1.html,19549,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
929474628,,,,,1752137,OUTLET,beko,Уцінка - Холодильник Beko RCNA406E35ZXBR #,,17849,1,https://comfy.ua/holodil-nik-beko-rcna406e35zxbr-ucenka-1-1.html,19549,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
929474637,,,,,1789747,OUTLET,gorenje,Уцінка - Холодильник Gorenje NRK6202EXL4 #,,18274,1,https://comfy.ua/holodil-nik-gorenje-nrk6202exl4-ucenka-1-1.html,22949,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
929475493,,,,,1771474,OUTLET,samsung,Уцінка - Витяжка вбудована Samsung NK24M1030IS/UR #,,4844,1,https://comfy.ua/vytjazhka-vstraivaemaja-samsung-nk24m1030is-ur-ucenka-1-1.html,5184,05.11.2025 20:55,,"вул. Соборна, 42",Фастів,0
929476665,,,,,1586071,OUTLET,eleyus,Уцінка - Витяжка декоративна ELEYUS Della 700 60 IS+BL #,,3049,1,https://comfy.ua/vytjazhka-dekorativnaja-eleyus-della-700-60-is-bl-ucenka-1-1.html,3588,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
929476696,,,,,1527312,OUTLET,perfelli,Уцінка - Витяжка декоративна Perfelli DN 6322 W LED #,,3575,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-dn-6322-w-led-ucenka-1-1.html,4586,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
929480863,,,,,1805160,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Faber,faber,Уцінка - Витяжка вбудована Faber INKA PLUS HC X A70 #,,4001,1,https://comfy.ua/vytjazhka-vstraivaemaja-faber-inka-plus-hc-x-a70-ucenka-1-1.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
929480865,,,,,1805267,OUTLET,faber,Уцінка - Витяжка декоративна Faber VALUE PB 4 2L BK A90 #,,3899,1,https://comfy.ua/vytjazhka-dekorativnaja-faber-value-pb-4-2l-bk-a90-ucenka-1-1.html,,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
929480880,,,,,1742430,OUTLET,elica,Уцінка - Витяжка декоративна Elica STILL BL/A/60 ##,,2800,1,https://comfy.ua/vytjazhka-dekorativnaja-elica-still-bl-a-60-ucenka-2-1.html,3255,05.11.2025 21:10,,"вул. Соборна, 42",Фастів,0
929480881,,,,,1717077,OUTLET,elica,Уцінка - Витяжка декоративна Elica LIXA BL/A/60 #,,4157,1,https://comfy.ua/vytjazhka-dekorativnaja-elica-lixa-bl-a-60-ucenka-1-1.html,6434,05.11.2025 21:07,,"вул. Соборна, 42",Фастів,0
929480885,,,,,1662680,OUTLET,perfelli,Уцінка - Витяжка декоративна Perfelli G 6841 I #,,6174,1,https://comfy.ua/vytjazhka-dekorativnaja-perfelli-g-6841-i-ucenka-1-1.html,,05.11.2025 21:09,,"вул. Соборна, 42",Фастів,0
