1090070660,column,column,column,column,1921487,______________tmnt,tmnt,__tmnt_movie_star_1992___12_cm_81332_81332,column,299,1,httpscomfyuakollekcionnajafigurkatmntmoviestar1992donatelo12cm8133281332html,column,06112025_145,column,__42,Фастів,0
1090247665,,,,,1880891,Comfy KIDS >> Детская комната и безопасность >> Манежи >> Манежи Kinderkraft,kinderkraft,Манеж-ліжко Kinderkraft Leody Grey (KCLEOD00GRY00AC),,5790,1,https://comfy.ua/manezh-krovat-kinderkraft-leody-grey-kcleod00gry00ac.html,,05.11.2025 20:35,,"вул. Соборна, 42",Фастів,0
1090249277,6796008,LEGRAND,Сетевой фильтр LEGRAND СТАНДАРТ 5розеток 1.5м 16А 3?1. 5мм2 Black (694556),772,1921122,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Сетевые фильтры и удлинители >> Сетевые фильтры и удлинители Legrand",legrand,"Мережевий фільтр Legrand Стандарт 5х2К 1,5 м (694556)",,785,1,https://comfy.ua/setevoj-fil-tr-legrand-standart-5h2k-1-5-m-694556.html,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1090261455,6785220,MSI,Комплект MSI Vigor GK30 COMBO White (S11-04UA302-CLA),2920,1921204,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",msi,Клавіатура+миша MSI Vigor GK30 COMBO WHITE UA (S11-04UA302-CLA),,2599,1,https://comfy.ua/klaviatura-mysh-msi-vigor-gk30-combo-white-ua-s11-04ua302-cla.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
1090262049,,,,,.1870573,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora 190 мм (V-190PB),,67,1,https://comfy.ua/tarelka-desertnaja-vittora-190-mm-v-190pb.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
1090262336,6319581,TRUST,Колонки TRUST Tytan Speaker Set Black (21560),2199,1921213,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Trust",trust,Акустична система стаціонарна Trust 2.0 Tytan Black (21560),,2199,1,https://comfy.ua/portativnaja-akustika-trust-2-0-tytan-black-21560.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
1090263215,6770478,TEFAL,Миксер TEFAL Powermix Silence (HT652538),2499,1910840,Техника для кухни >> Мелкая техника >> Миксеры >> Миксеры Tefal,tefal,Міксер Tefal HT652538,,2499,1,https://comfy.ua/mikser-tefal-ht652538.html,4299,05.11.2025 17:55,,"вул. Соборна, 42",Фастів,0
1090407759,,,,,1924587,Детские товары >> Прогулки и поездки,britax-romer,Люлька для коляски Britax-Romer SMILE III Fossil Grey (2000036116),,10200,1,https://comfy.ua/catalog/product/view/id/3429463,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1090417551,,,,,1909543,Техника для кухни >> Крупная техника,jantar,Варильна поверхня газова JANTAR HGF 60 BL EF,,4199,1,https://comfy.ua/catalog/product/view/id/3429723,6559,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
1090421851,6740667,GENIUS,Мышь GENIUS NX-7005 Red NP (31030017403),349,1922061,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Genius",genius,Миша бездротова Genius NX-7005 Red NP (31030017403),,349,1,https://comfy.ua/mysh-besprovodnaja-genius-nx-7005-red-np-31030017403.html,,05.11.2025 19:20,,"вул. Соборна, 42",Фастів,0
1090429748,6740673,GENIUS,Мышь Genius NX-7015 Wireless Black/Silver (31030019404),439,1922067,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Genius",genius,Миша бездротова Genius NX-7015 Silver NP (31030019404),,289,1,https://comfy.ua/mysh-besprovodnaja-genius-nx-7015-silver-np-31030019404.html,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1090429752,6740669,GENIUS,Мышь GENIUS NX-7015 CHOCOLATE NP (31030019401),439,1922063,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Мыши компьютерные >> Мыши компьютерные Genius",genius,Миша бездротова Genius NX-7015 Chocolate NP (31030019401),,299,1,https://comfy.ua/mysh-besprovodnaja-genius-nx-7015-chocolate-np-31030019401.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1090476493,6799554,BOSCH,Вытяжка BOSCH DWF65AJ60T,15699,1918218,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Bosch,bosch,Витяжка декоративна Bosch DWF65AJ60T,,15699,1,https://comfy.ua/vytjazhka-dekorativnaja-bosch-dwf65aj60t.html,17599,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
1090477339,,,,,1914786,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",seagate,Жорсткий диск зовнішній Seagate 3.5'' 10TB Expansion Desktop (STKP10000400),,9199,1,https://comfy.ua/catalog/product/view/id/3424023,,05.11.2025 17:43,,"вул. Соборна, 42",Фастів,0
1090481131,,,,,1870577,Посуда >> Для сервировки,vittora,Тарілка десертна Vittora Blanco Square 215 мм (V-215S),,76,1,https://comfy.ua/catalog/product/view/id/3345633,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1090481183,,,,,1870578,Посуда >> Для сервировки,vittora,Тарілка обідня Vittora Blanco Square 240 мм (V-240S),,98,1,https://comfy.ua/catalog/product/view/id/3345683,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
1090489098,6189739,DEWALT,Набор сверел по металлу DEWALT HSS-R (DT5912),317,1920266,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры DeWALT,dewalt,Набір свердел DeWALT HSS-R 13 шт. (DT5912),,329,1,https://comfy.ua/nabor-sverl-dewalt-hss-r-13-sht-dt5912.html,,05.11.2025 21:11,,"вул. Соборна, 42",Фастів,0
1090489099,6295006,DEWALT,Набор сверл по металлу DEWALT HSS-G 10шт (DT5921),1129,1920265,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры DeWALT,dewalt,Набір свердел DeWALT HSS-G 10 шт. (DT5921),,1129,1,https://comfy.ua/nabor-sverl-dewalt-hss-g-10-sht-dt5921.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
1090490092,6768894,ELEYUS,Варочная поверхность ELEYUS IRMA 60 BL CWF,6999,1919716,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS IRMA 60 BL CWF,,6999,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-irma-60-bl-cwf.html,7909,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1090490101,6787392,MSI,Монитор MSI MPG ARTYMIS 273CQR,17849,1925287,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",msi,Монітор ігровий MSI MPG Artymis 273CQR,,21203,1,https://comfy.ua/monitor-igrovoj-msi-mpg-artymis-273cqr.html,24799,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1090490103,,,,,1924587,Comfy KIDS >> Прогулки и поездки >> Аксессуары и комплектующие для детских колясок >> Аксессуары и комплектующие для детских колясок Britax-Romer,britax-romer,Люлька для коляски Britax-Romer SMILE III Fossil Grey (2000036116),,10200,1,https://comfy.ua/ljul-ka-dlja-koljaski-britax-romer-smile-iii-fossil-grey-2000036116.html,,05.11.2025 21:06,,"вул. Соборна, 42",Фастів,0
1090490107,,,,,1925311,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки TOBOT,tobot,Машинка-трансформер TOBOT Детективи Галактики Танкмен (301092),,2999,1,https://comfy.ua/mashinka-transformer-tobot-detektivy-galaktiki-tankmen-301092.html,3300,06.11.2025 0:56,,"вул. Соборна, 42",Фастів,0
1090490135,6825887,WHIRLPOOL,Встраиваемая микроволновая печь WHIRLPOOL WMF200G,8899,1857168,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Whirlpool,whirlpool,Мікрохвильова піч (НВЧ) вбудовувана Whirlpool WMF200G,,8899,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-whirlpool-wmf200g.html,9599,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1090490140,6768896,ELEYUS,Варочная поверхность ELEYUS IRMA 60 WH CF,6426,1919717,Техника для кухни >> Крупная техника >> Варочные панели >> Варочные панели ELEYUS,eleyus,Варильна поверхня газова ELEYUS IRMA 60 WH CF,,6426,1,https://comfy.ua/varochnaja-panel-gazovaja-eleyus-irma-60-wh-cf.html,8199,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
