1657823778,column,column,column,column,2873493,____________lionelo,lionelo,__lionelo_ingrid_green_emerald,column,7999,1,httpscomfyuakoljaskaprogulochnajalioneloingridgreenemeraldhtml,column,05112025_2038,column,__42,Фастів,0
1657847431,,,,,.2822128,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Xiaomi Poco X6 5G (ARM73472),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-xiaomi-poco-x6-5g-arm73472.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1657847614,,,,,2864349,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO TECHNIC Марсохід команди дослідників (42180),,5905,1,https://comfy.ua/konstruktor-lego-technic-marsohod-komandy-issledovatelej-42180.html,7599,05.11.2025 22:28,,"вул. Соборна, 42",Фастів,0
1657847704,,,,,.2827625,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Samsung S24 (ARM72452),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-samsung-s24-arm72452.html,,05.11.2025 19:28,,"вул. Соборна, 42",Фастів,0
1657848505,,,,,.2822145,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart Anti-Blue for Teclast T45HD LTE (ARM74036),,349,1,https://comfy.ua/zaschitnaja-plenka-dlja-plansheta-armorstandart-anti-blue-for-teclast-t45hd-lte-arm74036.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1657850454,,,,,2842467,Смартфоны и телефоны >> Аксессуары для смартфонов,make,Захисне скло для смартфону MAKE FCFG Samsung A25 (MGF-SA25),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-make-fcfg-samsung-a25-mgf-sa25.html,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1657851137,,,,,.2862975,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo Full Glue for Xiaomi 13T (1283126582554),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-full-glue-for-xiaomi-13t-1283126582554.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1657851145,,,,,.2842458,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro for Nokia C21 Black (ARM70431),,199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-for-nokia-c21-black-arm70431.html,,05.11.2025 20:37,,"вул. Соборна, 42",Фастів,0
1657855167,,,,,.2822140,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,Захисна плівка для планшету Armorstandart for Teclast T45HD LTE (ARM74029),,349,1,https://comfy.ua/chehol-dlja-smartfona-armorstandart-for-teclast-t45hd-lte-arm74029.html,,05.11.2025 22:16,,"вул. Соборна, 42",Фастів,0
1657858618,,,,,.2834360,Техника для дома >> Климатическая техника,devi,Терморегулятор Devi Devireg Touch (140F1078),,6829,1,https://comfy.ua/termoreguljator-devi-devireg-touch-140f1078.html,,05.11.2025 18:16,,"вул. Соборна, 42",Фастів,0
1657861721,7071325,INFANTINO,Игрушка для ванной INFANTINO Время купать пингвина (305221),746,2721220,Детские товары >> Игрушки для малышей >> Игрушки для ванной >> Игрушки для ванной Infantino,infantino,Іграшка для ванної Infantino Час купати пінгвіна (305221),,897,1,https://comfy.ua/igrushka-bryzgalka-dlja-vannoj-infantino-pora-kupat-pingvina-305221.html,,05.11.2025 20:23,,"вул. Соборна, 42",Фастів,0
