1462651295,6866796,ARDESTO,Нож поварской ARDESTO Fresh 15 см Black (AR2127CB),342,2253540,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Ardesto,ardesto,Ніж кухонний Ardesto Fresh 27.5 см Black (AR2127CB),,342,1,https://comfy.ua/nozh-kuhonnyj-ardesto-fresh-27-5-sm-black-ar2127cb.html,,05.11.2025 18:57,,"вул. Соборна, 42",Фастів,0
1462652864,,,,,2254030,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Блок живлення для ПК Gamemax ATX-400W SFX,,889,1,https://comfy.ua/blok-pitanija-dlja-pk-gamemax-atx-400w-sfx.html,,05.11.2025 19:12,,"вул. Соборна, 42",Фастів,0
1462659299,6871611,NEO TOOLS,"Автохолодильник NEO TOOLS 2в1, 230/12В (63-152)",4499,2276540,"Дом, отдых и зоотовары >> Отдых и путешествия >> Автохолодильники >> Автохолодильники Neo Tools",neo-tools,Холодильник автомобільний Neo Tools 63-152,,4499,1,https://comfy.ua/holodil-nik-avtomobil-nyj-neo-tools-63-152.html,,05.11.2025 20:18,,"вул. Соборна, 42",Фастів,0
1462688530,6842318,BOMANN,Электрочайник BOMANN WK 5011 CB White,744,2275429,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bomann,bomann,Електричний чайник Bomann WK 5011 CB White,,745,1,https://comfy.ua/jelektricheskij-chajnik-bomann-wk-5011-cb-white.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1462688968,6858702,ECG,Электрочайник туристический ECG RK 550 Travel,1113,2265065,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические ECG,ecg,Електричний чайник ECG RK 550 Travel,,1115,1,https://comfy.ua/jelektricheskij-chajnik-ecg-rk-550-travel.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1462688969,6842322,BOMANN,Электрочайник BOMANN WKS 3002 CB White,1299,2275430,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bomann,bomann,Електричний чайник Bomann WKS 3002 CB White,,1299,1,https://comfy.ua/jelektricheskij-chajnik-bomann-wks-3002-cb-white.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1462688970,6842319,BOMANN,Электрочайник BOMANN WK 5012 CB,1394,2275431,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bomann,bomann,Електричний чайник Bomann WK 5012 CB,,1395,1,https://comfy.ua/jelektricheskij-chajnik-bomann-wk-5012-cb.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1462688971,6842324,BOMANN,Электрочайник BOMANN WKS 6043 CB,1405,2275434,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bomann,bomann,Електричний чайник Bomann WKS 6043 CB,,1405,1,https://comfy.ua/jelektricheskij-chajnik-bomann-wks-6043-cb.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1462690055,6842323,BOMANN,Электрочайник BOMANN WKS 6032 G CB,1193,2275433,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bomann,bomann,Електричний чайник Bomann WKS 6032 G CB,,1195,1,https://comfy.ua/jelektricheskij-chajnik-bomann-wks-6032-g-cb.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1462690206,6842321,BOMANN,Электрочайник BOMANN WKS 1356 CB,1899,2275432,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bomann,bomann,Електричний чайник Bomann WKS 1356 CB,,1899,1,https://comfy.ua/jelektricheskij-chajnik-bomann-wks-1356-cb.html,,05.11.2025 20:20,,"вул. Соборна, 42",Фастів,0
1462698024,,,,,.2184319,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",2e,Системний блок 2E Octal (2E-C0003),,17939,1,https://comfy.ua/sistemnyj-blok-2e-octal-2e-c0003.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1462698178,,,,,.2184322,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",2e,Системний блок 2E Octal (2E-C0006),,19149,1,https://comfy.ua/sistemnyj-blok-2e-octal-2e-c0006.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1462698186,,,,,.2184317,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",2e,Системний блок 2E Octal (2E-C0001),,19939,1,https://comfy.ua/sistemnyj-blok-2e-octal-2e-c0001.html,,05.11.2025 18:20,,"вул. Соборна, 42",Фастів,0
1462698187,,,,,.2184325,"Ноутбуки, планшеты и компьютерная техника >> Системные блоки",2e,Системний блок 2E Octal (2E-C0009),,18669,1,https://comfy.ua/sistemnyj-blok-2e-octal-2e-c0009.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
