878518582,column,column,column,column,1807646,Техника для дома >> Климатическая техника,ecg,__ecg_fs_91_t,column,5565,1,httpscomfyuaventiljatornapolnyjecgfs91thtml,column,05112025_1830,column,__42,Фастів,0
878518582,,,,,1807646,Техника для дома >> Климатическая техника,ecg,Вентилятор підлоговий ECG FS 91 T,,5565,1,https://comfy.ua/ventiljator-napol-nyj-ecg-fs-91-t.html,,05.11.2025 18:30,,"вул. Соборна, 42",Фастів,0
878526205,6797144,ESPERANZA,Гарнитура ESPERANZA Bongo Black (EH212K),269,1792158,"Аудио, фото и видео >> Наушники >> Наушники Esperanza",esperanza,Навушники повнорозмірні дротові Esperanza Bongo Black (EH212K),,269,1,https://comfy.ua/naushniki-polnorazmernye-provodnye-esperanza-bongo-black-eh212k.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
878526238,,,,,1808460,Детские товары >> Прогулки и поездки >> Коляски детские >> Коляски детские Peg-Perego,peg-perego,Коляска прогулянкова Peg-Perego Selfie Mon Amour (IP22000000BA36DX19),,9989,1,https://comfy.ua/koljaska-progulochnaja-peg-perego-selfie-mon-amour-ip22000000ba36dx19.html,,05.11.2025 21:00,,"вул. Соборна, 42",Фастів,0
878526242,6618600,TEFAL,Мультиварка TEFAL RK740532,4999,1770874,Техника для кухни >> Мелкая техника >> Мультиварки >> Мультиварки Tefal,tefal,Мультиварка Tefal RK740532,,4999,1,https://comfy.ua/mul-tivarka-moulinex-rk740532.html,5699,05.11.2025 17:49,,"вул. Соборна, 42",Фастів,0
878526251,7024620,GRAND ШАРМ,hyg GRAND ШАРМ Мило ДИТЯЧЕ РОМАШКА 5*70г,48,1808501,"Детские товары >> Уход, купание и гигиена >> Личная гигиена малыша >> Личная гигиена малыша Grand Шарм",grand-sharm,Мило кускове дитяче Grand Шарм Ромашка 5x70 г (4820195501993),,55,1,https://comfy.ua/mylo-kuskovoe-detskoe-grand-sharm-romashka-5x70-g-4820195501993.html,,05.11.2025 20:39,,"вул. Соборна, 42",Фастів,0
878526476,,,,,.1808181,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,ipega,Геймпад iPega PG-9137,,249,1,https://comfy.ua/gejmpad-ipega-pg-9137.html,299,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
878528371,,,,,1678712,Смартфоны и телефоны >> Аксессуары для смартфонов,baseus,Автотримач Baseus Metal Wireless Charger Gravity Car MountTarnish (WXYL-B0A),,865,1,https://comfy.ua/catalog/product/view/id/2405843,,05.11.2025 19:54,,"вул. Соборна, 42",Фастів,0
878528537,,,,,.1800295,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway Canon 737 + тонер TH-1005 3 шт. (CW-C737M/TH-1005),,719,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-canon-737-toner-th-1005-3-sht-cw-c737m-th-1005.html,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
878528538,,,,,.1800293,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Картридж для лазерних принтерів/БФП Colorway Canon 725 Univ. + тонер TH-1005 3 шт. (CW-C725M/TH-1005),,324,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-colorway-canon-725-univ-toner-th-1005-3-sht-cw-c725m-th-1005.html,719,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
878531098,,,,,.1799140,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",canon,Картридж для лазерних принтерів/БФП Canon LBP7200 (3.4К) Cartridge 718 Black (2662B002AA),,5565,1,https://comfy.ua/kartridzh-dlja-lazernyh-printerov-mfu-canon-lbp7200-3-4k-cartridge-718-black-2662b002aa.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
878532913,,,,,1800308,Техника для кухни >> Хранение продуктов,sencor,Сушарка для фруктів та овочів Sencor SFD 6601BK,,6399,1,https://comfy.ua/catalog/product/view/id/2358563,7599,05.11.2025 17:27,,"вул. Соборна, 42",Фастів,0
878535156,,,,,1092840,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,Тонер для заправки картриджа Colorway (TH-1200P) HP LJ 1200 Premium 150 г,,105,1,https://comfy.ua/catalog/product/view/id/2369303,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
878535168,,,,,1092796,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры",colorway,"Тонер для заправки картриджа Colorway (TB-2030) BROTHER HL-2040/2070, 100 г",,99,1,https://comfy.ua/catalog/product/view/id/2377033,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
878565308,,,,,1809773,"Детские товары >> Уход, купание и гигиена",lion,Зубна паста дитяча Lion Kids Safe Полуниця 90 г (8806325611486),,109,1,https://comfy.ua/catalog/product/view/id/2422053,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
878573893,,,,,1809808,Comfy KIDS >> Игрушки >> Интерактивные игрушки >> Интерактивные игрушки Hasbro,hasbro,Інтерактивна іграшка Hasbro FurReal Friends Маленький Вихованець на повідку (E4775 Щеня С),,649,1,https://comfy.ua/interaktivnaja-igrushka-plastikovaja-hasbro-furreal-friends-malen-kij-pitomec-na-povodke-e4775-schenok-s.html,,05.11.2025 23:42,,"вул. Соборна, 42",Фастів,0
878573895,,,,,.1809646,Детские товары >> Игрушки,sibelly,Стретч-антистрес Sibelly Pop It Square Glow in Dark (SB-PPIT-SQL-GD),,39,1,https://comfy.ua/stretch-antistress-sibelly-pop-it-square-glow-in-dark-sb-ppit-sql-gd.html,,05.11.2025 20:31,,"вул. Соборна, 42",Фастів,0
878573898,,,,,1809806,Детские товары >> Игрушки,hasbro,Інтерактивна іграшка Hasbro FurReal Friends Маленький Вихованець на повідку (E4777 Мавпочка),,649,1,https://comfy.ua/interaktivnaja-igrushka-plastikovaja-hasbro-furreal-friends-malen-kij-pitomec-na-povodke-e4777-obez-janka.html,,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
