811002270,column,column,column,column,1777124,Инструменты и автотовары >> Электроинструменты,werk,__werk_____kit5pg,column,1219,1,httpscomfyuaraspylitelkraskiwerknaborpnevmoistrumentovkit5pghtml,column,05112025_2130,column,__42,Фастів,0
811453650,6323428,RINGEL,Сковорода RINGEL Chili 28 см Black (RG-1101-28),800,1213516,Посуда >> Для приготовления >> Сковороды >> Сковороды Ringel,ringel,Сковорода універсальна Ringel Chili 28 см (RG-1101-28),,800,1,https://comfy.ua/skovoroda-universal-naja-ringel-chili-28-sm-rg-1101-28-acsessuary.html,,05.11.2025 21:18,,"вул. Соборна, 42",Фастів,0
811453863,6343586,TRAMONTINA,Набор чайных ложек TRAMONTINA COSMOS 6 пр. (66950/071),234,1221618,Посуда >> Для сервировки >> Столовые приборы >> Столовые приборы Tramontina,tramontina,Набір чайних ложок Tramontina Cosmos 6 шт (66950/071),,319,1,https://comfy.ua/nabor-chajnyh-lozhek-tramontina-cosmos-6-sht-66950-071-acsessuary.html,,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
811454031,6358195,DEFENDER,Гарнитура DEFENDER Warhead G-450 red-black (64146),799,1434524,"Аудио, фото и видео >> Наушники >> Наушники Defender",defender,Гарнітура дротова ігрова Defender Warhead G-450 USB (64146),,799,1,https://comfy.ua/garnitura-provodnaja-igrovaja-defender-warhead-g-450-usb-64146-video.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
811454048,6358927,TRAMONTINA,Ковш TRAMONTINA Solar silicone 1.4 л (62121/163),1874,1344816,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники Tramontina,tramontina,"Ківш Tramontina Solar silicone 2,2 л (16см) (62121/163)",,2203,1,https://comfy.ua/kovsh-tramontina-solar-silicone-2-2-l-16sm-62121-163-acsessuary.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
811454249,6365426,LIBERTY,Варочная поверхность LIBERTY PG3121BG-CCB (453),4049,1228268,Техника для кухни >> Крупная техника,liberty,Варильна поверхня Domino Liberty PG3121BG-CCB (453),,4049,1,https://comfy.ua/varochnaja-panel-domino-liberty-pg3121bg-ccb-453-servicy.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
811454258,6366755,TRAMONTINA,Нож разделочный TRAMONTINA Plenus 15.2 см Grey (23424/166),171,1336965,Посуда >> Нарезка и измельчение >> Ножи и наборы >> Ножи и наборы Tramontina,tramontina,Ніж кухонний Tramontina Plenus Grey разделочный 152 мм (23424/166),,191,1,https://comfy.ua/nozh-kuhonnyj-tramontina-plenus-grey-razdelochnyj-152-mm-23424-166-acsessuary.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
811454549,6384923,GORENJE,Пылесборник GORENJE GB2PBU 5 шт. (570731),179,1384522,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары и комплектующие для пылесосов >> Аксессуары и комплектующие для пылесосов Gorenje,gorenje,Набір мішків для пилососа Gorenje GB2PBU,,179,1,https://comfy.ua/nabor-meshkov-dlja-pylesosa-gorenje-gb2pbu-harakteristiki.html,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
811454588,6388460,ELECTROLUX,Встраиваемая микроволновая печь ELECTROLUX EMT25203OK,16999,1293572,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Electrolux,electrolux,Мікрохвильова піч (НВЧ) вбудовувана Electrolux EMT25203OK,,16999,1,https://comfy.ua/mikrovolnovaja-pech-svch-vstraivaemaja-electrolux-emt25203ok-video.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
811455321,6430187,SEVERIN,Электрочайник SEVERIN WK 3497,1959,1343715,Техника для кухни >> Мелкая техника,severin,Електричний чайник Severin WK 3497,,1959,1,https://comfy.ua/jelektricheskij-chajnik-severin-wk-3497-servicy.html,,05.11.2025 20:19,,"вул. Соборна, 42",Фастів,0
811455485,6441182,REAL EL,Наушники REAL EL Z-1720 (00-00028214) Wooden,164,1238815,"Аудио, фото и видео >> Наушники >> Наушники REAL-EL",real-el,Навушники вкладиші REAL-EL Z-1720 Wooden,,165,1,https://comfy.ua/naushniki-vkladyshi-real-el-z-1720-wooden-acsessuary.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
