1028030431,column,column,column,column,1858870,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",emos,_220_emos_p0421_4__15_,column,239,1,httpscomfyuacatalogproductviewid2960313,column,05112025_1735,column,__42,Фастів,0
1028030431,,,,,1858870,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",emos,"Подовжувач 220В EMOS P0421, 4 розетки, 1,5 м.",,239,1,https://comfy.ua/catalog/product/view/id/2960313,,05.11.2025 17:35,,"вул. Соборна, 42",Фастів,0
1028031955,,,,,1858877,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",emos,"Подовжувач 220В EMOS P14201, 4 розетки, 10 м.",,1699,1,https://comfy.ua/catalog/product/view/id/2960423,,05.11.2025 17:32,,"вул. Соборна, 42",Фастів,0
1028136571,6738092,LEVOIT,Очиститель воздуха LEVOIT Smart Air Purifier Core 200S White (HEAPAPLVSEU0064),5999,1858257,Техника для дома >> Климатическая техника,levoit,Очищувач повітря Levoit Smart Air Purifier Core 200S White (HEAPAPLVSEU0064),,5999,1,https://comfy.ua/catalog/product/view/id/2955533,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1028136660,6789462,ARDESTO,Термокружка ARDESTO Urban 380 мл Black (AR2638TMB),332,1858315,Посуда >> Для напитков >> Термопосуда >> Термопосуда Ardesto,ardesto,Термочашка Ardesto Urban 380 мл (AR2638TMB),,332,1,https://comfy.ua/termokruzhka-ardesto-urban-380-ml-ar2638tmb.html,519,05.11.2025 18:58,,"вул. Соборна, 42",Фастів,0
1028136848,6738094,LEVOIT,Очиститель воздуха LEVOIT Smart Air Purifier Core 400S White (HEAPAPLVSEU0072),11999,1858259,Техника для дома >> Климатическая техника,levoit,Очищувач повітря Levoit Smart Air Purifier Core 400S White (HEAPAPLVSEU0072),,11999,1,https://comfy.ua/catalog/product/view/id/2955663,,05.11.2025 17:46,,"вул. Соборна, 42",Фастів,0
1028455049,6861920,LORI,Транспорт для кукол LORI Внедорожник (LO37055Z),1779,1863347,"Детские товары >> Игрушки >> Куклы и пупсы >> Мебель, одежда и аксессуары для кукол >> Мебель, одежда и аксессуары для кукол LORI",lori,Транспорт для ляльки Lori Позашляховик (LO37055Z),,1999,1,https://comfy.ua/transport-dlja-mini-kukly-lori-pozashljahovik-lo37055z.html,,05.11.2025 23:37,,"вул. Соборна, 42",Фастів,0
1028457722,,,,,1862010,Техника для кухни >> Крупная техника >> Винные шкафы >> Винные шкафы Snaige,snaige,Винна шафа Snaige WD35SM-S3JJSG,,31385,1,https://comfy.ua/vinnyj-shkaf-snaige-wd35sm-s3jjsg.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
1028462264,,,,,1863159,Техника для дома >> Мелкая техника,grunhelm,Вертикальний відпарювач ручний Grunhelm GHS1509,,1139,1,https://comfy.ua/vertikal-nyj-otparivatel-ruchnoj-grunhelm-ghs1509.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1028463416,6776269,GRUNHELM,Духовой шкаф GRUNHELM GDG 252 BG,7315,1863140,Техника для кухни >> Крупная техника >> Духовые шкафы >> Духовые шкафы Grunhelm,grunhelm,Духова шафа електрична Grunhelm GDG 252 BG,,9999,1,https://comfy.ua/duhovoj-shkaf-jelektricheskij-grunhelm-gdg-252-bg.html,,05.11.2025 20:54,,"вул. Соборна, 42",Фастів,0
1028473213,,,,,1863455,"Ноутбуки, планшеты и компьютерная техника >> Мониторы",hp,Монітор ігровий HP Omen 25i (22J05AA),,10062,1,https://comfy.ua/monitor-igrovoj-hp-omen-25i-22j05aa.html,11769,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
