782258451,column,column,column,column,1737111,"Аудио, фото и видео >> Аксессуары для фото, видео",kioxia,__kioxia_microsdxc_64gb_uhsi_class_10_exceria_r100mbs_lmex1l064gg2__sd,column,209,1,httpscomfyuakartapamjatikioxiamicrosdxc64gbuhsiclass10exceriar100mbslmex1l064gg2sdadapterhtml,column,05112025_1827,column,__42,Фастів,0
783008169,6434537,SENCOR,Выпрямитель SENCOR SHI 110BK,399,1738159,Красота и здоровье >> Уход за волосами,sencor,Вирівнювач волосся Sencor SHI110BK,,399,1,https://comfy.ua/catalog/product/view/id/1896053,,05.11.2025 19:11,,"вул. Соборна, 42",Фастів,0
783008183,,,,,1738155,Красота и здоровье >> Уход за волосами,prime-technics,Вирівнювач волосся Prime Technics PHS 261 CB,,459,1,https://comfy.ua/catalog/product/view/id/1896253,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
783021910,,,,,1736916,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion HP 30W 19V 1.58А, 3.5x1.5 (02149/LHP30/19-3.5x1.5)",,350,1,https://comfy.ua/catalog/product/view/id/1895943,389,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
783021913,,,,,1736912,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Asus 45W 19V 2.37A, 4.0x1.35 (00132/LAS45/19-4,0x1.35)",,379,1,https://comfy.ua/catalog/product/view/id/1895643,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
783021914,,,,,1736910,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Asus 36W 12V 3.0A, 3.5x1.35 (0040/LAS36/12-3.5x1.35)",,379,1,https://comfy.ua/catalog/product/view/id/1896473,,05.11.2025 21:32,,"вул. Соборна, 42",Фастів,0
783021915,,,,,1736913,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Asus 45W 19V 2.37A, 3.0x1.35 (00143/LAS45/19-3.0x1.35)",,379,1,https://comfy.ua/catalog/product/view/id/1895733,,05.11.2025 21:16,,"вул. Соборна, 42",Фастів,0
783021920,,,,,1736920,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Samsung 19V 4.74A 90W 5.5х3.0ммх + каб.живл. (LSA90/19-5.5.x3,0/00194)",,389,1,https://comfy.ua/catalog/product/view/id/1896333,,05.11.2025 18:40,,"вул. Соборна, 42",Фастів,0
783021929,,,,,1736919,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,Зарядний пристрій для ноутбука Merlion HP 19V 4.74A 90W 7.4х5.0мм + каб.живл. (LHP90/19-7.4*x5.0/00164),,419,1,https://comfy.ua/catalog/product/view/id/1896403,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
783028387,,,,,1737445,"Ноутбуки, планшеты и компьютерная техника >> Накопители информации",canyon,Хаб USB Canyon CNS-TDS05B,,1199,1,https://comfy.ua/catalog/product/view/id/1896513,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
783044783,,,,,1736915,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion Dell 150W 19.5V 7.7A, 7.4x5.0 (01740/LDL150/19.5-7.4x5.0)",,1639,1,https://comfy.ua/catalog/product/view/id/1895913,,05.11.2025 21:57,,"вул. Соборна, 42",Фастів,0
783059050,6734036,VILGRAND,Фен VILGRAND VHD-2424ТI gold,719,1731314,Красота и здоровье >> Уход за волосами >> Фены >> Фены ViLgrand,vilgrand,Фен ViLgrand VHD-2424ТI Gold,,719,1,https://comfy.ua/fen-vilgrand-vhd-2424ti-gold.html,,05.11.2025 18:48,,"вул. Соборна, 42",Фастів,0
783091332,,,,,1723071,Посуда >> Для запекания и выпечки,tescoma,Набір форм для печива tescoma 631530 Delicia 6 шт.,,299,1,https://comfy.ua/nabor-form-dlja-pechen-ja-tescoma-631530-delicia-6-sht.html,,05.11.2025 19:16,,"вул. Соборна, 42",Фастів,0
783319903,,,,,1736916,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",merlion,"Зарядний пристрій для ноутбука Merlion HP 30W 19V 1.58А, 3.5x1.5 (02149/LHP30/19-3.5x1.5)",,350,1,https://comfy.ua/zarjadnoe-ustrojstvo-dlja-noutbuka-merlion-hp-30w-19v-1-58a-3-5x1-5-02149-lhp30-19-3-5x1-5.html,389,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
