808898181,,,,,.1761825,Детские товары >> Прогулки и поездки,peg-perego,Платформа для автокрісел Peg-Perego Primo Viaggio ISOFIX 0 + 1,,5499,1,https://comfy.ua/platforma-dlja-avtokresel-peg-perego-primo-viaggio-isofix-0-1.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
808898204,6656498,GRUNHELM,Микроволновая печь GRUNHELM 23MX723-B,2789,1633495,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи Grunhelm,grunhelm,Мікрохвильова піч (НВЧ) Grunhelm 23MX723-B,,2789,1,https://comfy.ua/mikrovolnovaja-pech-svch-grunhelm-23mx723-b.html,,05.11.2025 18:03,,"вул. Соборна, 42",Фастів,0
808898211,6439677,NUVITA,Набор ложечек NUVITA Синий и салатовый 7 шт (NV1410Blue),129,1770906,Детские товары >> Кормление >> Детская посуда и принадлежности >> Детская посуда и принадлежности Nuvita,nuvita,Набір дитячих столових приборів для малюка Nuvita 6м + 7 шт. Синій/Салатовий (NV1410Blue),,129,1,https://comfy.ua/nabor-detskih-stolovyh-priborov-dlja-malysha-nuvita-6m-7-sht-sinij-salatovyj-nv1410blue.html,,05.11.2025 21:46,,"вул. Соборна, 42",Фастів,0
808898260,,,,,.1765688,Детские товары >> Детский транспорт,razor,Двоколісний самокат Razor A5 Lux Red/Silver (314392),,5549,1,https://comfy.ua/dvuhkoljosnyj-samokat-razor-a5-lux-red-silver-314392.html,,05.11.2025 20:46,,"вул. Соборна, 42",Фастів,0
808898280,6633285,GRUNHELM,Термопот GRUNHELM GTP352S,1719,1774730,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Grunhelm,grunhelm,Термопот Grunhelm GTP352S,,1719,1,https://comfy.ua/termopot-grunhelm-gtp352s.html,,05.11.2025 17:51,,"вул. Соборна, 42",Фастів,0
808898291,,,,,1766093,Детские товары >> Игрушки для малышей >> Игрушки на коляску и кроватку >> Игрушки на коляску и кроватку BabyOno,babyono,"""Брязкальце BabyOno з пищалки """"Кролик Юлія"""", 9х24 см (621)""",,325,1,https://comfy.ua/pogremushka-babyono-s-pischalkoj-krolik-julija-9h24-sm-621.html,,05.11.2025 20:40,,"вул. Соборна, 42",Фастів,0
809440417,6653900,GRUNHELM,Стиральная машина GRUNHELM GWF-WS753BGH,6599,1775102,Техника для дома >> Крупная техника >> Стиральные машины >> Стиральные машины Grunhelm,grunhelm,Пральна машина Grunhelm GWF-WS753BGH,,6599,1,https://comfy.ua/stiral-naja-mashina-grunhelm-gwf-ws753bgh.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
809443738,,,,,1760443,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Protective for Samsung Galaxy Buds Live Deep Blue (705688),,299,1,https://comfy.ua/chehol-dlja-naushnikov-becover-protective-for-samsung-galaxy-buds-live-deep-blue-705688.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
809443751,,,,,1714345,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Samsung Galaxy Buds Live Purple (705411),,199,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-samsung-galaxy-buds-live-purple-705411.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
809443752,,,,,1714346,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Samsung Galaxy Buds Live Red (705412),,199,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-samsung-galaxy-buds-live-red-705412.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
809443763,,,,,1714347,"Аудио, фото и видео >> Аксессуары для аудио",becover,Чохол для навушників BeCover Silicon for Samsung Galaxy Buds Live White (705413),,199,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-samsung-galaxy-buds-live-white-705413.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
809443765,,,,,1714348,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Samsung Galaxy Buds Live Yellow (705414),,199,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-samsung-galaxy-buds-live-yellow-705414.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
809443768,,,,,1762015,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Sony WF-1000XM3 Light Blue (705691),,179,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-sony-wf-1000xm3-light-blue-705691.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
809443776,,,,,1714344,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Samsung Galaxy Buds Live Pink (705410),,199,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-samsung-galaxy-buds-live-pink-705410.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
809443783,,,,,1714342,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Samsung Galaxy Buds Live Deep Blue (705407),,199,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-samsung-galaxy-buds-live-deep-blue-705407.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
809443785,,,,,1714340,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Samsung Galaxy Buds Live Black (705406),,199,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-samsung-galaxy-buds-live-black-705406.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
809443799,,,,,1714350,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Xiaomi Redmi AirDots/Redmi AirDots 2/Redmi AirDots S Blue (703825),,179,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-xiaomi-redmi-airdots-redmi-airdots-2-redmi-airdots-s-blue-703825.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
809443818,,,,,1714349,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover Silicon for Xiaomi Redmi AirDots/Redmi AirDots 2/Redmi AirDots S Black (703824),,179,1,https://comfy.ua/chehol-dlja-naushnikov-becover-silicon-for-xiaomi-redmi-airdots-redmi-airdots-2-redmi-airdots-s-black-703824.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
809443821,,,,,1720000,"Аудио, фото и видео >> Аксессуары для аудио >> Чехлы для наушников >> Чехлы для наушников BeCover",becover,Чохол для навушників BeCover for Xiaomi Redmi AirDots/Redmi AirDots 2/Redmi AirDots S Gray (703827),,179,1,https://comfy.ua/chehol-dlja-naushnikov-becover-for-xiaomi-redmi-airdots-redmi-airdots-2-redmi-airdots-s-gray-703827.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
809443830,,,,,1720001,"Аудио, фото и видео >> Аксессуары для аудио",becover,Чохол для навушників BeCover for Xiaomi Redmi AirDots/Redmi AirDots 2/Redmi AirDots S Green (703828),,70,1,https://comfy.ua/chehol-dlja-naushnikov-becover-for-xiaomi-redmi-airdots-redmi-airdots-2-redmi-airdots-s-green-703828.html,149,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
