819711167,column,column,column,column,1711039,______________interline,interline,__interline_mix_new_white,column,4899,1,httpscomfyuasmesitelkuhonnyjinterlinemixnewwhitehtml,5899,05112025_2022,column,__42,Фастів,0
819711215,,,,,1783195,Бытовая химия >> Для ванной комнаты,ruta,"Туалетний папір Рута Selecta біла 4шт, 3СЛ",,105,1,https://comfy.ua/tualetnaja-bumaga-ruta-selecta-belaja-4sht-3sl.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
819711220,,,,,1770179,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Сніжна панда,snizhna-panda,"Туалетний папір Сніжна панда Классик 2сл, 8 шт.",,123,1,https://comfy.ua/tualetnaja-bumaga-snizhna-panda-klassik-2sl-8-sht.html,155,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
819711221,6889389,СНІЖНА ПАНДА,Туалетная бумага СНІЖНА ПАНДА Арома 2 шара 8 шт (4823019008333),151,1770188,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Сніжна панда,snizhna-panda,"Туалетний папір Сніжна панда Арома 2сл, 8 шт.",,123,1,https://comfy.ua/tualetnaja-bumaga-snizhna-panda-aroma-2sl-8-sht.html,155,05.11.2025 19:25,,"вул. Соборна, 42",Фастів,0
819711223,,,,,1740017,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Zewa,zewa,Туалетний папір Zewa Deluxe 3-шарова Персик 8 шт. (9011111035721),,215,1,https://comfy.ua/tualetnaja-bumaga-zewa-deluxe-3-slojnaja-persik-8-sht-9011111035721.html,329,05.11.2025 19:07,,"вул. Соборна, 42",Фастів,3
819711225,,,,,1783194,Бытовая химия >> Для ванной комнаты,ruta,"Туалетний папір Рута Pure White біла 8шт, 3СЛ",,215,1,https://comfy.ua/tualetnaja-bumaga-ruta-pure-white-belaja-8sht-3sl.html,,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
819711229,6889365,СНІЖНА ПАНДА,Туалетная бумага Сніжна Панда Extra Care Aroma 4 слоя 8 рулонов (4820183970657),248,1770189,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Сніжна панда,snizhna-panda,"Туалетний папір Сніжна панда EXTRA CARE Aroma 4сл, 8 шт.",,203,1,https://comfy.ua/tualetnaja-bumaga-snizhna-panda-extra-care-aroma-4sl-8-sht.html,253,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,0
819711230,,,,,1750249,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага SELPAK,selpak,"Туалетний папір SELPAK Біла 3 шари, 8шт (8690530204515)",,259,1,https://comfy.ua/tualetnaja-bumaga-selpak-8-rulonov-belaja-8690530204515.html,,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
819711231,,,,,1770186,Бытовая химия >> Для ванной комнаты >> Туалетная бумага >> Туалетная бумага Сніжна панда,snizhna-panda,"Туалетний папір Сніжна панда EXTRA CARE Sensitive 3сл, 16 шт.",,354,1,https://comfy.ua/tualetnaja-bumaga-snizhna-panda-extra-care-sensitive-3sl-16-sht.html,484,05.11.2025 19:23,,"вул. Соборна, 42",Фастів,0
819711260,,,,,1778363,Дом и отдых >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические AFRICA,africa,Рушникосушарка AFRICA Kolibri A1 графіт,,4769,1,https://comfy.ua/polotencesushitel-africa-kolibri-a1-grafit.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
819711262,,,,,1778362,Дом и отдых >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические AFRICA,africa,Рушникосушарка AFRICA Kolibri A1 бежевий,,4769,1,https://comfy.ua/polotencesushitel-africa-kolibri-a1-bezhevyj.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
819711264,,,,,1778367,Дом и отдых >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические AFRICA,africa,Рушникосушарка AFRICA Kolibri Т1 бежевий,,5169,1,https://comfy.ua/polotencesushitel-africa-kolibri-t1-bezhevyj.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
819711265,,,,,1778368,Дом и отдых >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические AFRICA,africa,Рушникосушарка AFRICA Kolibri Т1 графіт,,5169,1,https://comfy.ua/polotencesushitel-africa-kolibri-t1-grafit.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
819711268,,,,,1778366,"Дом, отдых и зоотовары >> Сантехника",africa,Рушникосушарка AFRICA Kolibri A2 графіт,,5369,1,https://comfy.ua/polotencesushitel-africa-kolibri-a2-grafit.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
819711269,,,,,1778365,Дом и отдых >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические AFRICA,africa,Рушникосушарка AFRICA Kolibri A2 бежевий,,5369,1,https://comfy.ua/polotencesushitel-africa-kolibri-a2-bezhevyj.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
819711270,,,,,1778369,Дом и отдых >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические AFRICA,africa,Рушникосушарка AFRICA Kolibri Т2 бежевий,,5769,1,https://comfy.ua/polotencesushitel-africa-kolibri-t2-bezhevyj.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
819711272,,,,,1778370,Дом и отдых >> Сантехника >> Полотенцесушители электрические >> Полотенцесушители электрические AFRICA,africa,Рушникосушарка AFRICA Kolibri Т2 графіт,,5769,1,https://comfy.ua/polotencesushitel-africa-kolibri-t2-grafit.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
