756714461,,,,,.1717896,Посуда >> Для напитков,bodum,Колба для чайника заварювального Bodum Bistro Nouveau 1 л (1865-10),,1340,1,https://comfy.ua/chajnik-zavarochnyj-bodum-bistro-nouveau-1-l-1865-10.html,,05.11.2025 20:17,,"вул. Соборна, 42",Фастів,0
756718744,,,,,.1718936,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Чохол для смартфону BeCover Samsung Galaxy A51 SM-A515 Clear (704644),,179,1,https://comfy.ua/chehol-dlja-smartfona-becover-samsung-galaxy-a51-sm-a515-clear-704644.html,,05.11.2025 18:42,,"вул. Соборна, 42",Фастів,0
756734857,6922634,DURALEX,"Тарелка десертная DURALEX Picardie 20,5 см (3025AF06)",110,1480798,Посуда >> Для сервировки >> Тарелки и салатники >> Тарелки и салатники Duralex,duralex,Тарілка десертна Duralex Paris 20.5 см (3025AF06),,115,1,https://comfy.ua/tarelka-desertnaja-duralex-paris-20-5-sm-3025af06.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
756741693,,,,,.1707112,Телевизоры и мультимедиа >> Аксессуары для ТВ,gembird,"Засіб для чищення екранів Gembird for TFT/LCD, 100 шт. (CK-WW100-01)",,109,1,https://comfy.ua/chistjaschie-salfetki-dlja-jekranov-gembird-for-tft-lcd-100-sht-ck-ww100-01.html,,05.11.2025 17:53,,"вул. Соборна, 42",Фастів,0
756747071,6630930,ECG,весы напольные ECG OV 1821 White,952,1716918,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные ECG,ecg,Ваги підлогові ECG OV 1821 White,,885,1,https://comfy.ua/vesy-napol-nye-ecg-ov-1821-white.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
756747072,6630927,ECG,Весы напольные ECG OV 126,849,1716914,Красота и здоровье >> Уход за телом >> Весы напольные >> Весы напольные ECG,ecg,Ваги підлогові ECG OV 126,,835,1,https://comfy.ua/vesy-napol-nye-ecg-ov-126.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
756819908,6608591,LEGO,Конструктор LEGO Architecture Париж 649 деталей (21044),2399,1693129,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Architecture Париж (21044),,1870,1,https://comfy.ua/kosntruktor-lego-architecture-parizh-21044.html,2399,05.11.2025 20:13,,"вул. Соборна, 42",Фастів,0
756827687,,,,,1702378,Детские товары >> Игрушки,wizarding-world,Сюжетно-рольова гра. Набір-професій Wizarding World Волшебная палочка Гермионы Грейнджер (WW-1057),,1299,1,https://comfy.ua/catalog/product/view/id/1774533,1819,05.11.2025 23:45,,"вул. Соборна, 42",Фастів,0
756831602,,,,,1702388,Детские товары >> Игрушки,wizarding-world,Сюжетно-рольова гра. Набір-професій Wizarding World Игрушка ''Плащ невидимка'' Deluxe (WW-1086),,2599,1,https://comfy.ua/catalog/product/view/id/1774963,3639,06.11.2025 0:27,,"вул. Соборна, 42",Фастів,0
756831604,,,,,1709697,Детские товары >> Игрушки,orange,М'яка іграшка Orange Lucky Maxx: Кежуал (LD062),,999,1,https://comfy.ua/catalog/product/view/id/1774933,,06.11.2025 1:39,,"вул. Соборна, 42",Фастів,0
