1091769757,,,,,1888771,Техника для дома >> Климатическая техника,grunhelm,Конвектор Grunhelm GC-2000A,,999,1,https://comfy.ua/catalog/product/view/id/3269903,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1091803407,6784879,SIEMENS,Встраиваемый холодильник SIEMENS KI87VNS306,29999,1883524,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Siemens,siemens,Холодильник вбудований Siemens KI87VNS306,,29999,1,https://comfy.ua/holodil-nik-vstraivaemyj-siemens-ki87vns306.html,41299,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1091818311,,,,,1900949,Игровые консоли и гейминг >> Комплектующие для игровых ПК,msi,Корпус MSI MPG VELOX 100P AIRFLOW без БЖ,,5499,1,https://comfy.ua/catalog/product/view/id/3291423,,05.11.2025 19:17,,"вул. Соборна, 42",Фастів,0
1091843349,,,,,1907884,Посуда >> Для напитков,noveen,Термопляшка Noveen TB130 Black 500 мл,,499,1,https://comfy.ua/termobutylka-noveen-tb130-black-500-ml.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1091843351,,,,,1907886,Посуда >> Для напитков,noveen,Термопляшка Noveen TB220 Grey 390 мл,,339,1,https://comfy.ua/termobutylka-noveen-tb220-grey-390-ml.html,,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1091843368,,,,,1907877,Посуда >> Для напитков,noveen,Термопляшка Noveen TB2116 Pink 280 мл,,449,1,https://comfy.ua/termobutylka-noveen-tb2116-pink-280-ml.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1091844981,,,,,1907875,Посуда >> Для напитков,noveen,Термопляшка Noveen TB902 Strong Steel Silver 630 мл,,469,1,https://comfy.ua/termobutylka-noveen-tb902-strong-steel-silver-630-ml.html,,05.11.2025 19:26,,"вул. Соборна, 42",Фастів,0
1091844984,,,,,1907882,Посуда >> Для напитков,noveen,Термопляшка Noveen TB2319 Marble 450 мл,,399,1,https://comfy.ua/termobutylka-noveen-tb2319-marble-450-ml.html,,05.11.2025 20:16,,"вул. Соборна, 42",Фастів,0
1091853258,6769800,RESTO,Кастрюля RESTO Libra 2.6 л (92002),749,1879630,Посуда >> Для приготовления >> Кастрюли >> Кастрюли RESTO,resto,Каструля RESTO Libra 2.6 л (92002),,749,1,https://comfy.ua/kastrjulja-resto-libra-2-6-l-92002.html,,05.11.2025 20:47,,"вул. Соборна, 42",Фастів,0
1091853259,6769801,RESTO,Кастрюля RESTO Libra 3.6 л (92003),799,1879631,Посуда >> Для приготовления >> Кастрюли >> Кастрюли RESTO,resto,Каструля RESTO Libra 3.6 л (92003),,799,1,https://comfy.ua/kastrjulja-resto-libra-3-6-l-92003.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1091853261,6804678,RESTO,Кастрюля RESTO Libra 4 л (92004),899,1879632,Посуда >> Для приготовления >> Кастрюли >> Кастрюли RESTO,resto,Каструля RESTO Libra 4.6 л (92004),,899,1,https://comfy.ua/kastrjulja-resto-libra-4-6-l-92004.html,,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1091871920,,,,,1901857,Техника для кухни >> Мелкая техника,electrolux,Насадка для м'ясорубки Electrolux ACCESSORY MG,,3699,1,https://comfy.ua/catalog/product/view/id/3315333,,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1091872429,7152223,LYDSTO,Пылесос LYDSTO Xiaomi (HD-SCXCCQ02),2799,1898231,Техника для дома >> Мелкая техника >> Ручные пылесосы >> Ручные пылесосы Lydsto,lydsto,Автомобільний пилосос Lydsto HD-SCXCCQ02,,2799,1,https://comfy.ua/pylesos-ruchnoj-dlja-avtomobilja-lydsto-hd-scxccq02.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1091872819,,,,,1912999,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура дротова A4tech Fstyler FKS10 White USB,,499,1,https://comfy.ua/catalog/product/view/id/3373533,,05.11.2025 21:54,,"вул. Соборна, 42",Фастів,0
1091872820,,,,,1912997,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура дротова A4tech Fstyler FKS10 Grey USB,,499,1,https://comfy.ua/catalog/product/view/id/3373403,,05.11.2025 22:00,,"вул. Соборна, 42",Фастів,0
1091872822,,,,,1913001,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",a4tech,Клавіатура дротова A4tech Fstyler FKS10 Orange USB,,499,1,https://comfy.ua/catalog/product/view/id/3373203,,05.11.2025 22:07,,"вул. Соборна, 42",Фастів,0
1091874792,,,,,1888833,"Аудио, фото и видео >> Акустика",lorgar,Мікрофон до комп'ютера Lorgar LRG-CMT521,,2619,1,https://comfy.ua/catalog/product/view/id/3255853,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1091880314,,,,,1925170,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Поліцейська дільниця (60316),,2339,1,https://comfy.ua/konstruktor-lego-city-policejskij-uchastok-60316.html,3198,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1091880348,,,,,1925121,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO DUPLO My First Веселе купання: Плаваючий потяг із тваринами (10965),,655,1,https://comfy.ua/konstruktor-lego-duplo-my-first-prikljuchenija-v-vannoj-plavuchij-poezd-dlja-zverej-10965.html,927,06.11.2025 0:01,,"вул. Соборна, 42",Фастів,0
1091880368,,,,,1925160,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO City Поліцейський автомобіль (60312),,367,1,https://comfy.ua/konstruktor-lego-city-policejskaja-mashina-60312.html,459,05.11.2025 20:10,,"вул. Соборна, 42",Фастів,0
1091880473,,,,,1925124,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Creator 3 v 1 Величний тигр (31129),,1720,1,https://comfy.ua/konstruktor-lego-creator-velichestvennyj-tigr-31129.html,2399,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1091880500,,,,,1925130,Детские товары >> Игрушки >> LEGO >> LEGO LEGO,lego,Конструктор LEGO Minecraft Нора лисиці (21178),,693,1,https://comfy.ua/konstruktor-lego-minecraft-lis-ja-hizhina-21178.html,948,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1091885039,,,,,1924582,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник XOKO microUSB-Lightning Black (XK-AC030-BK),,69,1,https://comfy.ua/perehodnik-xoko-microusb-lightning-black-xk-ac030-bk.html,,05.11.2025 21:12,,"вул. Соборна, 42",Фастів,0
1091885040,,,,,1924576,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник XOKO microUSB-Lightning Black (XK-AC005-BK),,64,1,https://comfy.ua/perehodnik-xoko-microusb-lightning-black-xk-ac005-bk.html,69,05.11.2025 20:42,,"вул. Соборна, 42",Фастів,0
1091885075,,,,,1884290,Техника для дома >> Климатическая техника,midea,Кондиціонер спліт Midea MSAG-09HRFN8-I/MSAG-09HRFN8-O XTreme II,,21699,1,https://comfy.ua/catalog/product/view/id/3281613,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1091901959,,,,,1932216,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,Коммутатор локальної мережі (Switch) Netgear GS205 5xGE,,919,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs205-5xge.html,,05.11.2025 18:13,,"вул. Соборна, 42",Фастів,0
1091902256,,,,,1932218,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,"Коммутатор локальної мережі (Switch) Netgear GS305EPP 4xGE PoE+ (120W), 1xGE",,5949,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs305epp-4xge-poe-120w-1xge.html,,05.11.2025 18:04,,"вул. Соборна, 42",Фастів,0
1091902879,,,,,1881034,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",mikrotik,Коммутатор локальної мережі (Switch) MikroTik CCR2004-16G-2S+,,18315,1,https://comfy.ua/catalog/product/view/id/3256223,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1091902883,7135899,MIDEA,Кондиционер MIDEA MSAG-09HRFN8-I/MSAG-09HRFN8-O XTreme II,21699,1884290,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры Midea,midea,Кондиціонер спліт Midea MSAG-09HRFN8-I/MSAG-09HRFN8-O XTreme II,,21699,1,https://comfy.ua/kondicioner-split-midea-msag-09hrfn8-i-msag-09hrfn8-o-xtreme-ii.html,,05.11.2025 18:28,,"вул. Соборна, 42",Фастів,0
1091903132,6813965,EUROPOWER,ИБП EUROPOWER RTSWm-MPPT-3000LCD,26180,1929575,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита >> Источники бесперебойного питания >> Источники бесперебойного питания Europower",europower,Джерело безперебійного живлення Europower RTSWm-MPPT-3000LCD,,26910,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-europower-rtswm-mppt-3000lcd.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1091903198,,,,,.1771772,Техника для дома >> Умный дом,prolink,Контролер для управління приладами ProLink FWP23,,389,1,https://comfy.ua/kontroller-dlja-upravlenija-priborami-prolink-fwp23.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1091906688,6813507,ADE,Кухонная машина ADE KA 2100-2 Black,9496,1904335,Техника для кухни >> Мелкая техника,ade,Планетарний міксер ADE KA 2100-2 Black,,12659,1,https://comfy.ua/planetarnyj-mikser-ade-ka-2100-2-black.html,,05.11.2025 19:51,,"вул. Соборна, 42",Фастів,0
1091906776,,,,,1924605,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",matrix,Акумулятор для ДБЖ Matrix NP200-12,,14699,1,https://comfy.ua/akkumuljator-dlja-ibp-matrix-np200-12.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1091906819,,,,,.1922039,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",matrix,Акумулятор для ДБЖ Matrix 12V 17AH (NP17-12),,1469,1,https://comfy.ua/akkumuljator-dlja-ibp-matrix-12v-17ah-np17-12.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1091914384,,,,,1901821,Техника для дома >> Аксессуары к крупной технике,candy,Комплект кріплень для установки в колону Candy WSK1102/2 SLM FM STCK KIT,,2149,1,https://comfy.ua/catalog/product/view/id/3330633,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1091914435,,,,,.1919795,Игровые консоли и гейминг >> Комплектующие для игровых ПК,asus,Материнська плата Asus ROG STRIX B550-A GAMING,,7099,1,https://comfy.ua/materinskaja-plata-asus-rog-strix-b550-a-gaming.html,,05.11.2025 19:15,,"вул. Соборна, 42",Фастів,0
1091915178,,,,,1907058,Техника для дома >> Климатическая техника,deerma,Зволожувач повітря Deerma DEM-F628W,,799,1,https://comfy.ua/catalog/product/view/id/3314263,1199,05.11.2025 17:38,,"вул. Соборна, 42",Фастів,0
1091915183,6798988,LEVOIT,Увлажнитель воздуха Levoit Smart Humidifier Dual 200S,3499,1892757,Техника для дома >> Климатическая техника,levoit,Зволожувач повітря Levoit Smart Humidifier Dual 200S (HEAPHULVSEU0035),,3499,1,https://comfy.ua/catalog/product/view/id/3260453,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
1091923713,6785755,HP,МФУ лазерное HP LaserJet Pro M141a (7MD73A),7999,1925115,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ HP",hp,БФП ч/б друку HP LaserJet M141a (7MD73A),,7999,1,https://comfy.ua/mfu-ch-b-pechati-hp-laserjet-m141a-7md73a.html,8899,05.11.2025 17:19,,"вул. Соборна, 42",Фастів,0
1091923718,6756764,HP,МФУ лазерное HP Color LaserJet Enterprise M480f (3QA55A),45575,1926144,"Ноутбуки, планшеты и компьютерная техника >> МФУ, принтеры и сканеры >> Принтеры и МФУ >> Принтеры и МФУ HP",hp,БФП кольорового друку HP Color LaserJet Enterprise M480f (3QA55A),,45575,1,https://comfy.ua/mfu-cvetnoj-pechati-hp-color-laserjet-enterprise-m480f-3qa55a.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1091931611,,,,,1890989,"Дом, отдых и зоотовары >> Сантехника >> Мойки кухонные >> Мойки кухонные Interline",interline,Мийка кухонна Interline Under 600 Terra,,5699,1,https://comfy.ua/mojka-kuhonnaja-interline-under-600-terra.html,6999,05.11.2025 20:21,,"вул. Соборна, 42",Фастів,0
1091949653,,,,,1878779,"Красота и здоровье >> Уход за полостью рта >> Зубные пасты, гели и ополаскиватели >> Зубные пасты, гели и ополаскиватели Lacalut",lacalut,Зубна паста Lacalut anti-caries 75 мл (4016369694534),,145,1,https://comfy.ua/zubnaja-pasta-lacalut-anti-caries-75-ml-4016369694534.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1091949655,6499645,LACALUT,Зубная паста Lacalut Flora 75 мл (4016369691588),136,1838363,Красота и здоровье >> Уход за полостью рта,lacalut,Зубна паста Lacalut flora 75 мл (4016369691588),,149,1,https://comfy.ua/zubnaja-pasta-lacalut-flora-75-ml-4016369691588.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1091949656,6499638,LACALUT,Зубная паста Lacalut Multi-effect 75 мл (4016369697313),130,1838359,Красота и здоровье >> Уход за полостью рта,lacalut,Зубна паста Lacalut Multi-effect 75 мл (4016369697313),,155,1,https://comfy.ua/zubnaja-pasta-lacalut-multi-effect-75-ml-4016369697313.html,,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
1091949669,6766294,LACALUT,Зубная паста LACALUT Sensitive Защита чувствительных зубов 75 мл (4016369696484),179,1838360,"Красота и здоровье >> Уход за полостью рта >> Зубные пасты, гели и ополаскиватели >> Зубные пасты, гели и ополаскиватели Lacalut",lacalut,Зубна паста Lacalut Sensitive Захист чутливих зубів і Дбайливе отб. 75 мл (4016369696484),,225,1,https://comfy.ua/zubnaja-pasta-lacalut-sensitive-zaschita-chuvstvitel-nyh-zubov-i-berezhnoe-otb-75-ml-4016369696484.html,,05.11.2025 18:53,,"вул. Соборна, 42",Фастів,0
1091949790,6499642,LACALUT,Зубная паста LACALUT sensitive 75 мл (4016369696323),137,1838362,Красота и здоровье >> Уход за полостью рта,lacalut,Зубна паста Lacalut sensitive 75 мл (4016369696323),,155,1,https://comfy.ua/zubnaja-pasta-lacalut-sensitive-75-ml-4016369696323.html,,05.11.2025 18:51,,"вул. Соборна, 42",Фастів,0
