1656435279,6967085,HP,Ноутбук HP ZBook Power G10 Grey (7C3M7AV_V2),129255,2866387,"Ноутбуки, планшеты и компьютерная техника >> Ноутбуки",hp,Ноутбук HP ZBook Power G10 (7C3M7AV_V2) Silver,,114197,1,https://comfy.ua/noutbuk-hp-zbook-power-g10-7c3m7av-v2-silver.html,129255,05.11.2025 18:22,,"вул. Соборна, 42",Фастів,0
1656442362,7045333,STRATEG,Настольная игра STRATEG Kid's Tower (30863),499,1873462,Детские товары >> Игрушки >> Настольные игры и головоломки >> Настольные игры и головоломки Strateg,strateg,Настільна гра (3-4 роки) Strateg Kid's Tower (укр) (30863),,439,1,https://comfy.ua/nastol-naja-igra-strategicheskaja-5-7-let-strateg-kid-s-tower-ukr-30863.html,,06.11.2025 0:13,,"вул. Соборна, 42",Фастів,0
1656442365,,,,,2866700,Бытовая химия >> Средства для стирки,persil,Капсули для прання Persil Диски Колор 13 шт,,229,1,https://comfy.ua/kapsuly-dlja-stirki-persil-diski-kolor-13-sht.html,413,05.11.2025 19:08,,"вул. Соборна, 42",Фастів,1
1656449502,,,,,2595880,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Gardena,gardena,Набір садових інструментів Gardena Classic Ergo (08965-30.000.00),,1739,1,https://comfy.ua/nabor-sadovyh-instrumentov-gardena-classic-ergo-08965-30-000-00.html,,05.11.2025 21:03,,"вул. Соборна, 42",Фастів,0
1656451023,,,,,.2864444,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",gelius,"Кабель синхронизации данных Gelius Twister 4в1 USB-A/Type-C to Type-C/Lightning 60W 1,2m Gray (GP-UCN004)",,599,1,https://comfy.ua/kabel-sinhronizacii-dannyh-gelius-twister-4v1-usb-a-type-c-to-type-c-lightning-60w-1-2m-gray-gp-ucn004.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1656457719,6926570,BOSCH,Котел газовый BOSCH Condens 5300i GC5300i WM 24/100S (7738101021),168000,2235339,Техника для дома >> Климатическая техника >> Газовые котлы >> Газовые котлы Bosch,bosch,Газовий котел Bosch Condens 5300i GC5300i WM 24/100S (7738101021),,167999,1,https://comfy.ua/gazovyj-kotel-bosch-condens-5300i-gc5300i-wm-24-100s-7738101021.html,,05.11.2025 18:21,,"вул. Соборна, 42",Фастів,0
1656457817,,,,,2862918,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for MOTO E13 (1283126573620),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-moto-e13-1283126573620.html,,05.11.2025 18:19,,"вул. Соборна, 42",Фастів,0
1656457818,,,,,.2862922,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Apple iPhone 15 Pro (1283126575389),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-apple-iphone-15-pro-1283126575389.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1656457819,,,,,.2862914,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung S23 Plus (1283126559686),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-s23-plus-1283126559686.html,,05.11.2025 17:50,,"вул. Соборна, 42",Фастів,0
1656457822,,,,,.2862920,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Apple iPhone 15 (1283126575228),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-apple-iphone-15-1283126575228.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1656457824,,,,,.2862915,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Oppo A58 (1283126565144),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-oppo-a58-1283126565144.html,,05.11.2025 20:30,,"вул. Соборна, 42",Фастів,0
1656457827,,,,,.2862919,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung A24 (1283126573682),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-a24-1283126573682.html,,05.11.2025 17:44,,"вул. Соборна, 42",Фастів,0
1656457829,,,,,2862927,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Samsung A05S (1283126581908),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-samsung-a05s-1283126581908.html,,05.11.2025 17:47,,"вул. Соборна, 42",Фастів,0
1656457831,,,,,.2862928,Смартфоны и телефоны >> Аксессуары для смартфонов,acclab,Захисне скло для смартфону ACCLAB Full Glue for Moto G72 (1283126583025),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-acclab-full-glue-for-moto-g72-1283126583025.html,,05.11.2025 19:43,,"вул. Соборна, 42",Фастів,0
1656458092,,,,,2871159,Смартфоны и телефоны >> Аксессуары для смартфонов,globex,Батарея мобільна Globex JumpME 15000,,4989,1,https://comfy.ua/batareja-mobil-naja-globex-jumpme-15000.html,,05.11.2025 17:24,,"вул. Соборна, 42",Фастів,0
1656458708,,,,,.2822151,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart Matte for Poco M6 Pro 4G (ARM74164),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-matte-for-poco-m6-pro-4g-arm74164.html,,05.11.2025 19:42,,"вул. Соборна, 42",Фастів,0
1656458709,,,,,.2822150,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисна плівка для смартфону Armorstandart for Poco M6 Pro 4G (ARM74163),,209,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-armorstandart-for-poco-m6-pro-4g-arm74163.html,,05.11.2025 19:57,,"вул. Соборна, 42",Фастів,0
1656458946,,,,,.2719978,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Motorola Moto G100 Black (706895),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-motorola-moto-g100-black-706895.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1656458977,,,,,2863107,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Pokemon,pokemon,Набір ігрових фігурок Pokemon W14 - АЛОЛА ВУЛЬПІКС У ПОКЕБОЛІ (PKW3135),,199,1,https://comfy.ua/nabor-igrovyh-figurok-pokemon-w14-alola-vul-piks-v-pokebole-pkw3135.html,329,06.11.2025 0:00,,"вул. Соборна, 42",Фастів,0
1656458978,,,,,2863105,Детские товары >> Игрушки >> Игровые и коллекционные фигурки >> Игровые и коллекционные фигурки Pokemon,pokemon,Набір ігрових фігурок Pokemon W14 - ФРОКІ В ПОКЕБОЛІ (PKW3133),,199,1,https://comfy.ua/nabor-igrovyh-figurok-pokemon-w14-froki-v-pokebole-pkw3133.html,329,06.11.2025 0:00,,"вул. Соборна, 42",Фастів,0
