819832821,6698964,fsp,_fsp_ifp1500_ppf9003105,8126,1791849,________________fsp,fsp,___fsp_ifp1500_ppf9003105,column,7350,1,httpscomfyuaistochnikbesperebojnogopitanijafspifp1500ppf9003105html,column,05112025_1743,column,__42,Фастів,0
819881868,6733409,KARCHER,Пылесос KARCHER T 11/1 Classic Hepa (1.527-199.0),6299,1790343,Техника для дома >> Мелкая техника >> Пылесосы >> Пылесосы Karcher,karcher,Пилосос для сухого прибирання з мішком Karcher T 11/1 Hepa (1.527-199.0),,6299,1,https://comfy.ua/pylesos-dlja-suhoj-uborki-s-meshkom-karcher-t-11-1-hepa-1-527-199-0.html,,05.11.2025 18:44,,"вул. Соборна, 42",Фастів,0
819881898,6228447,KARCHER,Сменный пистолет KARCHER Good (2.641-959.0),1149,1791118,Техника для дома >> Аксессуары к мелкой технике >> Аксессуары для минимойки >> Аксессуары для минимойки Karcher,karcher,Насадка-пістолет для мінімийки Karcher Good 16MPa/60AC (2.641-959.0),,1149,1,https://comfy.ua/nasadka-pistolet-dlja-minimojki-karcher-good-16mpa-60ac-2-641-959-0.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
819883933,,,,,1790100,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",netgear,Коммутатор локальної мережі (Switch) Netgear GS105GE,,1305,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs105ge.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
819883934,,,,,1790106,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,Коммутатор локальної мережі (Switch) Netgear GS305E-100PES,,1729,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs305e-100pes.html,,05.11.2025 18:05,,"вул. Соборна, 42",Фастів,0
819883935,,,,,1790099,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование >> Коммутатор локальной сети >> Коммутатор локальной сети Netgear",netgear,Коммутатор локальної мережі (Switch) Netgear GS105E-200PES,,2109,1,https://comfy.ua/kommutator-lokal-noj-seti-switch-netgear-gs105e-200pes.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
819885143,,,,,1746154,Техника для кухни >> Крупная техника,ecg,Мікрохвильова піч (НВЧ) ECG MTD 2071 SE,,4799,1,https://comfy.ua/catalog/product/view/id/2293253,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
819928258,,,,,.1790097,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",netgear,USB-адаптер мережі WiFi Netgear A6100-100PES,,1599,1,https://comfy.ua/usb-adapter-seti-wifi-netgear-a6100-100pes.html,,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
819929125,,,,,.1773676,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF25VGKB\MUZ-EF25VG,,53309,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef25vgkb-muz-ef25vg.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
819929126,,,,,.1773678,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF25VGKS\MUZ-EF25VG,,55335,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef25vgks-muz-ef25vg.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
819929127,,,,,.1773671,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF25VGKW\MUZ-EF25VG,,53309,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef25vgkw-muz-ef25vg.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
819929128,,,,,.1773677,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF35VGKB\MUZ-EF35VG,,65839,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef35vgkb-muz-ef35vg.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
819929129,,,,,.1773679,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF42VGKS\MUZ-EF42VG,,80435,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef42vgks-muz-ef42vg.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
819929130,,,,,.1773674,Техника для дома >> Климатическая техника,mitsubishi-electric,Кондиціонер спліт Mitsubishi Electric MSZ-EF50VGKW\MUZ-EF50VG,,88575,1,https://comfy.ua/kondicioner-split-mitsubishi-electric-msz-ef50vgkw-muz-ef50vg.html,,05.11.2025 18:39,,"вул. Соборна, 42",Фастів,0
819929392,6656501,GRUNHELM,Вытяжка GRUNHELM GVN 220 W,4804,1788904,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Grunhelm,grunhelm,Витяжка декоративна Grunhelm GVN 220 W,,5999,1,https://comfy.ua/vytjazhka-dekorativnaja-grunhelm-gvn-220-w.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
819938497,,,,,1791913,"Аудио, фото и видео >> Наушники",cougar,Гарнітура дротова ігрова Cougar HX330,,1729,1,https://comfy.ua/catalog/product/view/id/2290993,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
819977292,,,,,1790042,Телевизоры и мультимедиа >> Телевизоры,liberton,Телевізор Liberton 42AS2FHDTA1,,9449,1,https://comfy.ua/televizor-liberton-42as2fhdta1.html,10499,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
819977305,6603442,TRUST,Гарнитура TRUST Nika Touch Bluetooth Eearphone White (23705),705,1792864,"Аудио, фото и видео >> Наушники >> Наушники Trust",trust,Навушники вкладиші бездротові TWS Trust Nika Touch True Wireless White (23705),,705,1,https://comfy.ua/naushniki-vkladyshi-besprovodnye-tws-trust-nika-touch-true-wireless-white-23705.html,,05.11.2025 19:27,,"вул. Соборна, 42",Фастів,0
819977334,6819658,BOSCH,Электрочайник BOSCH TWK3P421,2869,1790079,Техника для кухни >> Мелкая техника >> Чайники электрические >> Чайники электрические Bosch,bosch,Електричний чайник Bosch TWK3P421,,2869,1,https://comfy.ua/jelektricheskij-chajnik-bosch-twk3p421.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
819977358,6678395,ECG,Микроволновая печь ECG MTD 2071 SE,4799,1746154,Техника для кухни >> Крупная техника >> Микроволновые печи >> Микроволновые печи ECG,ecg,Мікрохвильова піч (НВЧ) ECG MTD 2071 SE,,4799,1,https://comfy.ua/mikrovolnovaja-pech-svch-ecg-mtd-2071-se.html,,05.11.2025 20:59,,"вул. Соборна, 42",Фастів,0
819986839,,,,,1788292,Игровые консоли и гейминг >> Аксессуары к игровым ПК и ноутбукам,playstation,Геймпад PlayStation DualSense Cosmic Red,,3599,1,https://comfy.ua/catalog/product/view/id/2296913,,05.11.2025 18:25,,"вул. Соборна, 42",Фастів,0
