1043518321,6792785,vimar,_vimar_vbm736_red,4099,1872073,__________vimar,vimar,_vimar_vbm736_red,column,4099,1,httpscomfyuahlebopechvimarvbm736redhtml,column,05112025_1938,column,__42,Фастів,0
1043518321,6792785,VIMAR,Хлебопечка VIMAR VBM-736 Red,4099,1872073,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Vimar,vimar,Хлібопічка Vimar VBM-736 Red,,4099,1,https://comfy.ua/hlebopech-vimar-vbm-736-red.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1043518322,6792784,VIMAR,Хлебопечка VIMAR VBM-729 Mint,3899,1872072,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Vimar,vimar,Хлібопічка Vimar VBM-729 Mint,,3899,1,https://comfy.ua/hlebopech-vimar-vbm-729-mint.html,,05.11.2025 19:37,,"вул. Соборна, 42",Фастів,0
1043518323,6738275,PANASONIC,Хлебопечка PANASONIC SD-B2510WTS,6665,1860997,Техника для кухни >> Мелкая техника >> Хлебопечи >> Хлебопечи Panasonic,panasonic,Хлібопічка Panasonic SD-B2510WTS,,6665,1,https://comfy.ua/hlebopech-panasonic-sd-b2510wts.html,,05.11.2025 17:40,,"вул. Соборна, 42",Фастів,0
1043531729,,,,,1866219,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,Чохол для прасувальної дошки Eurogold C34F3 Diagon eclipse 1020 Бавовна 110х30 см,,169,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-eurogold-c34f3-diagon-eclipse-1020-hlopok-110h30-sm.html,199,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1043531730,,,,,1866221,"Дом, отдых и зоотовары >> Хранение и уход за одеждой",eurogold,Чохол для прасувальної дошки Eurogold DC34M5 Gear blue 231 Бавовна 110х30 см,,239,1,https://comfy.ua/chehol-dlja-gladil-noj-doski-eurogold-dc34m5-gear-blue-231-hlopok-110h30-sm.html,,05.11.2025 19:47,,"вул. Соборна, 42",Фастів,0
1043533215,,,,,1869851,Техника для кухни >> Мелкая техника,tefal,Кришка-аерогриль до мультиварки Tefal EY150830,,3499,1,https://comfy.ua/kryshka-ajerogril-k-mul-tivarke-tefal-ey150830.html,4699,05.11.2025 17:23,,"вул. Соборна, 42",Фастів,0
1043543436,,,,,1846640,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Сотейник de Buyer 28 см 8748.28,,6719,1,https://comfy.ua/sotejnik-de-buyer-28-sm-8748-28.html,,05.11.2025 20:24,,"вул. Соборна, 42",Фастів,0
1043543437,6742391,PEPPER,Ковш PEPPER Black Ice 1.4л Black (PR-6005),962,1855491,Посуда >> Для приготовления,pepper,"Ківш Pepper Black Ice Greblon C2 1,4л. 16x8 см (PR-6005)",,1469,1,https://comfy.ua/sotejnik-pepper-black-ice-greblon-c2-1-4l-16x8-sm-pr-6005.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1043649260,,,,,1701820,Comfy KIDS >> Игрушки >> Машинки и техника >> Машинки и техника BRUDER,bruder,Наземна спецтехніка BRUDER Сміттєвоз Mack Granite (02812),,4339,1,https://comfy.ua/nazemnaja-spectehnika-bruder-musorovoz-mack-granite-02812.html,,06.11.2025 0:38,,"вул. Соборна, 42",Фастів,0
1043701922,,,,,.1855496,Посуда >> Для напитков,versailles,Набір склянок Versailles Палітра Мрій 280 мл 3 шт. (VS-4280),,335,1,https://comfy.ua/nabor-stakanov-versailles-palitra-mechty-280-ml-3-sht-vs-4280.html,,05.11.2025 20:25,,"вул. Соборна, 42",Фастів,0
1043737413,7088198,DE BUYER,Сотейник DE BUYER Prima Matera 16 см Copper (6230.16),18625,1846642,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Сотейник de Buyer 16 см 6230.16,,18625,1,https://comfy.ua/sotejnik-de-buyer-16-sm-6230-16.html,,05.11.2025 20:48,,"вул. Соборна, 42",Фастів,0
1043737414,7088195,DE BUYER,"Ковш DE BUYER Prima Matera 2,5 л Copper (6206.18)",26222,1846643,Посуда >> Для приготовления >> Ковши и сотейники >> Ковши и сотейники de Buyer,de-buyer,Сотейник de Buyer 18 см 6206.18,,26222,1,https://comfy.ua/sotejnik-de-buyer-18-sm-6206-18.html,,05.11.2025 20:09,,"вул. Соборна, 42",Фастів,0
1043749862,,,,,.1872185,Смартфоны и телефоны >> Аксессуары для смартфонов,colorway,Підставка для мобільного пристрою Colorway CW-SH013-WT,,349,1,https://comfy.ua/derzhatel-dlja-mobil-nogo-ustrojstva-colorway-cw-sh013-wt.html,,05.11.2025 19:36,,"вул. Соборна, 42",Фастів,0
1043750315,,,,,1869125,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Мережевий зарядний пристрій Armorstandart ARM59714,,219,1,https://comfy.ua/catalog/product/view/id/3092193,,05.11.2025 17:33,,"вул. Соборна, 42",Фастів,0
1043750684,,,,,1869133,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",armorstandart,"Кабель синхронізації даних Armorstandart AR16 USB - Type-C, 3А, 1 m White (ARM59533)",,149,1,https://comfy.ua/catalog/product/view/id/3092123,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1043767264,,,,,1866035,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",arkade,Перехідник Arkade USB-C 1 м (850002584127),,125,1,https://comfy.ua/perehodnik-arkade-usb-c-1-m-850002584127.html,175,05.11.2025 21:51,,"вул. Соборна, 42",Фастів,0
1043775987,,,,,.1859873,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PH2х70 мм 10 шт. (2712705),,319,1,https://comfy.ua/nabor-bit-dlja-otvertki-haisser-ph2h70-mm-10-sht-2712705.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
1043775988,,,,,1859876,Инструменты и автотовары >> Расходные материалы,haisser,Біта для викрутки Haisser PZ2х50 мм 10 шт. (2712709),,199,1,https://comfy.ua/nabor-bit-dlja-otvertki-haisser-pz2h50-mm-10-sht-2712709.html,,05.11.2025 22:24,,"вул. Соборна, 42",Фастів,0
1043776685,6781143,ASUS,Проектор ASUS A1 (90LJ00G0-B00270),52999,1869592,Телевизоры и мультимедиа >> Проекторы и экраны >> Проекторы >> Проекторы Asus,asus,Проектор Asus A1 (90LJ00G0-B00270) Black,,52999,1,https://comfy.ua/proektor-asus-a1-90lj00g0-b00270-black.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
1043803393,6297992,STANLEY,Бур SDS-Plus STANLEY 8 х 150 х 210 мм (STA54057),83,1869160,Инструменты и автотовары >> Расходные материалы >> Сверла и буры >> Сверла и буры Stanley,stanley,Бур Stanley STA54057,,98,1,https://comfy.ua/bur-stanley-sta54057.html,,05.11.2025 21:41,,"вул. Соборна, 42",Фастів,0
1043824325,,,,,.1872576,Смартфоны и телефоны >> Аксессуары для смартфонов,intaleo,Захисне скло для смартфону Intaleo Full Glue Apple iPhone 11 Black (1283126496301),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-intaleo-full-glue-apple-iphone-11-black-1283126496301.html,,05.11.2025 18:14,,"вул. Соборна, 42",Фастів,0
1043824492,,,,,.1871044,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart for Apple iPhone 12/12 Pro Black (ARM59216),,539,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-for-apple-iphone-12-12-pro-black-arm59216.html,,05.11.2025 17:39,,"вул. Соборна, 42",Фастів,0
1043824495,,,,,.1871051,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart for Apple iPhone 11 Pro/XS Black (ARM59214),,539,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-for-apple-iphone-11-pro-xs-black-arm59214.html,,05.11.2025 17:59,,"вул. Соборна, 42",Фастів,0
1043824501,,,,,.1871049,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Supreme Icon 3D for Apple iPhone 11/XR Black (ARM59211),,799,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-supreme-icon-3d-for-apple-iphone-11-xr-black-arm59211.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
