1646337566,6934524,DEANTE,Ершик для унитаза DEANTE Round (ADR_0712),2449,2731038,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Deante,deante,Йоржик Deante Round (ADR_0712),,2449,1,https://comfy.ua/ershik-deante-round-adr-0712.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1646337641,6934527,DEANTE,Ершик для унитаза DEANTE Round (ADR_N711),1955,2731041,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Deante,deante,Йоржик Deante Round (ADR_N711),,1955,1,https://comfy.ua/ershik-deante-round-adr-n711.html,,05.11.2025 19:22,,"вул. Соборна, 42",Фастів,0
1646337659,6934525,DEANTE,Ершик для унитаза DEANTE Round (ADR_N712),3099,2731042,Бытовая химия >> Для ванной комнаты >> Ершики >> Ершики Deante,deante,Йоржик Deante Round (ADR_N712),,3099,1,https://comfy.ua/ershik-deante-round-adr-n712.html,,05.11.2025 19:19,,"вул. Соборна, 42",Фастів,0
1646347188,6940505,RONIX,Паяльник RONIX RH-4416,194,2571207,Инструменты и автотовары >> Электроинструменты >> Паяльники >> Паяльники Ronix,ronix,Паяльник Ronix RH-4416,,229,1,https://comfy.ua/pajal-nik-ronix-rh-4416.html,,05.11.2025 21:19,,"вул. Соборна, 42",Фастів,0
1646348443,6894992,RYOBI,Насос дренажный RYOBI RY18SPA-0 ONE+ без АКБ и ЗУ (5133005778),6099,2542545,Инструменты и автотовары >> Полив >> Насосы >> Насосы Ryobi,ryobi,Занурювальний насос Ryobi RY18SPA-0 ONE+ 18В (без АКБ и ЗП),,6099,1,https://comfy.ua/pogruzhnoj-nasos-ryobi-ry18spa-0-one-18v-bez-akb-i-zu.html,7599,05.11.2025 20:45,,"вул. Соборна, 42",Фастів,0
1646354608,6937071,BEURER,Массажер BEURER MG 79,3477,2754856,Красота и здоровье >> Здоровье >> Массажеры >> Массажеры Beurer,beurer,Масажер для тіла Beurer MG 79,,3479,1,https://comfy.ua/massazher-dlja-tela-beurer-mg-79.html,,05.11.2025 18:45,,"вул. Соборна, 42",Фастів,0
1646358975,6934505,DEANTE,Раковина DEANTE Silia (CQS_SU4S),5259,2731057,"Дом, отдых и зоотовары >> Сантехника >> Раковины и умывальники >> Раковины и умывальники Deante",deante,Раковина для ванної Deante Silia (CQS_SU4S),,5259,1,https://comfy.ua/rakovina-dlja-vannoj-deante-silia-cqs-su4s.html,,05.11.2025 20:01,,"вул. Соборна, 42",Фастів,0
1646358983,6934504,DEANTE,Раковина DEANTE Silia (CQS_TU4S),6310,2731059,"Дом, отдых и зоотовары >> Сантехника",deante,Раковина для ванної Deante Silia (CQS_TU4S),,5259,1,https://comfy.ua/rakovina-dlja-vannoj-deante-silia-cqs-tu4s.html,,05.11.2025 19:59,,"вул. Соборна, 42",Фастів,0
1646359007,6934485,DEANTE,Смеситель DEANTE Aster (BCA_A73M),5799,2731046,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Aster (BCA_A73M),,5799,1,https://comfy.ua/smesitel-kuhonnyj-deante-aster-bca-a73m.html,,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1646359009,6934484,DEANTE,Смеситель DEANTE Aster (BCA_N73M),4799,2731047,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Aster (BCA_N73M),,4463,1,https://comfy.ua/smesitel-kuhonnyj-deante-aster-bca-n73m.html,6132,05.11.2025 20:05,,"вул. Соборна, 42",Фастів,0
1646359022,6934486,DEANTE,Смеситель DEANTE Lukrecja (BDH_N72M),5399,2731048,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Lukrecja (BDH_N72M),,5399,1,https://comfy.ua/smesitel-kuhonnyj-deante-lukrecja-bdh-n72m.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
1646359025,6934489,DEANTE,Смеситель DEANTE Silia (BQS_D73M),7895,2761119,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Silia (BQS_D73M),,7895,1,https://comfy.ua/smesitel-kuhonnyj-deante-silia-bqs-d73m.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1646359031,6934488,DEANTE,Смеситель DEANTE Silia (BQS_F73M),7999,2761120,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Silia (BQS_F73M),,7999,1,https://comfy.ua/smesitel-kuhonnyj-deante-silia-bqs-f73m.html,,05.11.2025 20:04,,"вул. Соборна, 42",Фастів,0
1646359039,6934487,DEANTE,Смеситель DEANTE Silia (BQS_R73M),7895,2761121,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Silia (BQS_R73M),,7895,1,https://comfy.ua/smesitel-kuhonnyj-deante-silia-bqs-r73m.html,,05.11.2025 20:03,,"вул. Соборна, 42",Фастів,0
1646359059,6934493,DEANTE,Смеситель DEANTE Tamizo (BQT_063M),7080,2734694,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Tamizo (BQT_063M),,7959,1,https://comfy.ua/smesitel-kuhonnyj-deante-tamizo-bqt-063m.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1646359062,6934492,DEANTE,Смеситель DEANTE Tamizo (BQT_D63M),7589,2731050,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Tamizo (BQT_D63M),,7589,1,https://comfy.ua/smesitel-kuhonnyj-deante-tamizo-bqt-d63m.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
1646359066,6934491,DEANTE,Смеситель DEANTE Tamizo (BQT_M63M),7795,2731051,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Tamizo (BQT_M63M),,7795,1,https://comfy.ua/smesitel-kuhonnyj-deante-tamizo-bqt-m63m.html,,05.11.2025 20:02,,"вул. Соборна, 42",Фастів,0
1646359069,6934494,DEANTE,Смеситель DEANTE Tamizo (BQT_N63M),6789,2731052,"Дом, отдых и зоотовары >> Сантехника >> Смесители для кухни >> Смесители для кухни Deante",deante,Кухонний змішувач Deante Tamizo (BQT_N63M),,6789,1,https://comfy.ua/smesitel-kuhonnyj-deante-tamizo-bqt-n63m.html,,05.11.2025 20:11,,"вул. Соборна, 42",Фастів,0
