754084647,column,column,column,column,1697490,____________battat,battat,__battat_____bx1227z,column,894,1,httpscomfyuainteraktivnyjkljuchbattatsuperkljuchikisvetzvuktomatnyjbx1227zhtml,column,05112025_2031,column,__42,Фастів,0
754084669,,,,,1698706,Детские товары >> Творчество и развитие >> Все для рисования >> Все для рисования Ses Creative,ses-creative,"""Набір олівців Ses Creative серії """"My first"""" - Чарівна куля (6 кольорів в одному корпусі) (00242S)""",,375,1,https://comfy.ua/nabor-karandashej-ses-creative-serii-my-first-volshebnyj-shar-6-cvetov-v-odnom-korpuse-00242s.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
754084715,,,,,.1714993,Детские товары >> Игрушки,domez,Колекційна фігурка Domez Jazwares Fortnite Solo Mode Dark Bomber (FNT0072),,299,1,https://comfy.ua/kollekcionnaja-figurka-domez-jazwares-fortnite-solo-mode-dark-bomber-fnt0072.html,379,06.11.2025 1:35,,"вул. Соборна, 42",Фастів,0
754084772,,,,,1705857,Детские товары >> Игрушки >> Машинки и техника >> Машинки и техника Hot Wheels,hot-wheels,Далекобійники Hot Wheels Вантажівка-транспортер (GHR48),,1899,1,https://comfy.ua/dal-nobojschiki-hot-wheels-gruzovik-transporter-ghr48.html,,05.11.2025 20:08,,"вул. Соборна, 42",Фастів,0
754085766,,,,,1713726,"Ноутбуки, планшеты и компьютерная техника >> Сетевое оборудование",tenda,Маршрутизатор інтернет WiFi5 Tenda AC5 V3,,899,1,https://comfy.ua/marshrutizator-ethernet-tenda-ac5-v3.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
754096000,6542795,FIRST,Гриль FIRST FA-5344-2,3009,1589519,Техника для кухни >> Мелкая техника >> Грили-барбекю >> Грили-барбекю First,first,Гриль-барбекю електричний First FA-5344-2,,3009,1,https://comfy.ua/gril-barbekju-jelektricheskij-first-fa-5344-2.html,,05.11.2025 20:07,,"вул. Соборна, 42",Фастів,0
754096007,,,,,.1695992,"Аудио, фото и видео >> Наушники",gemix,Гарнітура дротова ігрова Gemix N1 Black-Green (04300104),,549,1,https://comfy.ua/garnitura-provodnaja-igrovaja-gemix-n1-black-green-04300104.html,,05.11.2025 19:21,,"вул. Соборна, 42",Фастів,0
754132398,6571169,MESKO,Соковыжималка MESKO MS 4126,1779,1713842,Техника для кухни >> Мелкая техника >> Соковыжималки >> Соковыжималки Mesko,mesko,Соковитискач відцентровий Mesko MS 4126,,1579,1,https://comfy.ua/sokovyzhimalka-centrobezhnaja-mesko-ms-4126.html,,05.11.2025 17:57,,"вул. Соборна, 42",Фастів,0
754180116,6510072,JAZWARES,Коллекционная фигурка Domez Jazwares Marvel - Captain Marvel S1 (DMZ0147),114,1715033,Детские товары >> Игрушки,domez,Колекційна фігурка Domez Jazwares Marvel's Captain Marvel S1 (1 фигурка) (DMZ0147),,149,1,https://comfy.ua/catalog/product/view/id/1743293,,06.11.2025 1:37,,"вул. Соборна, 42",Фастів,0
754255687,,,,,1713414,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bollire,bollire,Каструля Bollire BR-2302 Catania 18 см 2.3 л,,955,1,https://comfy.ua/kastrjulja-bollire-br-2302-catania-18-sm-2-3-l.html,,05.11.2025 20:57,,"вул. Соборна, 42",Фастів,0
754255707,,,,,1713415,Посуда >> Для приготовления >> Кастрюли >> Кастрюли Bollire,bollire,Каструля Bollire BR-2303 Catania 20 см 3.4 л,,1079,1,https://comfy.ua/kastrjulja-bollire-br-2303-catania-20-sm-3-4-l.html,,05.11.2025 20:56,,"вул. Соборна, 42",Фастів,0
