1350762551,6626079,haisser,_haisser_23506_94646,257,2049418,____________haisser,haisser,__haisser_25__23506,column,329,1,httpscomfyuanozhstroitelnyjhaisser25mm23506html,column,05112025_2125,column,__42,Фастів,0
1350774973,,,,,1977021,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule Metal USB-C-Lightning 2m White (CATLJK-B02),,339,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-metal-usb-c-lightning-2m-white-catljk-b02.html,,05.11.2025 19:10,,"вул. Соборна, 42",Фастів,0
1350774981,,,,,1924577,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",xoko,Перехідник XOKO USB-microUSB Silver (XK-AC055-SL),,69,1,https://comfy.ua/perehodnik-xoko-usb-microusb-silver-xk-ac055-sl.html,,05.11.2025 21:28,,"вул. Соборна, 42",Фастів,0
1350805122,,,,,1977039,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Superior Fast Charging USB-Lightning 1m White (CALYS-A02),,119,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-superior-fast-charging-usb-lightning-1m-white-calys-a02.html,,05.11.2025 17:54,,"вул. Соборна, 42",Фастів,0
1350805421,,,,,1977070,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель синхронізації даних Baseus Superior Fast Charging USB-microUSB 1m Black (CAMYS-01),,139,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-superior-fast-charging-usb-microusb-1m-black-camys-01.html,,05.11.2025 18:50,,"вул. Соборна, 42",Фастів,0
1350805450,,,,,1977023,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,"Кабель Baseus Cafule USB-USB-C, 2A 3m Red (CATKLF-U09)",,339,1,https://comfy.ua/perehodnik-baseus-cafule-usb-usb-c-2a-3m-red-catklf-u09.html,,05.11.2025 18:46,,"вул. Соборна, 42",Фастів,0
1350805451,,,,,1977022,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК >> Кабели и переходники >> Кабели и переходники Baseus",baseus,Кабель Baseus Cafule USB-USB-C 2A 3m Gray/Black (CATKLF-UG1),,299,1,https://comfy.ua/perehodnik-baseus-cafule-usb-usb-c-2a-3m-gray-black-catklf-ug1.html,,05.11.2025 18:07,,"вул. Соборна, 42",Фастів,0
1350805455,,,,,1977018,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",baseus,Кабель синхронізації даних Baseus Cafule Metal USB-Lightning 2m Black (CALJK-B01),,279,1,https://comfy.ua/kabel-sinhronizacii-dannyh-baseus-cafule-metal-usb-lightning-2m-black-caljk-b01.html,,05.11.2025 19:18,,"вул. Соборна, 42",Фастів,0
1350807268,,,,,.1999997,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",powercom,Джерело безперебійного живлення Powercom IMD-2000AP LCD,,13735,1,https://comfy.ua/istochnik-besperebojnogo-pitanija-powercom-imd-2000ap-lcd.html,,05.11.2025 17:42,,"вул. Соборна, 42",Фастів,0
1350816910,,,,,.2079382,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Samsung Galaxy A21s SM-A217 Black (707338),,179,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-a21s-sm-a217-black-707338.html,,05.11.2025 18:33,,"вул. Соборна, 42",Фастів,0
1350816973,,,,,.2042371,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Pro for Samsung Galaxy A73 SM-A736 Black 0.33mm (ARM60940),,199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-pro-for-samsung-galaxy-a73-sm-a736-black-0-33mm-arm60940.html,,05.11.2025 17:56,,"вул. Соборна, 42",Фастів,0
1350817021,,,,,.1997627,Смартфоны и телефоны >> Аксессуары для смартфонов,krazi,Захисне скло для смартфону Krazi 5D for iPhone 7 Plus/8 Plus White (71976),,299,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-krazi-5d-for-iphone-7-plus-8-plus-white-71976.html,,05.11.2025 18:01,,"вул. Соборна, 42",Фастів,0
1350817025,,,,,.1986716,Смартфоны и телефоны >> Аксессуары для смартфонов,devia,Захисна плівка для смартфону DEVIA for Samsung Galaxy A52s SM-A528 (DV-SM-A52s5gFB) двостороння,,199,1,https://comfy.ua/zaschitnaja-plenka-dlja-smartfona-devia-dlja-samsung-galaxy-a52s-sm-a528-dv-sm-a52s5gfb-dvuhstoronnjaja.html,,05.11.2025 20:52,,"вул. Соборна, 42",Фастів,0
1350817046,,,,,.2038633,Смартфоны и телефоны >> Аксессуары для смартфонов,becover,Захисне скло для смартфону BeCover for Samsung Galaxy A02 SM-A022 / M02 SM-M022 Clear (705595),,129,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-becover-for-samsung-galaxy-a02-sm-a022-m02-sm-m022-clear-705595.html,,05.11.2025 18:12,,"вул. Соборна, 42",Фастів,0
1350817071,,,,,.2038625,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Full Glue Curved for Oppo Find X2 Black (ARM56653),,199,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-full-glue-curved-for-oppo-find-x2-black-arm56653.html,,05.11.2025 20:53,,"вул. Соборна, 42",Фастів,0
1350817075,,,,,.2029220,Смартфоны и телефоны >> Аксессуары для смартфонов,armorstandart,Захисне скло для смартфону Armorstandart Icon for Samsung Galaxy S21 FE SM-G990 Black (ARM60926),,329,1,https://comfy.ua/zaschitnoe-steklo-dlja-smartfona-armorstandart-icon-for-samsung-galaxy-s21-fe-sm-g990-black-arm60926.html,,05.11.2025 17:29,,"вул. Соборна, 42",Фастів,0
1350818722,,,,,.1986052,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte Socket AM4 (A520M S2H),,2699,1,https://comfy.ua/materinskaja-plata-gigabyte-socket-am4-a520m-s2h.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
1350818730,,,,,.2032694,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gigabyte,Материнська плата Gigabyte sAM4 AMD B550 4xDDR HDMI/DVI 2xM.2 (PCIe 4.0) USB 3.2 GbE LAN mATX (B550M AORUS ELITE),,3999,1,https://comfy.ua/materinskaja-plata-gigabyte-sam4-amd-b550-4xddr-hdmi-dvi-2xm-2-pcie-4-0-usb-3-2-gbe-lan-matx-b550m-aorus-elite.html,,05.11.2025 18:27,,"вул. Соборна, 42",Фастів,0
