946370581,,,,,1829157,Техника для кухни >> Крупная техника >> Вытяжки >> Вытяжки Elica,elica,Витяжка декоративна Elica SHEEN-S BL/A/60,,11699,1,https://comfy.ua/vytjazhka-dekorativnaja-elica-sheen-s-bl-a-60.html,13499,05.11.2025 18:54,,"вул. Соборна, 42",Фастів,0
946605959,6722855,SIGMA,Мобильный телефон SIGMA X-treme PR68 Black (4827798122112),1999,1833983,Смартфоны и телефоны >> Мобильные телефоны >> Мобильные телефоны Sigma mobile,sigma-mobile,Мобільний телефон Sigma mobile X-treme PR68 Dual Sim Black,,1777,1,https://comfy.ua/mobil-nyj-telefon-sigma-mobile-x-treme-pr68-dual-sim-black.html,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
946621201,6926545,GRAPHITE,"Круг зачистной GRAPHITE плепестковый с хвостовиком 40х20 мм, K40 (55H754)",39,1835367,Инструменты и автотовары >> Расходные материалы >> Диски >> Диски GRAPHITE,graphite,Круг шліфувальний GRAPHITE 40x20 мм K40 (55H754),,39,1,https://comfy.ua/krug-shlifoval-nyj-graphite-40x20-mm-k40-55h754.html,,05.11.2025 22:02,,"вул. Соборна, 42",Фастів,0
946629268,6714795,HAISSER,"""Набор инструментов HAISSER Professional 1/4"""" 46 ед. (108001)""",999,1835462,Инструменты и автотовары >> Ручные инструменты >> Наборы инструментов >> Наборы инструментов Haisser,haisser,"""Набір інструментів Haisser 1/4"""" 46 шт. (70179)""",,1030,1,https://comfy.ua/nabor-instrumentov-haisser-1-4-46-sht-70179.html,,05.11.2025 21:30,,"вул. Соборна, 42",Фастів,0
946630168,,,,,1834517,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Huion",huion,Графічний планшет Huion Kamvas Pro 16 (4K) + перчатка (GT1561),,41399,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-pro-16-4k-perchatka-gt1561.html,45999,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
946630169,,,,,1834518,"Ноутбуки, планшеты и компьютерная техника >> Графические планшеты >> Графические планшеты Huion",huion,Графічний планшет Huion Kamvas Pro 16 Plus 4K (GT1562)+перчатка,,52199,1,https://comfy.ua/graficheskij-planshet-huion-kamvas-pro-16-plus-4k-gt1562.html,57999,05.11.2025 17:21,,"вул. Соборна, 42",Фастів,0
946659405,,,,,1836980,"Ноутбуки, планшеты и компьютерная техника >> Сетевая защита",atcom,Перехідник 220В Atcom UK/US-EU Black (14345),,14,1,https://comfy.ua/catalog/product/view/id/2735693,,05.11.2025 17:18,,"вул. Соборна, 42",Фастів,0
946853081,6726433,GRUNHELM,Холодильник GRUNHELM TRH-S166M55-W,10499,1821655,Техника для кухни >> Крупная техника >> Холодильники >> Холодильники Grunhelm,grunhelm,Холодильник Grunhelm TRH-S166M55-W,,10499,1,https://comfy.ua/holodil-nik-grunhelm-trh-s166m55-w.html,11759,05.11.2025 19:03,,"вул. Соборна, 42",Фастів,0
946853143,6776787,ASUS,Монитор ASUS PA247CV (90LM03Y1-B01370),11681,1813716,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор Asus PA247CV Black,,12999,1,https://comfy.ua/monitor-asus-pa247cv-black.html,13799,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
946853143,7051731,ASUS,Монитор ASUS ProArt PA247CV Black (90LM03Y1-B01370/90LM03Y1-B02370),12999,1813716,"Ноутбуки, планшеты и компьютерная техника >> Мониторы >> Мониторы Asus",asus,Монітор Asus PA247CV Black,,12999,1,https://comfy.ua/monitor-asus-pa247cv-black.html,13799,05.11.2025 18:00,,"вул. Соборна, 42",Фастів,0
946862552,,,,,.1834771,"Аудио, фото и видео >> Аксессуары для фото, видео",powerplant,Світлофільтр для об'єктива PowerPlant CPL 72 мм (CPLF72),,379,1,https://comfy.ua/svetofil-tr-dlja-ob-ektiva-powerplant-cpl-72-mm-cplf72.html,,05.11.2025 18:38,,"вул. Соборна, 42",Фастів,0
946865763,,,,,1834719,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant JVC BN-V114U 1600mAh (DV00DV1356),,145,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-jvc-bn-v114u-1600mah-dv00dv1356.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
946865962,,,,,.1834712,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant JVC BN-V428 3600mAh (DV00DV1086),,289,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-jvc-bn-v428-3600mah-dv00dv1086.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
946866460,,,,,1834709,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant JVC SSL-JVC50 5200mAh (CB970056),,1199,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-jvc-ssl-jvc50-5200mah-cb970056.html,,05.11.2025 18:24,,"вул. Соборна, 42",Фастів,0
946866461,,,,,1834710,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant JVC SSL-JVC70 7800mAh (CB970063),,789,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-jvc-ssl-jvc70-7800mah-cb970063.html,,05.11.2025 18:26,,"вул. Соборна, 42",Фастів,0
946866712,,,,,.1834744,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Sony AN-150W 10400mAh (CB970216),,6999,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-sony-an-150w-10400mah-cb970216.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
946866713,,,,,1834745,"Аудио, фото и видео >> Фотокамеры",powerplant,Акумулятор для фотокамери PowerPlant Sony BP-150WS 10400mAh (DV00DV1415),,8999,1,https://comfy.ua/akkumuljator-dlja-fotokamery-powerplant-sony-bp-150ws-10400mah-dv00dv1415.html,,05.11.2025 18:23,,"вул. Соборна, 42",Фастів,0
946868676,6716152,MAXXTER,Колонки MAXXTER CSP-U002RGB Black,479,1830883,"Аудио, фото и видео >> Акустика >> Компьютерная акустика >> Компьютерная акустика Maxxter",maxxter,Комп'ютерна акустика компактна 2.0 Maxxter CSP-U002RGB Black,,475,1,https://comfy.ua/komp-juternaja-akustika-kompaktnaja-2-0-maxxter-csp-u002rgb-black.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
