746254799,column,column,column,column,1689172,Посуда >> Нарезка и измельчение,tescoma,_tescoma_643862_handy_,column,2299,1,httpscomfyuaterkatescoma643862handymultifunkcionalnajahtml,column,05112025_1937,column,__42,Фастів,0
746930804,6625525,ARDESTO,Машинка для стрижки ARDESTO HC-Y30-DBS,999,1658628,Красота и здоровье >> Уход за волосами >> Машинки для стрижки >> Машинки для стрижки Ardesto,ardesto,Машинка для стрижки волосся Ardesto HC-Y30-DBS,,999,1,https://comfy.ua/mashinka-dlja-strizhki-volos-ardesto-hc-y30-dbs.html,,05.11.2025 18:47,,"вул. Соборна, 42",Фастів,0
746930805,,,,,1691666,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры OSAKA,osaka,Кондиціонер спліт OSAKA ST-36HH Elite,,48259,1,https://comfy.ua/kondicioner-split-osaka-st-36hh-elite.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
746930807,,,,,1691664,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры OSAKA,osaka,Кондиціонер спліт OSAKA ST-24HH Elite,,35099,1,https://comfy.ua/kondicioner-split-osaka-st-24hh-elite.html,,05.11.2025 18:36,,"вул. Соборна, 42",Фастів,0
746930808,,,,,1691662,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры OSAKA,osaka,Кондиціонер спліт OSAKA ST-12HH Elite,,16499,1,https://comfy.ua/kondicioner-split-osaka-st-12hh-elite.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
746930809,,,,,1691661,Техника для дома >> Климатическая техника >> Кондиционеры >> Кондиционеры OSAKA,osaka,Кондиціонер спліт OSAKA ST-09HH Elite,,13399,1,https://comfy.ua/kondicioner-split-osaka-st-09hh-elite.html,,05.11.2025 18:32,,"вул. Соборна, 42",Фастів,0
747001484,,,,,1690630,Техника для дома >> Климатическая техника >> Очистители воздуха >> Очистители воздуха Sharp,sharp,Очищувач повітря Sharp UA-PE30E-WB,,3999,1,https://comfy.ua/ochistitel-vozduha-sharp-ua-pe30e-wb.html,,05.11.2025 17:48,,"вул. Соборна, 42",Фастів,0
747021436,,,,,1684046,Посуда >> Нарезка и измельчение,wmf,"Овочечистка WMF 1892536230 17,5 см",,539,1,https://comfy.ua/ovoschechistka-wmf-1892536230-17-5-sm.html,,05.11.2025 19:06,,"вул. Соборна, 42",Фастів,0
747023742,,,,,1693485,Техника для кухни >> Крупная техника,grunhelm,Морозильна скриня Grunhelm GCFW-145,,6499,1,https://comfy.ua/catalog/product/view/id/1413623,,05.11.2025 17:45,,"вул. Соборна, 42",Фастів,0
747023797,,,,,1683967,Посуда >> Для сервировки,wmf,Ніж десертний WMF 1287686040 для Nutella,,499,1,https://comfy.ua/nozh-desertnyj-wmf-1287686040-dlja-nutella.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
747026771,,,,,.1682057,Телевизоры и мультимедиа >> Аксессуары для ТВ,sonorous,Тумба для телевізора Sonorous NEO 2130-C-SLV,,10249,1,https://comfy.ua/tumba-dlja-televizora-sonorous-neo-2130-c-slv.html,,05.11.2025 18:09,,"вул. Соборна, 42",Фастів,0
