1651217279,column,column,column,column,2827671,comfy_kids_________________hauck,hauck,___hauck_organize_me_618080,column,840,1,httpscomfyuaorganajzerdljaavtokreslahauckorganizeme618080html,column,05112025_2052,column,__42,Фастів,0
1651221589,,,,,.2758631,Детские товары >> Игрушки,good-loot,"""Пазли (8 +) Good Loot Witcher: Geralt &amp","Ciri Puzzles 1000 шт. (5908305236023)""",,729,1,https://comfy.ua/pazly-kartonnye-8-good-loot-witcher-geralt-ciri-puzzles-1000-sht-5908305236023.html,,05.11.2025 23:29,,"вул. Соборна, 42",Фастів
1651221597,,,,,2827752,Детские товары >> Игрушки >> Пазлы >> Пазлы Janod,janod,Пазли (3-4 роки) Janod Карта світу з тваринами (J05468),,945,1,https://comfy.ua/pazly-magnitnye-3-4-goda-janod-karta-mira-s-zhivotnymi-j05468.html,,05.11.2025 23:33,,"вул. Соборна, 42",Фастів,0
1651221598,,,,,2827753,Детские товары >> Игрушки >> Пазлы >> Пазлы Janod,janod,Пазли (3-4 роки) Janod Планісфера динозаврів (J05836),,1399,1,https://comfy.ua/pazly-magnitnye-3-4-goda-janod-planisfera-dinozavrov-j05836.html,,05.11.2025 23:55,,"вул. Соборна, 42",Фастів,0
1651222364,,,,,.2825937,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ST102-2U3,,2079,1,https://comfy.ua/korpus-gamemax-st102-2u3.html,,05.11.2025 19:00,,"вул. Соборна, 42",Фастів,0
1651222365,,,,,.2825941,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax MT300-2U3-60W,,1979,1,https://comfy.ua/korpus-gamemax-mt300-2u3-60w.html,,05.11.2025 19:01,,"вул. Соборна, 42",Фастів,0
1651222367,,,,,.2825936,Игровые консоли и гейминг >> Комплектующие для игровых ПК,gamemax,Корпус Gamemax ST-602-400W,,2249,1,https://comfy.ua/korpus-gamemax-st-602-400w.html,,05.11.2025 19:04,,"вул. Соборна, 42",Фастів,0
1651222690,6725331,EDGE,Автомобильная акустика Edge EDST216C-E6,2019,1806352,Инструменты и автотовары >> Автотовары >> Автоакустика >> Автоакустика EDGE,edge,Автоакустика EDGE EDST216C-E6,,2019,1,https://comfy.ua/avtoakustika-edge-edst216c-e6.html,,05.11.2025 21:02,,"вул. Соборна, 42",Фастів,0
1651223333,6911427,IDEA HOME,Насадка для швабры IDEA HOME DS-1311 27 см Grey,129,2830064,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Idea Home,idea-home,Змінна насадка на швабру Idea Home sponge mop refill for DS-1311,,169,1,https://comfy.ua/smennaja-nasadka-na-shvabru-idea-home-sponge-mop-refill-for-ds-1311.html,,05.11.2025 19:38,,"вул. Соборна, 42",Фастів,0
1651223334,6850290,IDEA HOME,Насадка для швабры IDEA HOME DS-R201 42 см Grey,79,2830057,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Idea Home,idea-home,Змінна насадка на швабру Idea Home DS-R201 Grey,,129,1,https://comfy.ua/smennaja-nasadka-na-shvabru-idea-home-ds-r201-grey.html,,05.11.2025 19:34,,"вул. Соборна, 42",Фастів,0
1651223336,6906742,IDEA HOME,Швабра IDEA HOME (DS-1208A Blue),219,2830062,Бытовая химия >> Все для уборки >> Швабры и насадки >> Швабры и насадки Idea Home,idea-home,Швабра Idea Home DS-1208A Blue,,299,1,https://comfy.ua/shvabra-idea-home-ds-1208a-blue.html,,05.11.2025 19:29,,"вул. Соборна, 42",Фастів,0
