1314496130,column,column,column,column,1830485,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,_usb_type_a__usb_type_b_ugreen_us135_usba_20__usbb_20_15_m_black_10350,column,189,1,httpscomfyuakabelusbtypeausbtypebugreenus135usba20usbb2015mblack10350html,column,05112025_1756,column,__42,Фастів,0
1314590253,6788562,DEFENDER,Кресло DEFENDER Pilot Black/Red (64354),7401,1999968,"Дом, отдых и зоотовары >> Мебель >> Кресла для геймеров и аксессуары >> Кресла для геймеров и аксессуары Defender",defender,Крісло для геймерів Defender Pilot Black/Red (64354),,6229,1,https://comfy.ua/kreslo-dlja-gejmerov-defender-pilot-black-red-64354.html,,05.11.2025 20:15,,"вул. Соборна, 42",Фастів,0
1314592966,,,,,2013343,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Мережевий зарядний пристрій SkyDolphin SC30 (2USB, 2.1A) Black (MZP-000169)",,169,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-skydolphin-sc30-2usb-2-1a-black-mzp-000169.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1314592967,,,,,2013350,Смартфоны и телефоны >> Аксессуары для смартфонов,skydolphin,"Мережевий зарядний пристрій SkyDolphin SC30L (2USB, 2.1A) Black (MZP-000170) + кабель Lightning",,199,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-skydolphin-sc30l-2usb-2-1a-black-mzp-000170-kabel-lightning.html,,05.11.2025 20:43,,"вул. Соборна, 42",Фастів,0
1314592984,,,,,1830491,Смартфоны и телефоны >> Аксессуары для смартфонов,ugreen,Мережевий зарядний пристрій UGREEN ED011 1xUSB 10W/2.1A Black (50459),,299,1,https://comfy.ua/setevoe-zarjadnoe-ustrojstvo-ugreen-ed011-1xusb-10w-2-1a-black-50459.html,,05.11.2025 20:06,,"вул. Соборна, 42",Фастів,0
1314607963,6622783,GUSTO,Лопатка GUSTO GT-5203,91,1873107,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности Gusto,gusto,Лопатка кухонна Gusto GT-5203,,57,1,https://comfy.ua/lopatka-kuhonnaja-gusto-gt-5203.html,,05.11.2025 19:39,,"вул. Соборна, 42",Фастів,0
1314607995,7061859,OXO,"Лопатка OXO Good Grips 28,6 см (1071536)",460,2004540,Посуда >> Кухонные аксессуары >> Кухонные принадлежности >> Кухонные принадлежности OXO,oxo,Лопатка кухонна OXO 28.6 см 1071536,,655,1,https://comfy.ua/lopatka-kuhonnaja-oxo-28-6-sm-1071536.html,,05.11.2025 19:50,,"вул. Соборна, 42",Фастів,0
1314621835,,,,,1980240,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD140 8K HDMI 2.1 Cable Braided 1m Black (UGR-80401),,399,1,https://comfy.ua/kabel-hdmi-ugreen-hd140-8k-hdmi-2-1-cable-braided-1m-black-ugr-80401.html,,05.11.2025 20:50,,"вул. Соборна, 42",Фастів,0
1314621837,,,,,1980241,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD140 8K HDMI 2.1 Cable Braided 1.5m Black (UGR-80402),,499,1,https://comfy.ua/kabel-hdmi-ugreen-hd140-8k-hdmi-2-1-cable-braided-1-5m-black-ugr-80402.html,,05.11.2025 18:02,,"вул. Соборна, 42",Фастів,0
1314621840,,,,,1980242,"Ноутбуки, планшеты и компьютерная техника >> Аксессуары для ноутбуков, планшетов и ПК",ugreen,Кабель HDMI UGREEN HD140 8K HDMI 2.1 Cable Braided 3m Black (UGR-80404),,649,1,https://comfy.ua/kabel-hdmi-ugreen-hd140-8k-hdmi-2-1-cable-braided-3m-black-ugr-80404.html,,05.11.2025 18:10,,"вул. Соборна, 42",Фастів,0
1314801875,6796117,TECHNICS,Гарнитура TECHNICS ANC Hi-Res Wireless Black (EAH-A800G-K),12999,1994453,"Аудио, фото и видео >> Наушники >> Наушники Technics",technics,Навушники повнорозмірні бездротові Technics EAH-A800G-K,,10999,1,https://comfy.ua/naushniki-polnorazmernye-besprovodnye-technics-eah-a800g-k.html,,05.11.2025 18:31,,"вул. Соборна, 42",Фастів,0
